gap_id,spec_id,criterion_id,status,gap,closure_requirement,claim_effect
P8-GAP-011,TS-VAE-06,AC-08,DEFERRED,"Given rollback to the prior certified evaluator/profile, when protected cases run, then historical verdict behavior is reproducible.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-012,TS-VAE-08,AC-01,DEFERRED,"Given reference evidence, when production delivery is requested, then it cannot ship without a distinct derived production asset and passing acceptance.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-013,TS-VAE-08,AC-05,DEFERRED,"Given a semantically similar asset owned by another tenant, when retrieval runs, then authority filtering excludes it before similarity.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-014,TS-VAE-09,AC-05,DEFERRED,"Given service restart during production, when replay completes, then the same execution resumes from committed checkpoints.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-015,TS-VAE-09,AC-07,DEFERRED,"Given a VAE-produced result, when serialized, then it contains production acceptance and no downstream consumption authorization.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-016,TS-DLG-01,AC-01,DEFERRED,"Given a registered signed message and matching immutable payload, when any supported transport submits it, then every adapter yields the same canonical message and receipt.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-017,TS-DLG-05,AC-02,DEFERRED,"Given a valid composition-only supersession, when VAE impact evidence certifies identity artifacts reusable, then those references retain lineage and only affected outputs invalidate.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-018,TS-DLG-05,AC-04,DEFERRED,"Given a denied escalation, when production stops, then checkpoint evidence and final spend remain available without quality-gate degradation.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-019,TS-DLG-05,AC-07,DEFERRED,"Given an accepted amendment, when the owner proceeds, then a new immutable demand and supersession are required before production resumes.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-020,TS-DLG-06,AC-01,DEFERRED,"Given a production-accepted result with current dependencies, when all deterministic checks pass, then acknowledgement authorizes exact assets and lifecycle becomes `COMPLETED`.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-021,TS-DLG-06,AC-02,DEFERRED,"Given a result without an evaluation receipt, when acknowledged, then it is rejected with `MISSING_PRODUCTION_RECEIPT` without duplicate visual evaluation.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-022,TS-DLG-08,AC-05,DEFERRED,"Given a Control Tower operator action, when submitted, then it returns as a signed authorized protocol message rather than mutating the view.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-023,TS-DLG-09,AC-05,DEFERRED,"Given a forged signed cancellation, when security tests run, then no lifecycle effect occurs and a security incident receipt exists.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
