gap_id,severity,status,description,affected_specs,required_action
GAP-CCV-PORTFOLIO,MEDIUM,OPEN,CCV candidate coordinates and invariant-comparison portfolio are not implemented.,TS-AIR-007,Implement controlled candidate variation.
GAP-SDA-SFL-CROSSWALK,MEDIUM,OPEN,SDA/SFL references are not compiled into a typed context packet.,TS-AIR-007,Implement registry crosswalk and handoff.
GAP-SPEC-AC-NOT-BEHAVIORAL,HIGH,OPEN,The audited Spec acceptance section is writing-lifecycle oriented rather than behavior-specific; implementation acceptance cannot be proven from it.,TS-AHP-005;TS-AHP-006;TS-AHP-007;TS-AHP-008;TS-AIR-018,Issue a bounded Spec amendment with behavior-specific ACs before full completion claim.
GAP-HUMAN-RESOLUTION-RETRIEVAL,MEDIUM,OPEN,HumanResolution capture exists; governed retrieval projection and learning-eligibility index are incomplete.,TS-AIR-018,Implement retrieval/indexing and promotion boundaries.
GAP-MULTICAUSAL-ATTRIBUTION,MEDIUM,OPEN,"Single owner routing exists; contested, multi-causal, and unresolved attribution portfolios are incomplete.",TS-AIR-019,Implement candidate attribution and evidence comparison.
GAP-JIT-ROLE-CONTEXT,MEDIUM,OPEN,Role-specific semantic requirements are not compiled into exact Pipeline JIT context contracts.,TS-AIR-019,Implement AIR-to-Pipeline role context requirement handoff.
GAP-LEARNING-ADMISSION,MEDIUM,OPEN,Learning disposition does not yet feed a governed retrieval/dataset admission queue.,TS-AIR-019,Implement scoped admission and audit receipts.
GAP-REAL-PROGRAM-CONTROL-ADAPTER,HIGH,OPEN,Authority reconciliation uses deterministic local records but not the full current Program Control reader/adapters.,TS-AHP-001,Implement repository adapters against current Program Control state.
GAP-BROWNFIELD-COMPLETE-DISPOSITION,MEDIUM,OPEN,Brownfield admission services exist but do not prove complete disposition of the full predecessor inventory.,TS-AHP-001,Run full inventory admission and unique disposition evidence.
GAP-REAL-BUILDER-PACKAGE-CORPUS,HIGH,OPEN,"Harness intake is tested with fixtures, not a corpus of actual current Builder packages.",TS-AHP-002,Admit and validate real Builder outputs.
GAP-BINDING-INVALIDATION-E2E,MEDIUM,OPEN,Binding invalidation projection exists but full cross-product stale-binding flow is incomplete.,TS-AHP-002,Add end-to-end stale binding tests.
GAP-REAL-INTERVIEW-AIR-ADAPTERS,HIGH,OPEN,Batch compilation consumes typed fixtures; real Interview Expression and AIR adapters are not implemented.,TS-AHP-003,Implement after Phase 4/5.
GAP-ROUTE-RANKING-DEDUPE,MEDIUM,OPEN,"Route, overlap, ranking and dedupe policies are only partially represented.",TS-AHP-003,Implement governed profile/evaluator-backed route selection.
GAP-WRONG-READING-INHERITANCE-E2E,MEDIUM,OPEN,Wrong-reading inheritance is represented but not proven across real derivative jobs.,TS-AHP-003,Add cross-product inheritance conformance tests.
GAP-HUMAN-EXTERNAL-NODE-EXECUTION,HIGH,OPEN,"Human and external product nodes are typed, but actual asynchronous product/human execution is not implemented.",TS-AHP-004,Implement explicit node adapters and receipts.
GAP-ROLE-SEMANTIC-CONTEXT-CONFORMANCE,MEDIUM,OPEN,JIT capsules exist but AIR role-semantic requirements are not yet validated end-to-end.,TS-AHP-004,Add AIR/AHP conformance.
GAP-FULL-DEPENDENCY-TYPE-COVERAGE,MEDIUM,OPEN,Descendant invalidation is implemented for generic edges; complete governed dependency type coverage is not proven.,TS-AHP-005,Add typed edge registry/property tests.
GAP-BACKUP-RESTORE-REHEARSAL,HIGH,OPEN,"Checkpoint/replay exists; full backup, migration, restore, and disaster rehearsal is not complete.",TS-AHP-006,Implement and execute recovery rehearsal.
GAP-REAL-SANDBOX-ENFORCEMENT,HIGH,OPEN,"Sandbox declarations and assurance checks exist, but OS/process/network enforcement is not implemented.",TS-AHP-007,Implement runtime sandbox execution.
GAP-CONTINUOUS-ASSURANCE,MEDIUM,OPEN,Assurance is invoked explicitly; continuous drift monitoring is not active.,TS-AHP-007,Add periodic/event-driven assurance.
GAP-REAL-CANDIDATE-EVALUATOR,HIGH,OPEN,"Candidate comparison uses deterministic numeric fixtures, not real model/evaluator outputs.",TS-AHP-008,Integrate later Programmed Model and evaluator phases.
GAP-ADAPTIVE-SEARCH-INTEGRATION,MEDIUM,OPEN,Stopping logic exists but is not connected to real candidate generation/evaluation loops.,TS-AHP-008,Integrate with model programs.
GAP-INTERVIEW-DUAL-ADMISSION,CRITICAL,OPEN,Brief-led and imported interview admission are not implemented.,TS-INT-001,Implement Phase 4.
GAP-CANONICAL-SOURCE-PACKAGE,CRITICAL,OPEN,Canonical Interview Source Package contracts and services are not implemented.,TS-INT-001,Implement Phase 4.
GAP-INTERVIEW-PERSISTENCE,HIGH,OPEN,Interview Expression currently has only a shell and shared runtime persistence.,TS-INT-001,Implement product domain repository and receipts.
GAP-FORMAT02-FUTURE-ACTIVATION-GATE,DEFERRED,DEFERRED,Current denial guards pass; future activation eligibility and evidence gate are intentionally deferred.,TS-REL-001,Do not implement until current Harness and independent evidence exist.
GAP-HISTORICAL-FAMILY-VALIDATION,DEFERRED,DEFERRED,The 13 historical Format 02 families are preserved in authority documents but not runtime-validated here.,TS-REL-001,Validate only in future protected Format 02 campaign.
GAP-SQLITE-CONNECTION-LIFECYCLE,CLOSED,CLOSED,SQLite connections emitted ResourceWarnings under warnings-as-errors before this bundle.,,Closed by contextlib.closing patches and regression validation.
GAP-TRACEABILITY-EVIDENCE,CLOSED,CLOSED,Phase bundles lacked exact Spec/AC/code/test/status ledgers.,,"Closed by this bundle matrices, receipts, and validation script."
GAP-PHASE-CLAIM-BOUNDARY,CLOSED,CLOSED,Phase-level PASS language could be misread as full per-Spec completion.,,Closed by truthful per-Spec status registry and claim-boundary overlay.
