spec_id,title,path,quality_state_before_audit,audit_outcome,blocking_findings,warnings,notes,build_candidate,next_lifecycle_action
TS-VID-006,Rendered Cut-Boundary Evaluation and Bounded Temporal Repair,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-VID-006.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-CAS-002,Direct Manipulation Command Adapter and Selective Rerun,07_CONSCIOUS_ACTIVATIONS_STUDIO/docs/tech-specs/TS-CAS-002.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-BATCH-001,"Cross-Derivative Continuity, Lineage, Usage, and Audit Export",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-BATCH-001.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-CAS-003,"HumanResolutionEpisode Ledger, Retrieval Indexing, and Programming-Material Disposition",07_CONSCIOUS_ACTIVATIONS_STUDIO/docs/tech-specs/TS-CAS-003.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-CAS-004,"Source-to-Batch Control Tower, Category Workbenches, Evidence, Health, and Audit Export",07_CONSCIOUS_ACTIVATIONS_STUDIO/docs/tech-specs/TS-CAS-004.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-018,Human Resolution Episodes and Scoped Learning,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-018.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-REL-002,"Source-First Release Evidence, Expansion Claims, and Implementation Handoff",CMF_PROGRAM_CONTROL/01_PRODUCT_AUTHORITIES/v2.1-candidates/specs/TS-REL-002.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-CAS-005,"Campaign Order, Shared Shell, Autonomy Modes, and Exception Review",07_CONSCIOUS_ACTIVATIONS_STUDIO/docs/tech-specs/TS-CAS-005.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-020,"Programmed Models, Independent Evaluation, Product Integration, and Evidence",04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-020.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-CAS-006,Ship/Publish Authority and Harness-to-Studio Surface Routing,07_CONSCIOUS_ACTIVATIONS_STUDIO/docs/tech-specs/TS-CAS-006.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-PM-001,"Programmed Model Artifact, Claim, Model Program, Lifecycle, and Resolver",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-PM-001.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AHP-008,"Adaptive Candidate Search, Comparison, Budget, and Stopping",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-008.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
