story_id,global_order,epic_id,title,product_classification,actual_outcome,classification_reason,direct_dependencies,current_decision_blockers,cross_repository_dependencies,blocker_origin,intrinsic_builder_core_blockers,reference_or_later_phase_blockers,confirmed_graph_readiness,first_builder_path,first_path_status
ST-03.02,11,EP-03,Record Human Authority and Resume Genesis Safely,BUILDER_CORE,"human authority remains explicit, auditable, and recoverable across sessions",Category-independent Builder governance or compilation; profile activation is separable.,ST-03.01,,XDEP-001;XDEP-006,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-03.03,12,EP-03,Maintain One Provenance-Rich Canonical Harness IR,BUILDER_CORE,all downstream artifacts share one source of truth with explicit schema evolution and Activative lineage,Category-independent Builder governance or compilation; profile activation is separable.,ST-03.02,BD-014,XDEP-001;XDEP-006,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-014,BLOCKED_EVIDENCE,true,BLOCKED_BY_EARLIER_CORE_STORY_RECEIPTS
ST-03.04,13,EP-03,Compile Human and Machine Artifacts Deterministically,GENERIC_BUILDER_PROOF,"maintainers receive reproducible, hash-bound outputs without duplicated authority",Directly compiles or validates an artifact required by the synthetic Builder proof.,ST-03.03,,XDEP-001;XDEP-006,NONE,,,BLOCKED_EVIDENCE,true,BLOCKED_BY_EARLIER_CORE_STORY_RECEIPTS
ST-03.05,14,EP-03,Enforce Constitutional Precedence Across Compiled Artifacts,BUILDER_CORE,lower-authority artifacts cannot override Constitution V1.1 or lose semantic lineage,Category-independent Builder governance or compilation; profile activation is separable.,ST-03.04,,XDEP-001;XDEP-006,NONE,,,BLOCKED_EVIDENCE,true,BLOCKED_BY_EARLIER_CORE_STORY_RECEIPTS
ST-04.01,15,EP-04,Assign Explicit Ownership to Every Required Capability,BUILDER_CORE,the design has accountable owners and no capability disappears between product intent and execution,Category-independent Builder governance or compilation; profile activation is separable.,ST-03.05,BD-010,XDEP-001,INTRINSIC_BUILDER_CORE,BD-010,,BLOCKED_EVIDENCE,true,BLOCKED_BY_EARLIER_CORE_STORY_RECEIPTS
ST-04.02,16,EP-04,Compile Responsibility-Centered Modules with Test Seams,BUILDER_CORE,each module can change and be tested without recreating horizontal technical layers,Category-independent Builder governance or compilation; profile activation is separable.,ST-04.01,,XDEP-001,NONE,,,BLOCKED_EVIDENCE,true,BLOCKED_BY_EARLIER_CORE_STORY_RECEIPTS
ST-04.03,17,EP-04,Order Work Through an Executable Phase Graph,BUILDER_CORE,"the harness exposes what may run now, later, or safely in parallel",Category-independent Builder governance or compilation; profile activation is separable.,ST-04.02,,XDEP-001,NONE,,,BLOCKED_EVIDENCE,true,BLOCKED_BY_EARLIER_CORE_STORY_RECEIPTS
ST-04.04,18,EP-04,Protect Typed Phase and Context Handoffs,BUILDER_CORE,downstream work receives complete inputs without silently rewriting upstream truth,Category-independent Builder governance or compilation; profile activation is separable.,ST-04.03,BD-014,XDEP-001,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-014,BLOCKED_EVIDENCE,true,BLOCKED_BY_EARLIER_CORE_STORY_RECEIPTS
ST-04.05,19,EP-04,Compile Minimum Complete Context Without Silent Truncation,BUILDER_CORE,each phase receives the minimum complete context plus a complete manifest,Category-independent Builder governance or compilation; profile activation is separable.,ST-04.04,BD-010,XDEP-001,INTRINSIC_BUILDER_CORE,BD-010,,BLOCKED_EVIDENCE,true,BLOCKED_BY_EARLIER_CORE_STORY_RECEIPTS
ST-05.01,20,EP-05,Operate a Versioned Canonical Skill Registry,BUILDER_CORE,the team can distinguish stable reusable behavior from local adaptation and experimental capability,Category-independent Builder governance or compilation; profile activation is separable.,ST-04.05,BD-004;BD-008;BD-010;HD-007,XDEP-001,MIXED_INTRINSIC_AND_REFERENCE_OR_LATER,BD-010,BD-004;BD-008;HD-007,BLOCKED_EVIDENCE,true,BLOCKED_BY_EARLIER_CORE_STORY_RECEIPTS
ST-05.02,21,EP-05,Prove a Skill Is Needed Before Designing It,BUILDER_CORE,new skill work begins only where behavior evidence shows a real gap,Category-independent Builder governance or compilation; profile activation is separable.,ST-05.01,BD-010;HD-007,XDEP-001,MIXED_INTRINSIC_AND_REFERENCE_OR_LATER,BD-010,HD-007,BLOCKED_EVIDENCE,true,BLOCKED_BY_EARLIER_CORE_STORY_RECEIPTS
ST-05.03,22,EP-05,Package Portable Skills with Behavioral Anchors,BUILDER_CORE,"skill behavior is attributable, maintainable, and reusable across compatible harnesses",Category-independent Builder governance or compilation; profile activation is separable.,ST-05.02,BD-010;HD-007,XDEP-001,MIXED_INTRINSIC_AND_REFERENCE_OR_LATER,BD-010,HD-007,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-05.04,23,EP-05,Assemble a Deterministic Phase-Local JIT Capsule,BUILDER_CORE,an agent receives exactly the evaluated authority and context needed for the current phase,Category-independent Builder governance or compilation; profile activation is separable.,ST-05.03,BD-010;HD-007,XDEP-001,MIXED_INTRINSIC_AND_REFERENCE_OR_LATER,BD-010,HD-007,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-05.05,24,EP-05,Pin and Dispose of Capsules Reproducibly,BUILDER_CORE,a phase can be replayed without accumulating hidden conversational state or stale capsule sediment,Category-independent Builder governance or compilation; profile activation is separable.,ST-05.04,BD-010;HD-007,XDEP-001,MIXED_INTRINSIC_AND_REFERENCE_OR_LATER,BD-010,HD-007,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-06.01,25,EP-06,Bind Every Harness to One of Five Canonical Categories,CATEGORY_ADAPTER,all five categories remain distinct while preserving shared meaning and atomic creative ownership,Interprets or compiles category/substrate-specific syntax or profiles after core.,ST-02.05;ST-03.05;ST-04.05,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,XDEP-001;XDEP-004;XDEP-006,MIXED_INTRINSIC_AND_REFERENCE_OR_LATER,BD-010,BD-004;BD-007;BD-008;BD-014;HD-006;HD-007,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-06.02,26,EP-06,Compile Category-Local Format and Performance Profiles,CATEGORY_ADAPTER,each format inherits the correct substrate grammar rather than acting as a cosmetic theme,Interprets or compiles category/substrate-specific syntax or profiles after core.,ST-06.01,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,XDEP-001;XDEP-004;XDEP-006,MIXED_INTRINSIC_AND_REFERENCE_OR_LATER,BD-010,BD-004;BD-007;BD-008;BD-014;HD-006;HD-007,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-06.03,27,EP-06,Compile Category-Native Syntax and Activative Sequencing,CATEGORY_ADAPTER,shared Activative meaning becomes category-native form without losing frozen rich-object lineage,Interprets or compiles category/substrate-specific syntax or profiles after core.,ST-06.02,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,XDEP-001;XDEP-004;XDEP-006,MIXED_INTRINSIC_AND_REFERENCE_OR_LATER,BD-010,BD-004;BD-007;BD-008;BD-014;HD-006;HD-007,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-06.04,28,EP-06,"Own Category Runtime, Evaluation, Repair, and Migration Rules",CATEGORY_ADAPTER,each category can evolve without silently changing another category or inheriting certification,Interprets or compiles category/substrate-specific syntax or profiles after core.,ST-06.03,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,XDEP-001;XDEP-004;XDEP-006,MIXED_INTRINSIC_AND_REFERENCE_OR_LATER,BD-010,BD-004;BD-007;BD-008;BD-014;HD-006;HD-007,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-06.05,29,EP-06,Compile the Conversational Expression Feedback Chain,CONVERSATIONAL_FUTURE,"Public Comment, Reply or DM, ReelCast, and Interview profiles are first-class structural outputs while live execution stays external",Specific to conversational/expression profiles whose runtime or certification is future.,ST-06.04,BD-004;BD-008;BD-010;HD-006;HD-007,XDEP-001;XDEP-004;XDEP-006,MIXED_INTRINSIC_AND_REFERENCE_OR_LATER,BD-010,BD-004;BD-008;HD-006;HD-007,BLOCKED_HUMAN_DECISION,false,NOT_ON_FIRST_BUILDER_PATH
ST-07.01,30,EP-07,Register Three Distinct Compilation Targets,EXTERNAL_PRODUCT_INTEGRATION,one control plane can select the correct product outcome without flattening ownership or evidence needs,Introduces or validates VAE/Delegation target and handoff boundaries.,ST-03.05;ST-04.05;ST-06.05,BD-014,XDEP-001;XDEP-002;XDEP-003;XDEP-004,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-014,BLOCKED_EXTERNAL_DEPENDENCY,false,NOT_ON_FIRST_BUILDER_PATH
ST-07.02,31,EP-07,Compile a Target-Specific Atomic Content Harness,GENERIC_BUILDER_PROOF,content-harness output preserves Activative ownership and its category-native contracts,Directly compiles or validates an artifact required by the synthetic Builder proof.,ST-07.01,BD-014,XDEP-001;XDEP-002;XDEP-003;XDEP-004,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-014,BLOCKED_EXTERNAL_DEPENDENCY,true,BLOCKED_BY_EARLIER_CORE_STORY_RECEIPTS
ST-07.03,32,EP-07,Compile VAE and Delegation Handoffs Without Implementing Them,EXTERNAL_PRODUCT_INTEGRATION,"external products receive frozen, typed meaning while Builder stays within compile-validate-handoff ownership",Introduces or validates VAE/Delegation target and handoff boundaries.,ST-07.02,BD-007;BD-008;BD-014,XDEP-001;XDEP-002;XDEP-003;XDEP-004,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-007;BD-008;BD-014,BLOCKED_EXTERNAL_DEPENDENCY,false,NOT_ON_FIRST_BUILDER_PATH
ST-07.04,33,EP-07,"Validate Target Artifacts, Gates, and Compatibility",GENERIC_BUILDER_PROOF,each target can be reviewed and migrated independently with explicit certification scope,Directly compiles or validates an artifact required by the synthetic Builder proof.,ST-07.03,BD-014,XDEP-001;XDEP-002;XDEP-003;XDEP-004,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-014,BLOCKED_EXTERNAL_DEPENDENCY,true,BLOCKED_BY_EARLIER_CORE_STORY_RECEIPTS
ST-08.01,34,EP-08,Measure Behavior Against Controls in Fresh Contexts,PRODUCTION_CERTIFICATION,claimed behavioral improvements are attributable rather than prompt-history artifacts,"Requires protected evaluation, maturity, authorization, or certification evidence.",ST-02.05;ST-03.05;ST-04.05;ST-05.05;ST-06.05;ST-07.04,BD-004;BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-004;BD-008;HD-006;HD-007,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-08.02,35,EP-08,Promote Maturity Only Through Protected Receipts,PRODUCTION_CERTIFICATION,only the exact evaluated version can advance toward release,"Requires protected evaluation, maturity, authorization, or certification evidence.",ST-08.01,BD-004;BD-007;BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-004;BD-007;BD-008;HD-006;HD-007,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-08.03,36,EP-08,Score Independent Dimensions and Controlled Mutations,PRODUCTION_CERTIFICATION,quality dimensions remain visible and non-compensable rather than collapsing into one flattering score,"Requires protected evaluation, maturity, authorization, or certification evidence.",ST-08.02,BD-004;BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-004;BD-008;HD-006;HD-007,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-08.04,37,EP-08,Diagnose Root Cause Before Selecting Repair,BUILDER_CORE,repair targets the responsible layer and preserves unaffected upstream truth,Category-independent Builder governance or compilation; profile activation is separable.,ST-08.03,BD-004;BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-004;BD-008;HD-006;HD-007,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-08.05,38,EP-08,Repair Selectively and Rerun Only Affected Regressions,BUILDER_CORE,the system can improve without restarting validated work or hiding recurring defects,Category-independent Builder governance or compilation; profile activation is separable.,ST-08.04,BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-008;HD-006;HD-007,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-08.06,39,EP-08,Issue Evidence-Backed Readiness and Authorization Receipts,PRODUCTION_CERTIFICATION,implementation teams know exactly what is authorized and why,"Requires protected evaluation, maturity, authorization, or certification evidence.",ST-08.05,BD-004;BD-008;BD-014;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-004;BD-008;BD-014;HD-006;HD-007,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-08.07,40,EP-08,Reject Wrong Readings and Evaluate Conversational Expression,CONVERSATIONAL_FUTURE,"role clarity, pattern interruption, prediction, payoff, affinity, anticipation, residue, anti-cliche, no-text survival, and rejection remain independently governed",Specific to conversational/expression profiles whose runtime or certification is future.,ST-08.06,BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-008;HD-006;HD-007,BLOCKED_HUMAN_DECISION,false,NOT_ON_FIRST_BUILDER_PATH
ST-09.01,41,EP-09,Compile an Actor-Explicit Builder Workflow,CONTROL_TOWER_OR_OPERATIONS,every request has reproducible routing and explicit responsibility,"Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-01.04;ST-03.05;ST-04.05;ST-05.05;ST-06.05;ST-07.04;ST-08.07,,XDEP-001;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-09.02,42,EP-09,Route Through a Manual Shadow Before Automation,CONTROL_TOWER_OR_OPERATIONS,automation begins from observed expert behavior and evaluated phase-local capsules,"Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-09.01,,XDEP-001;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-09.03,43,EP-09,Validate Node Outputs and Contain Failure Feedback,CONTROL_TOWER_OR_OPERATIONS,"failures stay local, diagnosable, and unable to leak invalid output downstream","Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-09.02,,XDEP-001;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-09.04,44,EP-09,"Checkpoint, Isolate, and Resume Work Safely",CONTROL_TOWER_OR_OPERATIONS,the workflow can resume after failure without duplicating side effects or widening access,"Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-09.03,,XDEP-001;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-09.05,45,EP-09,Race Candidates and Route Compute Under Human Authority,CONTROL_TOWER_OR_OPERATIONS,compute is spent proportionally while consequential decisions stay human-governed,"Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-09.04,,XDEP-001;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-09.06,46,EP-09,Observe Queues and Prove Workflow Recovery,CONTROL_TOWER_OR_OPERATIONS,"operators can see cost, latency, quality, interventions, and recovery behavior at public seams","Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-09.05,,XDEP-001;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-09.07,47,EP-09,"Promote, Migrate, Roll Back, and Hotfix Workflow Profiles",CONTROL_TOWER_OR_OPERATIONS,workflow changes remain reversible and operationally governed,"Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-09.06,,XDEP-001;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-09.08,48,EP-09,Measure Workflow Outcomes and Reject Monolithic Orchestration,CONTROL_TOWER_OR_OPERATIONS,"the workflow remains an explicit, testable factory rather than an opaque agent prompt","Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-09.07,,XDEP-001;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-10.01,49,EP-10,Open a Trustworthy Run Index and Overview,CONTROL_TOWER_OR_OPERATIONS,"the current target, category, stage, status, and next governed action are immediately understandable","Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-01.04;ST-03.05;ST-04.05;ST-05.05;ST-06.05;ST-07.04;ST-08.07;ST-09.08,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-10.02,50,EP-10,"Explore Phase, Context, and Dependency Graphs",CONTROL_TOWER_OR_OPERATIONS,"the architect can trace what is ready, blocked, upstream, or affected without losing context","Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-10.01,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-10.03,51,EP-10,Inspect Evidence and Syntax Behind Decisions,CONTROL_TOWER_OR_OPERATIONS,every critical claim can be inspected at its originating evidence and parse seam,"Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-10.02,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-10.04,52,EP-10,Review Genesis Decisions and Human Authority,CONTROL_TOWER_OR_OPERATIONS,constitutional authority remains understandable and resumable from the Control Tower,"Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-10.03,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-10.05,53,EP-10,"Trace Skills, Recipes, and Runtime Capsules",CONTROL_TOWER_OR_OPERATIONS,the maintainer can explain which behavior and context entered a phase,"Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-10.04,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-10.06,54,EP-10,"Inspect Ownership, Modules, and Contracts",CONTROL_TOWER_OR_OPERATIONS,responsibility and permitted mutation remain clear before change or handoff,"Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-10.05,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-10.07,55,EP-10,"Judge Evaluations, Repairs, and Authorization Trajectory",CONTROL_TOWER_OR_OPERATIONS,"the reviewer can see why readiness advanced, regressed, or remains blocked","Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-10.06,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-10.08,56,EP-10,"Monitor Workflow, Incidents, Cost, and Context",CONTROL_TOWER_OR_OPERATIONS,operational pressure and intervention needs are visible before they become silent failure,"Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-10.07,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-10.09,57,EP-10,Execute Governed Commands and Export Receipts,CONTROL_TOWER_OR_OPERATIONS,"human actions remain least-privilege, conflict-aware, and auditable","Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-10.08,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-10.10,58,EP-10,"Use a Stable, Accessible, Evidence-Backed Shell",CONTROL_TOWER_OR_OPERATIONS,the Control Tower remains usable without becoming a second source of truth,"Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-10.09,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-10.11,59,EP-10,Preserve Workspace Context Across Inspectors and Layouts,CONTROL_TOWER_OR_OPERATIONS,dense operational review stays coherent across screen sizes and interaction modes,"Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-10.10,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-10.12,60,EP-10,"Represent Loading, Empty, Stale, and Disconnected State Honestly",CONTROL_TOWER_OR_OPERATIONS,the interface communicates evidence age and availability without optimistic authority,"Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-10.11,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-10.13,61,EP-10,"Contain Partial, Redacted, Failed, and Invalidated Projections",CONTROL_TOWER_OR_OPERATIONS,the interface preserves security and truth while exposing what can be retried or inspected,"Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-10.12,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-10.14,62,EP-10,Operate Large Collections Within Interaction Budgets,CONTROL_TOWER_OR_OPERATIONS,the interface remains responsive and measurable at Release 1 scale,"Operates workflow runtime, recovery, projections, or Control Tower after compilation.",ST-10.13,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,NONE,,,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-11.01,63,EP-11,Generate a Versioned Traceable Development Capsule,GENERIC_BUILDER_PROOF,an implementation team receives complete authority without inventing missing product decisions,Directly compiles or validates an artifact required by the synthetic Builder proof.,ST-03.05;ST-04.05;ST-05.05;ST-06.05;ST-07.04;ST-08.07;ST-09.08;ST-10.14,BD-008;BD-014;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-008;BD-014;HD-006;HD-007,BLOCKED_EVIDENCE,true,BLOCKED_BY_EARLIER_CORE_STORY_RECEIPTS
