inventory_id,change_kind,changed_fields,previous_normative_text,current_normative_text,previous_active_blockers,current_active_blockers,previous_primary_specs,current_primary_specs
D002,UPDATED,verification_refs,"The Builder is a human-governed agentic compiler. Deterministic tooling owns evidence processing and validation; agents investigate and recommend; humans own constitutional, creative-policy, risk, and irreversible architectural decisions.","The Builder is a human-governed agentic compiler. Deterministic tooling owns evidence processing and validation; agents investigate and recommend; humans own constitutional, creative-policy, risk, and irreversible architectural decisions.",,,TS-01;TS-04;TS-05;TS-12;TS-13;TS-14,TS-01;TS-04;TS-05;TS-12;TS-13;TS-14
D003,UPDATED,verification_refs,"Builder success has three gates: structural validity, implementation readiness, and downstream harness effectiveness.","Builder success has three gates: structural validity, implementation readiness, and downstream harness effectiveness.",BD-004;BD-008,BD-004;BD-008,TS-02;TS-04;TS-06;TS-07;TS-10;TS-13;TS-14;TS-15,TS-02;TS-04;TS-06;TS-07;TS-10;TS-13;TS-14;TS-15
D004,UPDATED,verification_refs,"The Builder supports three explicit compilation targets: Atomic Content Harness, Visual Asset Editor, and Content↔Asset Delegation Contract. Atomic Content Harness is the primary reference path.","The Builder supports three explicit compilation targets: Atomic Content Harness, Visual Asset Editor, and Content↔Asset Delegation Contract. Atomic Content Harness is the primary reference path.",BD-014,BD-014,TS-01;TS-11;TS-15,TS-01;TS-11;TS-15
D005,UPDATED,verification_refs,Each run starts from a configured evidence workspace with an exact target candidate and target-specific source profile.,Each run starts from a configured evidence workspace with an exact target candidate and target-specific source profile.,BD-004;BD-014,BD-004;BD-014,TS-01;TS-02;TS-11,TS-01;TS-02;TS-11
D006,UPDATED,verification_refs,All runs share a governed top-level lifecycle while each compilation target supplies a typed target-specific phase profile.,All runs share a governed top-level lifecycle while each compilation target supplies a typed target-specific phase profile.,,,TS-01;TS-02;TS-11;TS-14,TS-01;TS-02;TS-11;TS-14
D007,UPDATED,verification_refs,"Atomic Content Harness runs must complete Visual Syntactic Parsing, composition-variable classification, BBOX evidence mapping, visual-function hypotheses, cross-specimen syntax induction, sequence-grammar drafting, and draft Activative hypotheses before saturation can pass.","Atomic Content Harness runs must complete Visual Syntactic Parsing, composition-variable classification, BBOX evidence mapping, visual-function hypotheses, cross-specimen syntax induction, sequence-grammar drafting, and draft Activative hypotheses before saturation can pass.",BD-004;BD-007;BD-008,BD-004;BD-007;BD-008,TS-02;TS-03;TS-06;TS-07;TS-11;TS-12,TS-02;TS-03;TS-06;TS-07;TS-11;TS-12
D008,UPDATED,verification_refs,Atomicity is classified through an evidence-based typed test and receives human ratification.,Atomicity is classified through an evidence-based typed test and receives human ratification.,BD-004;BD-007;BD-008,BD-004;BD-007;BD-008,TS-03;TS-04;TS-11,TS-03;TS-04;TS-11
D010,UPDATED,verification_refs,"Genesis uses a dependency-driven decision graph, asks one dependency-ready question at a time, records recommendations and human decisions, and reopens affected nodes when contradictions appear.","Genesis uses a dependency-driven decision graph, asks one dependency-ready question at a time, records recommendations and human decisions, and reopens affected nodes when contradictions appear.",BD-004;BD-008,BD-004;BD-008,TS-01;TS-04;TS-05;TS-11;TS-12;TS-13;TS-14,TS-01;TS-04;TS-05;TS-11;TS-12;TS-13;TS-14
D011,UPDATED,verification_refs,"A typed Harness IR is the canonical source of truth; every document, skill, graph, contract, evaluation, ticket, and receipt is compiled from it.","A typed Harness IR is the canonical source of truth; every document, skill, graph, contract, evaluation, ticket, and receipt is compiled from it.",BD-014,BD-014,TS-03;TS-04;TS-05;TS-06;TS-11;TS-12;TS-13;TS-14,TS-03;TS-04;TS-05;TS-06;TS-11;TS-12;TS-13;TS-14
D012,UPDATED,verification_refs,"Every required capability receives an explicit ownership assignment such as deterministic module, typed model program, JIT Skill, reference, human decision, independent evaluator, provider adapter, or hybrid pipeline.","Every required capability receives an explicit ownership assignment such as deterministic module, typed model program, JIT Skill, reference, human decision, independent evaluator, provider adapter, or hybrid pipeline.",BD-010,BD-010,TS-03;TS-07;TS-08;TS-09;TS-14,TS-03;TS-07;TS-08;TS-09;TS-14
D013,UPDATED,verification_refs,Every generated harness receives a harness-specific typed Phase Graph and Context Graph.,Every generated harness receives a harness-specific typed Phase Graph and Context Graph.,,,TS-07;TS-12;TS-14,TS-07;TS-12;TS-14
D014,UPDATED,verification_refs,All authoritative phase-to-phase communication uses versioned typed contracts; downstream phases cannot silently rewrite upstream outputs.,All authoritative phase-to-phase communication uses versioned typed contracts; downstream phases cannot silently rewrite upstream outputs.,BD-014,BD-014,TS-03;TS-07;TS-11;TS-12;TS-13;TS-14,TS-03;TS-07;TS-11;TS-12;TS-13;TS-14
D015,UPDATED,verification_refs,"The Builder compiles responsibility-centered deep modules with explicit contracts, invariants, exclusions, dependencies, failure ownership, and test seams.","The Builder compiles responsibility-centered deep modules with explicit contracts, invariants, exclusions, dependencies, failure ownership, and test seams.",,,TS-07;TS-12;TS-13;TS-14,TS-07;TS-12;TS-13;TS-14
D016,UPDATED,verification_refs,"The Builder compiles a versioned Reference and Loading Graph governing exactly which doctrine, registries, examples, ontologies, and SPR resources each phase may load.","The Builder compiles a versioned Reference and Loading Graph governing exactly which doctrine, registries, examples, ontologies, and SPR resources each phase may load.",BD-010,BD-010,TS-07;TS-08;TS-14,TS-07;TS-08;TS-14
D017,UPDATED,verification_refs,"The skill system has four layers: Canonical Skill, Harness-local Skill Adaptation, Skill Composition Recipe, and ephemeral phase-local JIT Execution Capsule. New canonical skills require a formal capability-gap test.","The skill system has four layers: Canonical Skill, Harness-local Skill Adaptation, Skill Composition Recipe, and ephemeral phase-local JIT Execution Capsule. New canonical skills require a formal capability-gap test.",BD-010,BD-010,TS-07;TS-08;TS-09;TS-12;TS-14,TS-07;TS-08;TS-09;TS-12;TS-14
D018,UPDATED,verification_refs,"Generated harnesses use a deterministic, reproducible JIT compiler to assemble the smallest complete phase-local Execution Capsule.","Generated harnesses use a deterministic, reproducible JIT compiler to assemble the smallest complete phase-local Execution Capsule.",BD-010,BD-010,TS-07;TS-09;TS-12;TS-14,TS-07;TS-09;TS-12;TS-14
D019,UPDATED,verification_refs,"All runtime variables use a typed dependency, authority, precedence, conflict, invalidation, and degradation system and must resolve before capsule compilation.","All runtime variables use a typed dependency, authority, precedence, conflict, invalidation, and degradation system and must resolve before capsule compilation.",BD-010,BD-010,TS-05;TS-07;TS-08;TS-09;TS-14,TS-05;TS-07;TS-08;TS-09;TS-14
D020,UPDATED,verification_refs,Every phase uses a Minimum Complete Context policy; required context is never silently truncated.,Every phase uses a Minimum Complete Context policy; required context is never silently truncated.,BD-010,BD-010,TS-07;TS-09;TS-12;TS-14,TS-07;TS-09;TS-12;TS-14
D021,UPDATED,verification_refs,"Canonical skills, adaptations, recipes, capsules, and end-to-end phase behavior require layered behavioral evaluation and maturity promotion before production use.","Canonical skills, adaptations, recipes, capsules, and end-to-end phase behavior require layered behavioral evaluation and maturity promotion before production use.",BD-004;BD-008;BD-010,BD-004;BD-008;BD-010,IMPLEMENTATION_BASELINE;TS-06;TS-07;TS-08;TS-09;TS-10;TS-11;TS-12;TS-13;TS-14,IMPLEMENTATION_BASELINE;TS-06;TS-07;TS-08;TS-09;TS-10;TS-11;TS-12;TS-13;TS-14
D022,UPDATED,verification_refs,Builder quality is proven through a staged benchmark portfolio anchored by one mandatory primary reference harness and expanded through transfer targets.,Builder quality is proven through a staged benchmark portfolio anchored by one mandatory primary reference harness and expanded through transfer targets.,BD-004;BD-008,BD-004;BD-008,IMPLEMENTATION_BASELINE;TS-10;TS-13;TS-14;TS-15,IMPLEMENTATION_BASELINE;TS-10;TS-13;TS-14;TS-15
D023,UPDATED,verification_refs,"The benchmark corpus combines real specimens, expert goldens, known failures, adversarial near-misses, incomplete or contradictory evidence, controlled mutations, transfer cases, and protected release cases.","The benchmark corpus combines real specimens, expert goldens, known failures, adversarial near-misses, incomplete or contradictory evidence, controlled mutations, transfer cases, and protected release cases.",BD-004;BD-007;BD-008,BD-004;BD-007;BD-008,TS-02;TS-03;TS-10;TS-13;TS-14,TS-02;TS-03;TS-10;TS-13;TS-14
D024,UPDATED,verification_refs,"Builder performance uses multidimensional scores, hard release gates, repeated fresh-context runs, and target-specific thresholds.","Builder performance uses multidimensional scores, hard release gates, repeated fresh-context runs, and target-specific thresholds.",BD-004;BD-008,BD-004;BD-008,TS-10;TS-11;TS-12;TS-14,TS-10;TS-11;TS-12;TS-14
D025,UPDATED,verification_refs,"The Builder generates an event-sourced Pi Harness Control Tower backed by the Harness IR, Run Ledger, Decision Register, Artifact Registry, and receipts.","The Builder generates an event-sourced Pi Harness Control Tower backed by the Harness IR, Run Ledger, Decision Register, Artifact Registry, and receipts.",,,IMPLEMENTATION_BASELINE;TS-01;TS-02;TS-05;TS-07;TS-12;TS-14,IMPLEMENTATION_BASELINE;TS-01;TS-02;TS-05;TS-07;TS-12;TS-14
D026,UPDATED,verification_refs,"The Builder compiles a typed Repair and Invalidation Graph with root-cause analysis, smallest-responsible-layer repair, targeted regression, escalation, and receipts.","The Builder compiles a typed Repair and Invalidation Graph with root-cause analysis, smallest-responsible-layer repair, targeted regression, escalation, and receipts.",BD-004;BD-008,BD-004;BD-008,TS-05;TS-07;TS-10;TS-11;TS-12;TS-13;TS-14,TS-05;TS-07;TS-10;TS-11;TS-12;TS-13;TS-14
D027,UPDATED,verification_refs,Implementation begins only after an evidence-backed Authorization Gate; a restricted prototype-only state is available for empirical uncertainties.,Implementation begins only after an evidence-backed Authorization Gate; a restricted prototype-only state is available for empirical uncertainties.,BD-004;BD-008,BD-004;BD-008,TS-01;TS-02;TS-04;TS-05;TS-06;TS-09;TS-10;TS-11;TS-12;TS-13;TS-14,TS-01;TS-02;TS-04;TS-05;TS-06;TS-09;TS-10;TS-11;TS-12;TS-13;TS-14
D028,UPDATED,verification_refs,"V2.1 evolves through controlled, benchmarked increments with compatibility, deprecation, mapping, and regression tracking.","V2.1 evolves through controlled, benchmarked increments with compatibility, deprecation, mapping, and regression tracking.",,,IMPLEMENTATION_BASELINE;TS-02;TS-06;TS-10;TS-13;TS-14,IMPLEMENTATION_BASELINE;TS-02;TS-06;TS-10;TS-13;TS-14
D029,UPDATED,verification_refs,The Builder delivers a traceable Development Capsule containing authoritative specifications and only the executable scaffolding justified by the Harness IR.,The Builder delivers a traceable Development Capsule containing authoritative specifications and only the executable scaffolding justified by the Harness IR.,BD-014,BD-014,TS-01;TS-06;TS-11;TS-13;TS-14,TS-01;TS-06;TS-11;TS-13;TS-14
D030,UPDATED,verification_refs,The content-harness architecture is Shared Activative Core → Canonical Format Category → Category Format Profile → Atomic Harness. Every short-form video and 2D character-animation harness includes format-adapted Activative Sequencing Intelligence informed by visual and temporal syntax.,The content-harness architecture is Shared Activative Core → Canonical Format Category → Category Format Profile → Atomic Harness. Every short-form video and 2D character-animation harness includes format-adapted Activative Sequencing Intelligence informed by visual and temporal syntax.,BD-004;BD-007;BD-008;BD-014,BD-004;BD-007;BD-008;BD-014,TS-03;TS-07;TS-11,TS-03;TS-07;TS-11
D031,UPDATED,normative_text;verification_refs;source_evidence,"The four categories—Short-Form Edited Video, 2D Character Animation, Carousels, and Supervisuals—are governed through versioned category constitutions.","The four categories—Short-Form Edited Video, 2D Character Animation, Carousels, and Supervisuals—are governed through versioned category constitutions. Current V1.2 effect: the constitutional amendment expands this historical four-category decision to five categories, including Conversational Activation / Human Expression.",BD-004;BD-007;BD-008;BD-014,BD-004;BD-007;BD-008;BD-014,TS-03;TS-11,TS-03;TS-11
D032,UPDATED,verification_refs,Release 1 establishes the complete architectural spine and proves it through one fully implemented and certified Atomic Content Harness vertical slice; other targets remain structurally supported but uncertified.,Release 1 establishes the complete architectural spine and proves it through one fully implemented and certified Atomic Content Harness vertical slice; other targets remain structurally supported but uncertified.,BD-004;BD-008;BD-014,BD-004;BD-008;BD-014,TS-10;TS-13;TS-14;TS-15,TS-10;TS-13;TS-14;TS-15
D033,UPDATED,verification_refs,"The product constitution includes machine-testable boundaries preventing implementation creep, universal creative engines, category flattening, unsupported evidence promotion, skill sprawl, orchestration leakage, silent context truncation, broad repairs, hidden operational state, and premature general certification.","The product constitution includes machine-testable boundaries preventing implementation creep, universal creative engines, category flattening, unsupported evidence promotion, skill sprawl, orchestration leakage, silent context truncation, broad repairs, hidden operational state, and premature general certification.",BD-014,BD-014,TS-01;TS-04;TS-06;TS-07;TS-08;TS-09;TS-10;TS-11;TS-12;TS-13;TS-14;TS-15,TS-01;TS-04;TS-06;TS-07;TS-08;TS-09;TS-10;TS-11;TS-12;TS-13;TS-14;TS-15
FR-009,UPDATED,verification_refs,"The Builder must define required, recommended, optional, and prohibited source roles independently for each compilation target and category profile.","The Builder must define required, recommended, optional, and prohibited source roles independently for each compilation target and category profile.",BD-004,BD-004,TS-02,TS-02
FR-010,UPDATED,verification_refs,"The Builder must inspect configured paths, archive readability, source type, expected role, and version hints before committing the run to analysis.","The Builder must inspect configured paths, archive readability, source type, expected role, and version hints before committing the run to analysis.",BD-004,BD-004,TS-02,TS-02
FR-011,UPDATED,verification_refs,The Builder must index approved directory and ZIP sources in place while preserving source immutability and recorded hashes.,The Builder must index approved directory and ZIP sources in place while preserving source immutability and recorded hashes.,BD-004,BD-004,TS-02,TS-02
FR-012,UPDATED,verification_refs,The exact target candidate must resolve to a real accessible directory or another target type explicitly supported by its profile; internal archive paths may not be treated as traversable directories without deterministic extraction.,The exact target candidate must resolve to a real accessible directory or another target type explicitly supported by its profile; internal archive paths may not be treated as traversable directories without deterministic extraction.,BD-004,BD-004,TS-02,TS-02
FR-013,UPDATED,verification_refs,"The Builder must record source identifiers, canonical paths, cryptographic hashes, sizes, timestamps where available, roles, precedence, and authority status in a Source Lock.","The Builder must record source identifiers, canonical paths, cryptographic hashes, sizes, timestamps where available, roles, precedence, and authority status in a Source Lock.",BD-004,BD-004,TS-02,TS-02
FR-014,UPDATED,verification_refs,"The Builder must index relevant files, archive entries, documents, schemas, registries, code, media, and prior implementations with provenance and semantic role metadata.","The Builder must index relevant files, archive entries, documents, schemas, registries, code, media, and prior implementations with provenance and semantic role metadata.",BD-004,BD-004,TS-02,TS-02
FR-015,UPDATED,verification_refs,"The Builder must assign stable IDs, hashes, media types, dimensions or duration, source paths, duplicate relationships, and analysis status to every target specimen.","The Builder must assign stable IDs, hashes, media types, dimensions or duration, source paths, duplicate relationships, and analysis status to every target specimen.",BD-004,BD-004,TS-02,TS-02
