story_id,global_order,epic_id,title,release_1_role,format02_readiness_classification,full_product_readiness_classification,source_gate_status,dependency_story_ids,primary_blocking_frontier,applicable_blocker_ids,conditionally_inapplicable_blocker_ids,format02_sequence_required,acceptance_tests_complete,observability_evidence_complete,completion_receipt_required,external_product_boundary_valid,ready_for_bounded_capsule,currently_implementation_authorized,rationale
ST-03.02,11,EP-03,Record Human Authority and Resume Genesis Safely,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EXTERNAL_DEPENDENCY,INHERITED_EVIDENCE_FRONTIER,ST-03.01,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-03.03,12,EP-03,Maintain One Provenance-Rich Canonical Harness IR,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EVIDENCE,INHERITED_EVIDENCE_FRONTIER,ST-03.02,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,BD-014@external_target_branch_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-03.04,13,EP-03,Compile Human and Machine Artifacts Deterministically,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EXTERNAL_DEPENDENCY,INHERITED_EVIDENCE_FRONTIER,ST-03.03,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-03.05,14,EP-03,Enforce Constitutional Precedence Across Compiled Artifacts,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EXTERNAL_DEPENDENCY,INHERITED_EVIDENCE_FRONTIER,ST-03.04,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-04.01,15,EP-04,Assign Explicit Ownership to Every Required Capability,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EVIDENCE,INHERITED_EVIDENCE_FRONTIER,ST-03.05,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-010,,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-04.02,16,EP-04,Compile Responsibility-Centered Modules with Test Seams,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EVIDENCE,INHERITED_EVIDENCE_FRONTIER,ST-04.01,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-04.03,17,EP-04,Order Work Through an Executable Phase Graph,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EVIDENCE,INHERITED_EVIDENCE_FRONTIER,ST-04.02,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-04.04,18,EP-04,Protect Typed Phase and Context Handoffs,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EVIDENCE,INHERITED_EVIDENCE_FRONTIER,ST-04.03,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,BD-014@external_target_branch_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-04.05,19,EP-04,Compile Minimum Complete Context Without Silent Truncation,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EVIDENCE,INHERITED_EVIDENCE_FRONTIER,ST-04.04,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-010,,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-05.01,20,EP-05,Operate a Versioned Canonical Skill Registry,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-04.05,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004;BD-008;BD-010,HD-007@conversational_certification_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-05.02,21,EP-05,Prove a Skill Is Needed Before Designing It,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-05.01,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-010,HD-007@conversational_certification_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-05.03,22,EP-05,Package Portable Skills with Behavioral Anchors,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-05.02,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-010,HD-007@conversational_certification_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-05.04,23,EP-05,Assemble a Deterministic Phase-Local JIT Capsule,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-05.03,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-010,HD-007@conversational_certification_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-05.05,24,EP-05,Pin and Dispose of Capsules Reproducibly,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-05.04,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-010,HD-007@conversational_certification_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-06.01,25,EP-06,Bind Every Harness to One of Five Canonical Categories,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-02.05;ST-03.05;ST-04.05,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004;BD-007;BD-008;BD-010,HD-006@conversational_execution_only;HD-007@conversational_certification_only;BD-014@external_target_branch_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-06.02,26,EP-06,Compile Category-Local Format and Performance Profiles,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-06.01,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004;BD-007;BD-008;BD-010,HD-006@conversational_execution_only;HD-007@conversational_certification_only;BD-014@external_target_branch_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-06.03,27,EP-06,Compile Category-Native Syntax and Activative Sequencing,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-06.02,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004;BD-007;BD-008;BD-010,HD-006@conversational_execution_only;HD-007@conversational_certification_only;BD-014@external_target_branch_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-06.04,28,EP-06,"Own Category Runtime, Evaluation, Repair, and Migration Rules",RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-06.03,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004;BD-007;BD-008;BD-010,HD-006@conversational_execution_only;HD-007@conversational_certification_only;BD-014@external_target_branch_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-06.05,29,EP-06,Compile the Conversational Expression Feedback Chain,CONVERSATIONAL_STRUCTURAL_SUPPORT_UNCERTIFIED,BLOCKED_HUMAN_DECISION,BLOCKED_HUMAN_DECISION,CATEGORY_CONDITIONAL,ST-06.04,HD-006;HD-007,BD-004;BD-008;BD-010;HD-006;HD-007,,false,true,true,true,true,false,false,The Story primary outcome is conversational; HD-006 governs Human Reaction data use and HD-007 governs conversational certification.
ST-07.01,30,EP-07,Register Three Distinct Compilation Targets,THREE_TARGET_STRUCTURAL_SUPPORT_EXTERNAL_RUNTIME_EXCLUDED,BLOCKED_EXTERNAL_DEPENDENCY,BLOCKED_EVIDENCE,EXTERNAL_INTEGRATION,ST-03.05;ST-04.05;ST-06.05,BD-014,BD-014,XDEP-004@conversational_target_only,true,true,true,true,true,false,false,The Story owns the three-target structural handoff outcome and requires the remaining authoritative external-interface evidence; no external runtime is implemented by Builder.
ST-07.02,31,EP-07,Compile a Target-Specific Atomic Content Harness,THREE_TARGET_STRUCTURAL_SUPPORT_EXTERNAL_RUNTIME_EXCLUDED,BLOCKED_EXTERNAL_DEPENDENCY,BLOCKED_EVIDENCE,EXTERNAL_INTEGRATION,ST-07.01,BD-014,BD-014,XDEP-004@conversational_target_only,true,true,true,true,true,false,false,The Story owns the three-target structural handoff outcome and requires the remaining authoritative external-interface evidence; no external runtime is implemented by Builder.
ST-07.03,32,EP-07,Compile VAE and Delegation Handoffs Without Implementing Them,THREE_TARGET_STRUCTURAL_SUPPORT_EXTERNAL_RUNTIME_EXCLUDED,BLOCKED_EXTERNAL_DEPENDENCY,BLOCKED_EVIDENCE,EXTERNAL_INTEGRATION,ST-07.02,BD-014,BD-007;BD-008;BD-014,XDEP-004@conversational_target_only,true,true,true,true,true,false,false,The Story owns the three-target structural handoff outcome and requires the remaining authoritative external-interface evidence; no external runtime is implemented by Builder.
ST-07.04,33,EP-07,"Validate Target Artifacts, Gates, and Compatibility",THREE_TARGET_STRUCTURAL_SUPPORT_EXTERNAL_RUNTIME_EXCLUDED,BLOCKED_EXTERNAL_DEPENDENCY,BLOCKED_EVIDENCE,EXTERNAL_INTEGRATION,ST-07.03,BD-014,BD-014,XDEP-004@conversational_target_only,true,true,true,true,true,false,false,The Story owns the three-target structural handoff outcome and requires the remaining authoritative external-interface evidence; no external runtime is implemented by Builder.
ST-08.01,34,EP-08,Measure Behavior Against Controls in Fresh Contexts,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-02.05;ST-03.05;ST-04.05;ST-05.05;ST-06.05;ST-07.04,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004;BD-008,HD-006@conversational_execution_only;HD-007@conversational_certification_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-08.02,35,EP-08,Promote Maturity Only Through Protected Receipts,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-08.01,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004;BD-007;BD-008,HD-006@conversational_execution_only;HD-007@conversational_certification_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-08.03,36,EP-08,Score Independent Dimensions and Controlled Mutations,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-08.02,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004;BD-008,HD-006@conversational_execution_only;HD-007@conversational_certification_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-08.04,37,EP-08,Diagnose Root Cause Before Selecting Repair,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-08.03,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004;BD-008,HD-006@conversational_execution_only;HD-007@conversational_certification_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-08.05,38,EP-08,Repair Selectively and Rerun Only Affected Regressions,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-08.04,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-008,HD-006@conversational_execution_only;HD-007@conversational_certification_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-08.06,39,EP-08,Issue Evidence-Backed Readiness and Authorization Receipts,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-08.05,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004;BD-008,HD-006@conversational_execution_only;HD-007@conversational_certification_only;BD-014@external_target_branch_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-08.07,40,EP-08,Reject Wrong Readings and Evaluate Conversational Expression,CONVERSATIONAL_STRUCTURAL_SUPPORT_UNCERTIFIED,BLOCKED_HUMAN_DECISION,BLOCKED_HUMAN_DECISION,CATEGORY_CONDITIONAL,ST-08.06,HD-006;HD-007,BD-008;HD-006;HD-007,,false,true,true,true,true,false,false,The Story primary outcome is conversational; HD-006 governs Human Reaction data use and HD-007 governs conversational certification.
ST-09.01,41,EP-09,Compile an Actor-Explicit Builder Workflow,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EXTERNAL_DEPENDENCY,INHERITED_EVIDENCE_FRONTIER,ST-01.04;ST-03.05;ST-04.05;ST-05.05;ST-06.05;ST-07.04;ST-08.07,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-09.02,42,EP-09,Route Through a Manual Shadow Before Automation,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EXTERNAL_DEPENDENCY,INHERITED_EVIDENCE_FRONTIER,ST-09.01,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-09.03,43,EP-09,Validate Node Outputs and Contain Failure Feedback,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EXTERNAL_DEPENDENCY,INHERITED_EVIDENCE_FRONTIER,ST-09.02,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-09.04,44,EP-09,"Checkpoint, Isolate, and Resume Work Safely",RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EXTERNAL_DEPENDENCY,INHERITED_EVIDENCE_FRONTIER,ST-09.03,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-09.05,45,EP-09,Race Candidates and Route Compute Under Human Authority,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EXTERNAL_DEPENDENCY,INHERITED_EVIDENCE_FRONTIER,ST-09.04,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-09.06,46,EP-09,Observe Queues and Prove Workflow Recovery,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EXTERNAL_DEPENDENCY,INHERITED_EVIDENCE_FRONTIER,ST-09.05,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-09.07,47,EP-09,"Promote, Migrate, Roll Back, and Hotfix Workflow Profiles",RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EXTERNAL_DEPENDENCY,INHERITED_EVIDENCE_FRONTIER,ST-09.06,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-09.08,48,EP-09,Measure Workflow Outcomes and Reject Monolithic Orchestration,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EXTERNAL_DEPENDENCY,INHERITED_EVIDENCE_FRONTIER,ST-09.07,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-10.01,49,EP-10,Open a Trustworthy Run Index and Overview,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EXTERNAL_DEPENDENCY,INHERITED_EVIDENCE_FRONTIER,ST-01.04;ST-03.05;ST-04.05;ST-05.05;ST-06.05;ST-07.04;ST-08.07;ST-09.08,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-10.02,50,EP-10,"Explore Phase, Context, and Dependency Graphs",RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EXTERNAL_DEPENDENCY,INHERITED_EVIDENCE_FRONTIER,ST-10.01,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-10.03,51,EP-10,Inspect Evidence and Syntax Behind Decisions,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EXTERNAL_DEPENDENCY,INHERITED_EVIDENCE_FRONTIER,ST-10.02,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-10.04,52,EP-10,Review Genesis Decisions and Human Authority,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EXTERNAL_DEPENDENCY,INHERITED_EVIDENCE_FRONTIER,ST-10.03,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-10.05,53,EP-10,"Trace Skills, Recipes, and Runtime Capsules",RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EXTERNAL_DEPENDENCY,INHERITED_EVIDENCE_FRONTIER,ST-10.04,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited,XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
