story_id,global_order,epic_id,story_title,technical_spec_ids,spec_assignment_count,implementation_owners,contract_handles,schema_refs,primary_obligation_count,required_test_ids,implementation_gate_status,decision_or_blocker_ids,cross_repository_dependency_ids,assignment_basis
ST-04.01,15,EP-04,Assign Explicit Ownership to Every Required Capability,TS-03;TS-07;TS-08;TS-09;TS-14,5,TS-07;product_constitution,CapabilityOwnership;PhaseContract;ContextContract;HandoffContract;ReferenceContract,,5,ST-04.01-acceptance;ST-04.01-failure;ST-04.01-authority;ST-04.01-receipt,EVIDENCE_GATED,BD-010,XDEP-001,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-04.02,16,EP-04,Compile Responsibility-Centered Modules with Test Seams,TS-07;TS-12;TS-13;TS-14,4,TS-07;product_constitution,CapabilityOwnership;PhaseContract;ContextContract;HandoffContract;ReferenceContract,,3,ST-04.02-acceptance;ST-04.02-failure;ST-04.02-authority;ST-04.02-receipt,PLANNING_COMPLETE_IMPLEMENTATION_PROHIBITED,,XDEP-001,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-04.03,17,EP-04,Order Work Through an Executable Phase Graph,TS-07;TS-12;TS-14,3,TS-07;product_constitution,CapabilityOwnership;PhaseContract;ContextContract;HandoffContract;ReferenceContract,,3,ST-04.03-acceptance;ST-04.03-failure;ST-04.03-authority;ST-04.03-receipt,PLANNING_COMPLETE_IMPLEMENTATION_PROHIBITED,,XDEP-001,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-04.04,18,EP-04,Protect Typed Phase and Context Handoffs,TS-01;TS-03;TS-05;TS-06;TS-07;TS-11;TS-12;TS-13;TS-14,9,TS-07;evaluation_governance;product_constitution,CapabilityOwnership;PhaseContract;ContextContract;HandoffContract;ReferenceContract,,9,ST-04.04-acceptance;ST-04.04-failure;ST-04.04-authority;ST-04.04-receipt,EVIDENCE_GATED,BD-014,XDEP-001,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-04.05,19,EP-04,Compile Minimum Complete Context Without Silent Truncation,TS-00;TS-07;TS-08;TS-09;TS-12;TS-14,6,TS-07;product_constitution,CapabilityOwnership;PhaseContract;ContextContract;HandoffContract;ReferenceContract,,13,ST-04.05-acceptance;ST-04.05-failure;ST-04.05-authority;ST-04.05-receipt,EVIDENCE_GATED,BD-010,XDEP-001,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-05.01,20,EP-05,Operate a Versioned Canonical Skill Registry,IMPLEMENTATION_BASELINE;TS-06;TS-07;TS-08;TS-09;TS-10;TS-11;TS-12;TS-13;TS-14,10,TS-08;product_constitution,SkillPackage;SkillRecipe;PhaseCapsule,,5,ST-05.01-acceptance;ST-05.01-failure;ST-05.01-authority;ST-05.01-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-008;BD-010;HD-007,XDEP-001,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-05.02,21,EP-05,Prove a Skill Is Needed Before Designing It,TS-00;TS-07;TS-08,3,TS-08;product_constitution,SkillPackage;SkillRecipe;PhaseCapsule,,4,ST-05.02-acceptance;ST-05.02-failure;ST-05.02-authority;ST-05.02-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-010;HD-007,XDEP-001,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-05.03,22,EP-05,Package Portable Skills with Behavioral Anchors,TS-00;TS-07;TS-08;TS-09;TS-10;TS-12;TS-14,7,TS-08;product_constitution,SkillPackage;SkillRecipe;PhaseCapsule,,6,ST-05.03-acceptance;ST-05.03-failure;ST-05.03-authority;ST-05.03-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-010;HD-007,XDEP-001,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-05.04,23,EP-05,Assemble a Deterministic Phase-Local JIT Capsule,TS-00;TS-05;TS-07;TS-08;TS-09;TS-10;TS-12;TS-13;TS-14,9,Skill architecture;TS-09;evaluation_governance;product_constitution,SkillPackage;SkillRecipe;PhaseCapsule,,14,ST-05.04-acceptance;ST-05.04-failure;ST-05.04-authority;ST-05.04-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-010;HD-007,XDEP-001,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-05.05,24,EP-05,Pin and Dispose of Capsules Reproducibly,TS-09,1,TS-09,SkillPackage;SkillRecipe;PhaseCapsule,,3,ST-05.05-acceptance;ST-05.05-failure;ST-05.05-authority;ST-05.05-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-010;HD-007,XDEP-001,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-06.01,25,EP-06,Bind Every Harness to One of Five Canonical Categories,TS-00;TS-01;TS-03;TS-04;TS-06;TS-07;TS-10;TS-11;TS-12;TS-13;TS-15,11,TS-11;constitutional_alignment_and_mapped_spec_owners;evaluation_governance;product_constitution,SharedActivativeCore;ActivativeIntelligencePack;ConversationalActivationExpression;ActivativeCall;ReactionReceipt;ExpressionMoment;IdentityDNAAmendmentProposal,docs/contracts/schemas/shared-activative-core.schema.json;docs/contracts/schemas/conversational-expression.schema.json,13,ST-06.01-acceptance;ST-06.01-failure;ST-06.01-authority;ST-06.01-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,XDEP-001;XDEP-004;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-06.02,26,EP-06,Compile Category-Local Format and Performance Profiles,TS-00;TS-11;TS-15,3,TS-11;product_constitution,SharedActivativeCore;ActivativeIntelligencePack;ConversationalActivationExpression;ActivativeCall;ReactionReceipt;ExpressionMoment;IdentityDNAAmendmentProposal,docs/contracts/schemas/shared-activative-core.schema.json;docs/contracts/schemas/conversational-expression.schema.json,4,ST-06.02-acceptance;ST-06.02-failure;ST-06.02-authority;ST-06.02-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,XDEP-001;XDEP-004;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-06.03,27,EP-06,Compile Category-Native Syntax and Activative Sequencing,TS-00;TS-03;TS-05;TS-06;TS-07;TS-09;TS-11;TS-14;TS-15,9,TS-11;constitutional_alignment_and_mapped_spec_owners,SharedActivativeCore;ActivativeIntelligencePack;ConversationalActivationExpression;ActivativeCall;ReactionReceipt;ExpressionMoment;IdentityDNAAmendmentProposal,docs/contracts/schemas/shared-activative-core.schema.json;docs/contracts/schemas/conversational-expression.schema.json,6,ST-06.03-acceptance;ST-06.03-failure;ST-06.03-authority;ST-06.03-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,XDEP-001;XDEP-004;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-06.04,28,EP-06,"Own Category Runtime, Evaluation, Repair, and Migration Rules",TS-11,1,TS-11,SharedActivativeCore;ActivativeIntelligencePack;ConversationalActivationExpression;ActivativeCall;ReactionReceipt;ExpressionMoment;IdentityDNAAmendmentProposal,docs/contracts/schemas/shared-activative-core.schema.json;docs/contracts/schemas/conversational-expression.schema.json,4,ST-06.04-acceptance;ST-06.04-failure;ST-06.04-authority;ST-06.04-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,XDEP-001;XDEP-004;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-06.05,29,EP-06,Compile the Conversational Expression Feedback Chain,TS-02;TS-06;TS-07;TS-10;TS-11;TS-12;TS-14,7,constitutional_alignment_and_mapped_spec_owners,SharedActivativeCore;ActivativeIntelligencePack;ConversationalActivationExpression;ActivativeCall;ReactionReceipt;ExpressionMoment;IdentityDNAAmendmentProposal,docs/contracts/schemas/shared-activative-core.schema.json;docs/contracts/schemas/conversational-expression.schema.json,1,ST-06.05-acceptance;ST-06.05-failure;ST-06.05-authority;ST-06.05-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-008;BD-010;HD-006;HD-007,XDEP-001;XDEP-004;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-07.01,30,EP-07,Register Three Distinct Compilation Targets,TS-01;TS-11;TS-15,3,Cross-product architecture;TS-11;product_constitution,TargetProfile;VisualSemanticAndNarrativeHandoff;TVRouteRequest;DelegationHandoff;AssetDemandSemanticLineage,docs/contracts/schemas/visual-semantic-handoff.schema.json,3,ST-07.01-acceptance;ST-07.01-failure;ST-07.01-authority;ST-07.01-receipt,EVIDENCE_GATED,BD-014,XDEP-001;XDEP-002;XDEP-003;XDEP-004,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-07.02,31,EP-07,Compile a Target-Specific Atomic Content Harness,TS-11,1,TS-11,TargetProfile;VisualSemanticAndNarrativeHandoff;TVRouteRequest;DelegationHandoff;AssetDemandSemanticLineage,docs/contracts/schemas/visual-semantic-handoff.schema.json,4,ST-07.02-acceptance;ST-07.02-failure;ST-07.02-authority;ST-07.02-receipt,EVIDENCE_GATED,BD-014,XDEP-001;XDEP-002;XDEP-003;XDEP-004,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-07.03,32,EP-07,Compile VAE and Delegation Handoffs Without Implementing Them,TS-03;TS-06;TS-07;TS-10;TS-11;TS-13;TS-14;TS-15,8,Product lead and cross-product architecture;TS-11;constitutional_alignment_and_mapped_spec_owners,TargetProfile;VisualSemanticAndNarrativeHandoff;TVRouteRequest;DelegationHandoff;AssetDemandSemanticLineage,docs/contracts/schemas/visual-semantic-handoff.schema.json,4,ST-07.03-acceptance;ST-07.03-failure;ST-07.03-authority;ST-07.03-receipt,EVIDENCE_GATED,BD-007;BD-008;BD-014,XDEP-001;XDEP-002;XDEP-003;XDEP-004,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-07.04,33,EP-07,"Validate Target Artifacts, Gates, and Compatibility",TS-11,1,TS-11,TargetProfile;VisualSemanticAndNarrativeHandoff;TVRouteRequest;DelegationHandoff;AssetDemandSemanticLineage,docs/contracts/schemas/visual-semantic-handoff.schema.json,4,ST-07.04-acceptance;ST-07.04-failure;ST-07.04-authority;ST-07.04-receipt,EVIDENCE_GATED,BD-014,XDEP-001;XDEP-002;XDEP-003;XDEP-004,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-08.01,34,EP-08,Measure Behavior Against Controls in Fresh Contexts,TS-10,1,TS-10,EvaluationCase;ConstitutionalEvaluationReceipt;ConstitutionalReadinessReceipt;RepairReceipt,docs/contracts/schemas/constitutional-evaluation.schema.json;docs/contracts/schemas/conversational-expression.schema.json,6,ST-08.01-acceptance;ST-08.01-failure;ST-08.01-authority;ST-08.01-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-08.02,35,EP-08,Promote Maturity Only Through Protected Receipts,IMPLEMENTATION_BASELINE;TS-02;TS-03;TS-08;TS-10;TS-13;TS-14;TS-15,8,Evaluation governance and architecture;TS-10;product_constitution,EvaluationCase;ConstitutionalEvaluationReceipt;ConstitutionalReadinessReceipt;RepairReceipt,docs/contracts/schemas/constitutional-evaluation.schema.json;docs/contracts/schemas/conversational-expression.schema.json,9,ST-08.02-acceptance;ST-08.02-failure;ST-08.02-authority;ST-08.02-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-08.03,36,EP-08,Score Independent Dimensions and Controlled Mutations,TS-10;TS-11;TS-12;TS-14,4,TS-10;evaluation_governance;product_constitution,EvaluationCase;ConstitutionalEvaluationReceipt;ConstitutionalReadinessReceipt;RepairReceipt,docs/contracts/schemas/constitutional-evaluation.schema.json;docs/contracts/schemas/conversational-expression.schema.json,9,ST-08.03-acceptance;ST-08.03-failure;ST-08.03-authority;ST-08.03-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-08.04,37,EP-08,Diagnose Root Cause Before Selecting Repair,TS-00;TS-05;TS-07;TS-10;TS-11;TS-12;TS-13;TS-14,8,TS-13;product_constitution,EvaluationCase;ConstitutionalEvaluationReceipt;ConstitutionalReadinessReceipt;RepairReceipt,docs/contracts/schemas/constitutional-evaluation.schema.json;docs/contracts/schemas/conversational-expression.schema.json,5,ST-08.04-acceptance;ST-08.04-failure;ST-08.04-authority;ST-08.04-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-08.05,38,EP-08,Repair Selectively and Rerun Only Affected Regressions,TS-13,1,TS-13,EvaluationCase;ConstitutionalEvaluationReceipt;ConstitutionalReadinessReceipt;RepairReceipt,docs/contracts/schemas/constitutional-evaluation.schema.json;docs/contracts/schemas/conversational-expression.schema.json,3,ST-08.05-acceptance;ST-08.05-failure;ST-08.05-authority;ST-08.05-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-08.06,39,EP-08,Issue Evidence-Backed Readiness and Authorization Receipts,TS-00;TS-01;TS-02;TS-04;TS-05;TS-06;TS-07;TS-08;TS-09;TS-10;TS-11;TS-12;TS-13;TS-14;TS-15,15,TS-13;evaluation_governance;product_constitution,EvaluationCase;ConstitutionalEvaluationReceipt;ConstitutionalReadinessReceipt;RepairReceipt,docs/contracts/schemas/constitutional-evaluation.schema.json;docs/contracts/schemas/conversational-expression.schema.json,10,ST-08.06-acceptance;ST-08.06-failure;ST-08.06-authority;ST-08.06-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-008;BD-014;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-08.07,40,EP-08,Reject Wrong Readings and Evaluate Conversational Expression,TS-03;TS-06;TS-10;TS-11;TS-12;TS-13;TS-15,7,constitutional_alignment_and_mapped_spec_owners,EvaluationCase;ConstitutionalEvaluationReceipt;ConstitutionalReadinessReceipt;RepairReceipt,docs/contracts/schemas/constitutional-evaluation.schema.json;docs/contracts/schemas/conversational-expression.schema.json,2,ST-08.07-acceptance;ST-08.07-failure;ST-08.07-authority;ST-08.07-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-008;HD-006;HD-007,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-09.01,41,EP-09,Compile an Actor-Explicit Builder Workflow,TS-14,1,TS-14;Workflow architecture and operations,WorkflowIR;WorkflowNodeContract;CheckpointReceipt;PromotionReceipt,,9,ST-09.01-acceptance;ST-09.01-failure;ST-09.01-authority;ST-09.01-receipt,CONDITIONAL_EXTERNAL_DEPENDENCY,,XDEP-001;XDEP-005,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-09.02,42,EP-09,Route Through a Manual Shadow Before Automation,TS-14,1,TS-14,WorkflowIR;WorkflowNodeContract;CheckpointReceipt;PromotionReceipt,,5,ST-09.02-acceptance;ST-09.02-failure;ST-09.02-authority;ST-09.02-receipt,CONDITIONAL_EXTERNAL_DEPENDENCY,,XDEP-001;XDEP-005,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-09.03,43,EP-09,Validate Node Outputs and Contain Failure Feedback,TS-00;TS-14,2,TS-14;evaluation_governance;product_constitution,WorkflowIR;WorkflowNodeContract;CheckpointReceipt;PromotionReceipt,,9,ST-09.03-acceptance;ST-09.03-failure;ST-09.03-authority;ST-09.03-receipt,CONDITIONAL_EXTERNAL_DEPENDENCY,,XDEP-001;XDEP-005,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-09.04,44,EP-09,"Checkpoint, Isolate, and Resume Work Safely",TS-00;TS-02;TS-03;TS-14,4,Security and workflow architecture;TS-14;product_constitution,WorkflowIR;WorkflowNodeContract;CheckpointReceipt;PromotionReceipt,,12,ST-09.04-acceptance;ST-09.04-failure;ST-09.04-authority;ST-09.04-receipt,CONDITIONAL_EXTERNAL_DEPENDENCY,,XDEP-001;XDEP-005,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-09.05,45,EP-09,Race Candidates and Route Compute Under Human Authority,TS-00;TS-07;TS-14,3,TS-14;product_constitution,WorkflowIR;WorkflowNodeContract;CheckpointReceipt;PromotionReceipt,,6,ST-09.05-acceptance;ST-09.05-failure;ST-09.05-authority;ST-09.05-receipt,CONDITIONAL_EXTERNAL_DEPENDENCY,,XDEP-001;XDEP-005,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-09.06,46,EP-09,Observe Queues and Prove Workflow Recovery,TS-14,1,TS-14,WorkflowIR;WorkflowNodeContract;CheckpointReceipt;PromotionReceipt,,9,ST-09.06-acceptance;ST-09.06-failure;ST-09.06-authority;ST-09.06-receipt,CONDITIONAL_EXTERNAL_DEPENDENCY,,XDEP-001;XDEP-005,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-09.07,47,EP-09,"Promote, Migrate, Roll Back, and Hotfix Workflow Profiles",TS-10;TS-12;TS-14,3,"Operations, security, and architecture;Product lead, Builder maintainer, and workflow architecture;TS-14;evaluation_governance",WorkflowIR;WorkflowNodeContract;CheckpointReceipt;PromotionReceipt,,7,ST-09.07-acceptance;ST-09.07-failure;ST-09.07-authority;ST-09.07-receipt,CONDITIONAL_EXTERNAL_DEPENDENCY,,XDEP-001;XDEP-005,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-09.08,48,EP-09,Measure Workflow Outcomes and Reject Monolithic Orchestration,TS-00;TS-07;TS-14,3,TS-14;evaluation_governance;product_constitution,WorkflowIR;WorkflowNodeContract;CheckpointReceipt;PromotionReceipt,,5,ST-09.08-acceptance;ST-09.08-failure;ST-09.08-authority;ST-09.08-receipt,CONDITIONAL_EXTERNAL_DEPENDENCY,,XDEP-001;XDEP-005,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-10.01,49,EP-10,Open a Trustworthy Run Index and Overview,TS-12,1,TS-12;ux_architecture,ControlTowerConstitutionalProjection;GovernedCommand;ProjectionReceipt,docs/contracts/schemas/constitutional-evaluation.schema.json#/$defs/ControlTowerConstitutionalProjection,6,ST-10.01-acceptance;ST-10.01-failure;ST-10.01-authority;ST-10.01-receipt,CONDITIONAL_EXTERNAL_DEPENDENCY,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-10.02,50,EP-10,"Explore Phase, Context, and Dependency Graphs",TS-12,1,TS-12;ux_architecture,ControlTowerConstitutionalProjection;GovernedCommand;ProjectionReceipt,docs/contracts/schemas/constitutional-evaluation.schema.json#/$defs/ControlTowerConstitutionalProjection,3,ST-10.02-acceptance;ST-10.02-failure;ST-10.02-authority;ST-10.02-receipt,CONDITIONAL_EXTERNAL_DEPENDENCY,,XDEP-001;XDEP-002;XDEP-003;XDEP-004;XDEP-005,confirmed Story primary_specs projected without changing Story or Epic ownership
