inventory_id,authority_type,title,primary_epic_id,primary_story_id,story_title,source_release_scope,story_release_disposition,story_release_1_role,primary_specs,active_blockers,gate_refs,story_implementation_gate_status,completion_receipt,assignment_basis
AG-015,BINDING_ANTI_GOAL,Issue readiness from document completeness,EP-08,ST-08.06,Issue Evidence-Backed Readiness and Authorization Receipts,CROSS_CUTTING,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-10;TS-13,,HD-006;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-08.06:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-016,BINDING_ANTI_GOAL,Hide operational state,EP-10,ST-10.13,"Contain Partial, Redacted, Failed, and Invalidated Projections",CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-12;TS-14,,,CONDITIONAL_EXTERNAL_DEPENDENCY,ST-10.13:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-017,BINDING_ANTI_GOAL,Claim general readiness from one harness,EP-12,ST-12.04,Publish Bounded Certification Claims Across Categories and Targets,CROSS_CUTTING,RELEASE_1_FORMAT02_REFERENCE_PROOF_GENERAL_CERTIFICATION_DEFERRED,FORMAT_02_CERTIFICATION_SCOPE_AND_GENERAL_DEFERRAL,TS-00;TS-10;TS-15,,HD-006;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-12.04:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-018,BINDING_ANTI_GOAL,Duplicate authoritative truth across artifacts,EP-03,ST-03.04,Compile Human and Machine Artifacts Deterministically,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-06,,,CONDITIONAL_EXTERNAL_DEPENDENCY,ST-03.04:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-019,BINDING_ANTI_GOAL,Hide a production workflow inside one skill or agent session,EP-09,ST-09.08,Measure Workflow Outcomes and Reject Monolithic Orchestration,CROSS_CUTTING,RELEASE_1_INCLUDED_MANUAL_SHADOW_BEFORE_AUTOMATION,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-14,,,CONDITIONAL_EXTERNAL_DEPENDENCY,ST-09.08:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-020,BINDING_ANTI_GOAL,Use unbounded retry or self-correction loops,EP-09,ST-09.03,Validate Node Outputs and Contain Failure Feedback,CROSS_CUTTING,RELEASE_1_INCLUDED_MANUAL_SHADOW_BEFORE_AUTOMATION,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-14,,,CONDITIONAL_EXTERNAL_DEPENDENCY,ST-09.03:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-021,BINDING_ANTI_GOAL,Parallelize by default,EP-09,ST-09.04,"Checkpoint, Isolate, and Resume Work Safely",CROSS_CUTTING,RELEASE_1_INCLUDED_MANUAL_SHADOW_BEFORE_AUTOMATION,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-14,,,CONDITIONAL_EXTERNAL_DEPENDENCY,ST-09.04:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-022,BINDING_ANTI_GOAL,Remove human gates merely to increase automation,EP-08,ST-08.06,Issue Evidence-Backed Readiness and Authorization Receipts,CROSS_CUTTING,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-01;TS-05;TS-13;TS-14,,HD-006;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-08.06:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
CONST-001,CONSTITUTIONAL_AMENDMENT,New Binding Constitutional Obligation,EP-03,ST-03.05,Enforce Constitutional Precedence Across Compiled Artifacts,CROSS_CUTTING_V1_2,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-01;TS-06;TS-13,,,CONDITIONAL_EXTERNAL_DEPENDENCY,ST-03.05:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
CONST-002,CONSTITUTIONAL_AMENDMENT,New Binding Constitutional Obligation,EP-06,ST-06.01,Bind Every Harness to One of Five Canonical Categories,CROSS_CUTTING_V1_2,RELEASE_1_FORMAT02_PRODUCTION_OTHER_CATEGORIES_STRUCTURAL_UNCERTIFIED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-01;TS-04;TS-11;TS-12,BD-004;BD-007;BD-008;BD-010;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-06.01:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
CONST-003,CONSTITUTIONAL_AMENDMENT,Expanded Binding Contract,EP-06,ST-06.03,Compile Category-Native Syntax and Activative Sequencing,CROSS_CUTTING_V1_2,RELEASE_1_FORMAT02_PRODUCTION_OTHER_CATEGORIES_STRUCTURAL_UNCERTIFIED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-05;TS-06;TS-07;TS-09;TS-11,BD-004,BD-004;HD-006;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-06.03:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
CONST-004,CONSTITUTIONAL_AMENDMENT,New Binding Runtime Chain,EP-06,ST-06.05,Compile the Conversational Expression Feedback Chain,CROSS_CUTTING_V1_2,RELEASE_1_FORMAT02_PRODUCTION_OTHER_CATEGORIES_STRUCTURAL_UNCERTIFIED,CONVERSATIONAL_STRUCTURAL_SUPPORT_UNCERTIFIED,TS-02;TS-06;TS-07;TS-10;TS-11;TS-12;TS-14,BD-004;BD-008;BD-010,BD-004;BD-008;BD-010;HD-006;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-06.05:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
CONST-005,CONSTITUTIONAL_AMENDMENT,Expanded Binding Runtime Chain,EP-07,ST-07.03,Compile VAE and Delegation Handoffs Without Implementing Them,CROSS_CUTTING_V1_2,RELEASE_1_THREE_TARGET_STRUCTURAL_FORMAT02_STUBBED_EXTERNAL_HANDOFF,THREE_TARGET_STRUCTURAL_SUPPORT_EXTERNAL_RUNTIME_EXCLUDED,TS-03;TS-06;TS-07;TS-10;TS-11;TS-13;TS-14;TS-15,BD-007;BD-008;BD-014,BD-007;BD-008;BD-014,EVIDENCE_GATED,ST-07.03:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
CONST-006,CONSTITUTIONAL_AMENDMENT,Clarified Ordering Law,EP-06,ST-06.03,Compile Category-Native Syntax and Activative Sequencing,CROSS_CUTTING_V1_2,RELEASE_1_FORMAT02_PRODUCTION_OTHER_CATEGORIES_STRUCTURAL_UNCERTIFIED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-03;TS-05;TS-11;TS-14;TS-15,BD-007,BD-007;HD-006;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-06.03:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
CONST-007,CONSTITUTIONAL_AMENDMENT,Expanded Fail Closed Gate,EP-08,ST-08.07,Reject Wrong Readings and Evaluate Conversational Expression,CROSS_CUTTING_V1_2,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,CONVERSATIONAL_STRUCTURAL_SUPPORT_UNCERTIFIED,TS-03;TS-06;TS-10;TS-11;TS-13;TS-15,BD-008,BD-008;HD-006;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-08.07:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
CONST-008,CONSTITUTIONAL_AMENDMENT,Expanded Evaluation Contract,EP-08,ST-08.07,Reject Wrong Readings and Evaluate Conversational Expression,CROSS_CUTTING_V1_2,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,CONVERSATIONAL_STRUCTURAL_SUPPORT_UNCERTIFIED,TS-10;TS-11;TS-12;TS-13;TS-15,BD-008,BD-008;HD-006;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-08.07:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
D001,LOCKED_DECISION,Product boundary,EP-01,ST-01.01,Start and Resume One Target-Profiled Builder Run,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-01;TS-13;TS-14,,HD-006,BLOCKED_PENDING_HUMAN_DECISION,ST-01.01:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
D002,LOCKED_DECISION,Authority model,EP-03,ST-03.02,Record Human Authority and Resume Genesis Safely,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-01;TS-04;TS-05;TS-12;TS-13;TS-14,,,CONDITIONAL_EXTERNAL_DEPENDENCY,ST-03.02:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
D003,LOCKED_DECISION,Definition of success,EP-12,ST-12.03,Prove the Complete Builder Spine Through Format 02,CROSS_CUTTING,RELEASE_1_FORMAT02_REFERENCE_PROOF_GENERAL_CERTIFICATION_DEFERRED,FORMAT_02_REFERENCE_PATH_PROOF,TS-02;TS-04;TS-06;TS-07;TS-10;TS-13;TS-14;TS-15,BD-004;BD-008,BD-004;BD-008;HD-006;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-12.03:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
D004,LOCKED_DECISION,Compilation targets,EP-07,ST-07.01,Register Three Distinct Compilation Targets,CROSS_CUTTING,RELEASE_1_THREE_TARGET_STRUCTURAL_FORMAT02_STUBBED_EXTERNAL_HANDOFF,THREE_TARGET_STRUCTURAL_SUPPORT_EXTERNAL_RUNTIME_EXCLUDED,TS-01;TS-11;TS-15,BD-014,BD-014,EVIDENCE_GATED,ST-07.01:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
D005,LOCKED_DECISION,Canonical input boundary,EP-01,ST-01.02,Lock a Safe Target-Specific Evidence Workspace,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-01;TS-02;TS-11,BD-004;BD-014,BD-004;BD-014;HD-006,BLOCKED_PENDING_HUMAN_DECISION,ST-01.02:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
D006,LOCKED_DECISION,Lifecycle,EP-01,ST-01.01,Start and Resume One Target-Profiled Builder Run,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-01;TS-02;TS-11;TS-14,,HD-006,BLOCKED_PENDING_HUMAN_DECISION,ST-01.01:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
D007,LOCKED_DECISION,Visual Syntax First,EP-02,ST-02.03,Induce Grammar Only After Syntax Evidence,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-02;TS-03;TS-06;TS-07;TS-11;TS-12,BD-004;BD-007;BD-008,BD-004;BD-007;BD-008;HD-006,BLOCKED_PENDING_HUMAN_DECISION,ST-02.03:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
D008,LOCKED_DECISION,Atomicity,EP-02,ST-02.04,Compare Candidate Atomic Product Boundaries,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-03;TS-04;TS-11,BD-004;BD-007;BD-008,BD-004;BD-007;BD-008;HD-006,BLOCKED_PENDING_HUMAN_DECISION,ST-02.04:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
