inventory_id,authority_type,title,primary_epic_id,primary_epic_title,secondary_epic_ids,source_release_scope,epic_release_disposition,active_blockers,carried_gate_refs,assignment_basis
AG-014,BINDING_ANTI_GOAL,Repair outside the responsible layer,EP-08,"Behavioral Proof, Repair, and Readiness Authorization",EP-04,CROSS_CUTTING,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit binding anti goal ownership
AG-015,BINDING_ANTI_GOAL,Issue readiness from document completeness,EP-08,"Behavioral Proof, Repair, and Readiness Authorization",,CROSS_CUTTING,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit binding anti goal ownership
AG-016,BINDING_ANTI_GOAL,Hide operational state,EP-10,Evidence-Derived Human Control Tower,EP-09,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-008;BD-010;BD-014,explicit binding anti goal ownership
AG-017,BINDING_ANTI_GOAL,Claim general readiness from one harness,EP-12,Brownfield Migration and Release 1 Reference Proof,EP-08,CROSS_CUTTING,RELEASE_1_FORMAT02_REFERENCE_PROOF_GENERAL_CERTIFICATION_DEFERRED,,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit binding anti goal ownership
AG-018,BINDING_ANTI_GOAL,Duplicate authoritative truth across artifacts,EP-03,Human-Ratified Genesis and Canonical Harness Definition,,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-008;BD-014,explicit binding anti goal ownership
AG-019,BINDING_ANTI_GOAL,Hide a production workflow inside one skill or agent session,EP-09,Governed Builder Workflow Factory,,CROSS_CUTTING,RELEASE_1_INCLUDED_MANUAL_SHADOW_BEFORE_AUTOMATION,,BD-008;BD-010;BD-014,explicit binding anti goal ownership
AG-020,BINDING_ANTI_GOAL,Use unbounded retry or self-correction loops,EP-09,Governed Builder Workflow Factory,,CROSS_CUTTING,RELEASE_1_INCLUDED_MANUAL_SHADOW_BEFORE_AUTOMATION,,BD-008;BD-010;BD-014,explicit binding anti goal ownership
AG-021,BINDING_ANTI_GOAL,Parallelize by default,EP-09,Governed Builder Workflow Factory,,CROSS_CUTTING,RELEASE_1_INCLUDED_MANUAL_SHADOW_BEFORE_AUTOMATION,,BD-008;BD-010;BD-014,explicit binding anti goal ownership
AG-022,BINDING_ANTI_GOAL,Remove human gates merely to increase automation,EP-08,"Behavioral Proof, Repair, and Readiness Authorization",EP-01;EP-03;EP-09,CROSS_CUTTING,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit binding anti goal ownership
CONST-001,CONSTITUTIONAL_AMENDMENT,New Binding Constitutional Obligation,EP-03,Human-Ratified Genesis and Canonical Harness Definition,EP-01;EP-08,CROSS_CUTTING_V1_2,RELEASE_1_INCLUDED,,BD-004;BD-008;BD-014,explicit constitutional amendment ownership
CONST-002,CONSTITUTIONAL_AMENDMENT,New Binding Constitutional Obligation,EP-06,Five-Category Activative Intelligence and Expression Compilation,EP-01;EP-02;EP-08;EP-10,CROSS_CUTTING_V1_2,RELEASE_1_FORMAT02_PRODUCTION_OTHER_CATEGORIES_STRUCTURAL_UNCERTIFIED,BD-004;BD-007;BD-008;BD-010;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit constitutional amendment ownership
CONST-003,CONSTITUTIONAL_AMENDMENT,Expanded Binding Contract,EP-06,Five-Category Activative Intelligence and Expression Compilation,EP-03;EP-04;EP-05;EP-08,CROSS_CUTTING_V1_2,RELEASE_1_FORMAT02_PRODUCTION_OTHER_CATEGORIES_STRUCTURAL_UNCERTIFIED,BD-004,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit constitutional amendment ownership
CONST-004,CONSTITUTIONAL_AMENDMENT,New Binding Runtime Chain,EP-06,Five-Category Activative Intelligence and Expression Compilation,EP-01;EP-03;EP-04;EP-08;EP-09;EP-10,CROSS_CUTTING_V1_2,RELEASE_1_FORMAT02_PRODUCTION_OTHER_CATEGORIES_STRUCTURAL_UNCERTIFIED,BD-004;BD-008;BD-010,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit constitutional amendment ownership
CONST-005,CONSTITUTIONAL_AMENDMENT,Expanded Binding Runtime Chain,EP-07,Three-Target Product Compilation and Cross-Product Handoff,EP-02;EP-03;EP-04;EP-06;EP-08;EP-09;EP-12,CROSS_CUTTING_V1_2,RELEASE_1_THREE_TARGET_STRUCTURAL_FORMAT02_STUBBED_EXTERNAL_HANDOFF,BD-007;BD-008;BD-014,BD-004;BD-007;BD-008;BD-014,explicit constitutional amendment ownership
CONST-006,CONSTITUTIONAL_AMENDMENT,Clarified Ordering Law,EP-06,Five-Category Activative Intelligence and Expression Compilation,EP-02;EP-03;EP-08;EP-09;EP-12,CROSS_CUTTING_V1_2,RELEASE_1_FORMAT02_PRODUCTION_OTHER_CATEGORIES_STRUCTURAL_UNCERTIFIED,BD-007,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit constitutional amendment ownership
CONST-007,CONSTITUTIONAL_AMENDMENT,Expanded Fail Closed Gate,EP-08,"Behavioral Proof, Repair, and Readiness Authorization",EP-02;EP-03;EP-06;EP-12,CROSS_CUTTING_V1_2,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,BD-008,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit constitutional amendment ownership
CONST-008,CONSTITUTIONAL_AMENDMENT,Expanded Evaluation Contract,EP-08,"Behavioral Proof, Repair, and Readiness Authorization",EP-06;EP-10;EP-12,CROSS_CUTTING_V1_2,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,BD-008,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit constitutional amendment ownership
D001,LOCKED_DECISION,Product boundary,EP-01,Governed Run Intake and Evidence Readiness,EP-08;EP-09,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-014;HD-006,explicit locked decision ownership
D002,LOCKED_DECISION,Authority model,EP-03,Human-Ratified Genesis and Canonical Harness Definition,EP-01;EP-02;EP-08;EP-09;EP-10,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-008;BD-014,explicit locked decision ownership
D003,LOCKED_DECISION,Definition of success,EP-12,Brownfield Migration and Release 1 Reference Proof,EP-01;EP-02;EP-03;EP-04;EP-08;EP-09,CROSS_CUTTING,RELEASE_1_FORMAT02_REFERENCE_PROOF_GENERAL_CERTIFICATION_DEFERRED,BD-004;BD-008,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit locked decision ownership
D004,LOCKED_DECISION,Compilation targets,EP-07,Three-Target Product Compilation and Cross-Product Handoff,EP-01;EP-06;EP-08;EP-12,CROSS_CUTTING,RELEASE_1_THREE_TARGET_STRUCTURAL_FORMAT02_STUBBED_EXTERNAL_HANDOFF,BD-014,BD-004;BD-008;BD-014,explicit locked decision ownership
D005,LOCKED_DECISION,Canonical input boundary,EP-01,Governed Run Intake and Evidence Readiness,EP-06;EP-08,CROSS_CUTTING,RELEASE_1_INCLUDED,BD-004;BD-014,BD-004;BD-014;HD-006,explicit locked decision ownership
D006,LOCKED_DECISION,Lifecycle,EP-01,Governed Run Intake and Evidence Readiness,EP-06;EP-09,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-014;HD-006,explicit locked decision ownership
D007,LOCKED_DECISION,Visual Syntax First,EP-02,Syntax-Grounded Understanding and Atomic Boundary,EP-01;EP-03;EP-04;EP-06;EP-08;EP-10,CROSS_CUTTING,RELEASE_1_INCLUDED,BD-004;BD-007;BD-008,BD-004;BD-007;BD-008;HD-006,explicit locked decision ownership
D008,LOCKED_DECISION,Atomicity,EP-02,Syntax-Grounded Understanding and Atomic Boundary,EP-06;EP-08,CROSS_CUTTING,RELEASE_1_INCLUDED,BD-004;BD-007;BD-008,BD-004;BD-007;BD-008;HD-006,explicit locked decision ownership
D009,LOCKED_DECISION,Genesis entry state,EP-03,Human-Ratified Genesis and Canonical Harness Definition,EP-02;EP-08,CROSS_CUTTING,RELEASE_1_INCLUDED,BD-004;BD-008,BD-004;BD-008;BD-014,explicit locked decision ownership
D010,LOCKED_DECISION,Genesis decision protocol,EP-03,Human-Ratified Genesis and Canonical Harness Definition,EP-01;EP-02;EP-06;EP-08;EP-09;EP-10,CROSS_CUTTING,RELEASE_1_INCLUDED,BD-004;BD-008,BD-004;BD-008;BD-014,explicit locked decision ownership
D011,LOCKED_DECISION,Canonical source of truth,EP-03,Human-Ratified Genesis and Canonical Harness Definition,EP-02;EP-06;EP-08;EP-09;EP-10,CROSS_CUTTING,RELEASE_1_INCLUDED,BD-014,BD-004;BD-008;BD-014,explicit locked decision ownership
D012,LOCKED_DECISION,Capability ownership,EP-04,Owned Capability Graphs and Minimum Complete Context,EP-02;EP-05;EP-08;EP-09,CROSS_CUTTING,RELEASE_1_INCLUDED,BD-010,BD-010;BD-014,explicit locked decision ownership
D013,LOCKED_DECISION,Phase and context architecture,EP-04,Owned Capability Graphs and Minimum Complete Context,EP-09;EP-10,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-010;BD-014,explicit locked decision ownership
D014,LOCKED_DECISION,Phase handoffs,EP-04,Owned Capability Graphs and Minimum Complete Context,EP-02;EP-06;EP-08;EP-09;EP-10,CROSS_CUTTING,RELEASE_1_INCLUDED,BD-014,BD-010;BD-014,explicit locked decision ownership
D015,LOCKED_DECISION,Module architecture,EP-04,Owned Capability Graphs and Minimum Complete Context,EP-08;EP-09;EP-10,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-010;BD-014,explicit locked decision ownership
D016,LOCKED_DECISION,Reference loading,EP-04,Owned Capability Graphs and Minimum Complete Context,EP-05;EP-08;EP-09,CROSS_CUTTING,RELEASE_1_INCLUDED,BD-010,BD-010;BD-014,explicit locked decision ownership
D017,LOCKED_DECISION,Layered skill compilation,EP-05,Reusable Evaluated Skills and Deterministic JIT Capsules,EP-04;EP-08;EP-09;EP-10,CROSS_CUTTING,RELEASE_1_INCLUDED,BD-010,BD-004;BD-008;BD-010;HD-007,explicit locked decision ownership
D018,LOCKED_DECISION,JIT compilation,EP-05,Reusable Evaluated Skills and Deterministic JIT Capsules,EP-04;EP-08;EP-09;EP-10,CROSS_CUTTING,RELEASE_1_INCLUDED,BD-010,BD-004;BD-008;BD-010;HD-007,explicit locked decision ownership
D019,LOCKED_DECISION,Bindings and precedence,EP-05,Reusable Evaluated Skills and Deterministic JIT Capsules,EP-03;EP-04;EP-08;EP-09,CROSS_CUTTING,RELEASE_1_INCLUDED,BD-010,BD-004;BD-008;BD-010;HD-007,explicit locked decision ownership
D020,LOCKED_DECISION,Context budget,EP-04,Owned Capability Graphs and Minimum Complete Context,EP-05;EP-08;EP-09;EP-10,CROSS_CUTTING,RELEASE_1_INCLUDED,BD-010,BD-010;BD-014,explicit locked decision ownership
D021,LOCKED_DECISION,Skill maturity,EP-05,Reusable Evaluated Skills and Deterministic JIT Capsules,EP-03;EP-04;EP-06;EP-08;EP-09;EP-10;EP-12,CROSS_CUTTING,RELEASE_1_INCLUDED,BD-004;BD-008;BD-010,BD-004;BD-008;BD-010;HD-007,explicit locked decision ownership
D022,LOCKED_DECISION,Builder benchmark strategy,EP-08,"Behavioral Proof, Repair, and Readiness Authorization",EP-09;EP-12,CROSS_CUTTING,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,BD-004;BD-008,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit locked decision ownership
D023,LOCKED_DECISION,Benchmark corpus,EP-08,"Behavioral Proof, Repair, and Readiness Authorization",EP-01;EP-02;EP-09,CROSS_CUTTING,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,BD-004;BD-007;BD-008,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit locked decision ownership
D024,LOCKED_DECISION,Performance scorecard,EP-08,"Behavioral Proof, Repair, and Readiness Authorization",EP-06;EP-09;EP-10,CROSS_CUTTING,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,BD-004;BD-008,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit locked decision ownership
D025,LOCKED_DECISION,Observability,EP-10,Evidence-Derived Human Control Tower,EP-01;EP-03;EP-04;EP-09;EP-12,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-008;BD-010;BD-014,explicit locked decision ownership
D026,LOCKED_DECISION,Repair,EP-08,"Behavioral Proof, Repair, and Readiness Authorization",EP-03;EP-04;EP-06;EP-09;EP-10,CROSS_CUTTING,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,BD-004;BD-008,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit locked decision ownership
D027,LOCKED_DECISION,Implementation authorization,EP-08,"Behavioral Proof, Repair, and Readiness Authorization",EP-01;EP-02;EP-03;EP-05;EP-06;EP-09;EP-10,CROSS_CUTTING,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,BD-004;BD-008,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit locked decision ownership
D028,LOCKED_DECISION,V2.1 migration,EP-12,Brownfield Migration and Release 1 Reference Proof,EP-01;EP-03;EP-08;EP-09,CROSS_CUTTING,RELEASE_1_FORMAT02_REFERENCE_PROOF_GENERAL_CERTIFICATION_DEFERRED,,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit locked decision ownership
D029,LOCKED_DECISION,Implementation handoff,EP-11,Traceable Development Capsule and Implementation Handoff,EP-01;EP-03;EP-06;EP-08;EP-09,CROSS_CUTTING,RELEASE_1_INCLUDED_HANDOFF_ONLY_NO_IMPLEMENTATION_AUTHORIZATION,BD-014,BD-004;BD-008;BD-010;BD-014;HD-006;HD-007,explicit locked decision ownership
D030,LOCKED_DECISION,Category architecture and sequencing,EP-06,Five-Category Activative Intelligence and Expression Compilation,EP-02;EP-04;EP-08,CROSS_CUTTING,RELEASE_1_FORMAT02_PRODUCTION_OTHER_CATEGORIES_STRUCTURAL_UNCERTIFIED,BD-004;BD-007;BD-008;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit locked decision ownership
D031,LOCKED_DECISION,Canonical category constitutions,EP-06,Five-Category Activative Intelligence and Expression Compilation,EP-02;EP-08,CROSS_CUTTING,RELEASE_1_FORMAT02_PRODUCTION_OTHER_CATEGORIES_STRUCTURAL_UNCERTIFIED,BD-004;BD-007;BD-008;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit locked decision ownership
D032,LOCKED_DECISION,Release strategy,EP-12,Brownfield Migration and Release 1 Reference Proof,EP-08;EP-09,CROSS_CUTTING,RELEASE_1_FORMAT02_REFERENCE_PROOF_GENERAL_CERTIFICATION_DEFERRED,BD-004;BD-008;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit locked decision ownership
D033,LOCKED_DECISION,Binding anti-goals,EP-08,"Behavioral Proof, Repair, and Readiness Authorization",EP-01;EP-02;EP-03;EP-04;EP-05;EP-06;EP-09;EP-10;EP-12,CROSS_CUTTING,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,BD-014,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit locked decision ownership
FR-001,FUNCTIONAL_REQUIREMENT,Select one explicit compilation target,EP-01,Governed Run Intake and Evidence Readiness,,RELEASE_1,RELEASE_1_INCLUDED,,BD-004;BD-014;HD-006,feature outcome F01
FR-002,FUNCTIONAL_REQUIREMENT,Create a stable run identity,EP-01,Governed Run Intake and Evidence Readiness,,RELEASE_1,RELEASE_1_INCLUDED,,BD-004;BD-014;HD-006,feature outcome F01
FR-003,FUNCTIONAL_REQUIREMENT,Enforce a typed lifecycle state machine,EP-01,Governed Run Intake and Evidence Readiness,,RELEASE_1,RELEASE_1_INCLUDED,,BD-004;BD-014;HD-006,feature outcome F01
FR-004,FUNCTIONAL_REQUIREMENT,Apply target-specific lifecycle profiles,EP-01,Governed Run Intake and Evidence Readiness,,RELEASE_1,RELEASE_1_INCLUDED,,BD-004;BD-014;HD-006,feature outcome F01
FR-005,FUNCTIONAL_REQUIREMENT,Govern lifecycle waivers,EP-01,Governed Run Intake and Evidence Readiness,,RELEASE_1,RELEASE_1_INCLUDED,,BD-004;BD-014;HD-006,feature outcome F01
FR-006,FUNCTIONAL_REQUIREMENT,Emit an event for every authoritative transition,EP-01,Governed Run Intake and Evidence Readiness,,RELEASE_1,RELEASE_1_INCLUDED,,BD-004;BD-014;HD-006,feature outcome F01
FR-007,FUNCTIONAL_REQUIREMENT,Resume without replaying human decisions,EP-01,Governed Run Intake and Evidence Readiness,,RELEASE_1,RELEASE_1_INCLUDED,,BD-004;BD-014;HD-006,feature outcome F01
FR-008,FUNCTIONAL_REQUIREMENT,Enforce the Builder product boundary,EP-01,Governed Run Intake and Evidence Readiness,,RELEASE_1,RELEASE_1_INCLUDED,,BD-004;BD-014;HD-006,feature outcome F01
FR-009,FUNCTIONAL_REQUIREMENT,Define target-specific source profiles,EP-01,Governed Run Intake and Evidence Readiness,EP-08,RELEASE_1,RELEASE_1_INCLUDED,BD-004,BD-004;BD-014;HD-006,feature outcome F02
FR-010,FUNCTIONAL_REQUIREMENT,Run source-readiness diagnostics before initialization,EP-01,Governed Run Intake and Evidence Readiness,EP-08,RELEASE_1,RELEASE_1_INCLUDED,BD-004,BD-004;BD-014;HD-006,feature outcome F02
FR-011,FUNCTIONAL_REQUIREMENT,Read directories and archives without mutating sources,EP-01,Governed Run Intake and Evidence Readiness,EP-08,RELEASE_1,RELEASE_1_INCLUDED,BD-004,BD-004;BD-014;HD-006,feature outcome F02
FR-012,FUNCTIONAL_REQUIREMENT,Require a real target candidate boundary,EP-01,Governed Run Intake and Evidence Readiness,EP-08,RELEASE_1,RELEASE_1_INCLUDED,BD-004,BD-004;BD-014;HD-006,feature outcome F02
FR-013,FUNCTIONAL_REQUIREMENT,Create an immutable source lock,EP-01,Governed Run Intake and Evidence Readiness,EP-08,RELEASE_1,RELEASE_1_INCLUDED,BD-004,BD-004;BD-014;HD-006,feature outcome F02
FR-014,FUNCTIONAL_REQUIREMENT,Build a queryable evidence index,EP-01,Governed Run Intake and Evidence Readiness,EP-08,RELEASE_1,RELEASE_1_INCLUDED,BD-004,BD-004;BD-014;HD-006,feature outcome F02
