inventory_id,authority_type,title,primary_epic_id,primary_story_id,story_title,story_global_order,primary_owner_count,planning_implementable_story,current_implementation_authorized,primary_specs,approved_adrs,story_gate_classification,gate_refs,required_test_count,observability_evidence,completion_receipt_template,coverage_result
ADR-011,ARCHITECTURE_DECISION,Event-derived FastAPI and React Control Tower,EP-10,ST-10.12,"Represent Loading, Empty, Stale, and Disconnected State Honestly",60,1,true,false,IMPLEMENTATION_BASELINE;TS-01;TS-02;TS-05;TS-06;TS-07;TS-10;TS-12;TS-13;TS-14,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-007;ADR-008;ADR-010;ADR-011;ADR-012;ADR-013;ADR-015;ADR-016;ADR-017;ADR-018,CONDITIONAL_EXTERNAL_DEPENDENCY,,4,ST-10.12:StoryCompletionReceipt,ST-10.12:StoryCompletionReceipt:<artifact-hash>,PASS
ADR-012,ARCHITECTURE_DECISION,Deny-by-default node and implementation-task isolation,EP-09,ST-09.04,"Checkpoint, Isolate, and Resume Work Safely",44,1,true,false,TS-00;TS-02;TS-03;TS-14,ADR-002;ADR-003;ADR-006;ADR-007;ADR-008;ADR-012;ADR-016;ADR-017,CONDITIONAL_EXTERNAL_DEPENDENCY,,4,ST-09.04:StoryCompletionReceipt,ST-09.04:StoryCompletionReceipt:<artifact-hash>,PASS
ADR-013,ARCHITECTURE_DECISION,Target compilers with frozen external product boundaries,EP-07,ST-07.01,Register Three Distinct Compilation Targets,30,1,true,false,TS-01;TS-11;TS-15,ADR-001;ADR-003;ADR-005;ADR-013;ADR-014;ADR-018,EVIDENCE_GATED,BD-014,4,ST-07.01:StoryCompletionReceipt,ST-07.01:StoryCompletionReceipt:<artifact-hash>,PASS
ADR-014,ARCHITECTURE_DECISION,Format 02 under 2D Character Animation as the Release 1 slice,EP-12,ST-12.03,Prove the Complete Builder Spine Through Format 02,68,1,true,false,TS-02;TS-04;TS-06;TS-07;TS-10;TS-11;TS-13;TS-14;TS-15,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-007;ADR-008;ADR-010;ADR-012;ADR-013;ADR-014;ADR-016;ADR-017;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-008;HD-006;HD-007,4,ST-12.03:StoryCompletionReceipt,ST-12.03:StoryCompletionReceipt:<artifact-hash>,PASS
ADR-015,ARCHITECTURE_DECISION,No V2.1 migration without repository-local authoritative artifacts,EP-12,ST-12.01,Inventory and Map Proven V2.1 Behavior,66,1,true,false,IMPLEMENTATION_BASELINE,ADR-008;ADR-013;ADR-015;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,HD-006;HD-007,4,ST-12.01:StoryCompletionReceipt,ST-12.01:StoryCompletionReceipt:<artifact-hash>,PASS
ADR-016,ARCHITECTURE_DECISION,Containerized Release 1 topology and OpenTelemetry observability,EP-09,ST-09.07,"Promote, Migrate, Roll Back, and Hotfix Workflow Profiles",47,1,true,false,TS-10;TS-12;TS-14,ADR-002;ADR-003;ADR-006;ADR-011;ADR-012;ADR-016;ADR-017,CONDITIONAL_EXTERNAL_DEPENDENCY,,4,ST-09.07:StoryCompletionReceipt,ST-09.07:StoryCompletionReceipt:<artifact-hash>,PASS
ADR-017,ARCHITECTURE_DECISION,Mandatory Release 1 Workflow Profiles,EP-09,ST-09.07,"Promote, Migrate, Roll Back, and Hotfix Workflow Profiles",47,1,true,false,TS-10;TS-12;TS-14,ADR-002;ADR-003;ADR-006;ADR-011;ADR-012;ADR-016;ADR-017,CONDITIONAL_EXTERNAL_DEPENDENCY,,4,ST-09.07:StoryCompletionReceipt,ST-09.07:StoryCompletionReceipt:<artifact-hash>,PASS
ADR-018,ARCHITECTURE_DECISION,Stubbed Asset Demand port for the Format 02 reference slice,EP-07,ST-07.03,Compile VAE and Delegation Handoffs Without Implementing Them,32,1,true,false,TS-03;TS-06;TS-07;TS-10;TS-11;TS-13;TS-14;TS-15,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-008;ADR-010;ADR-012;ADR-013;ADR-014;ADR-016;ADR-017;ADR-018,EVIDENCE_GATED,BD-007;BD-008;BD-014,4,ST-07.03:StoryCompletionReceipt,ST-07.03:StoryCompletionReceipt:<artifact-hash>,PASS
AG-001,BINDING_ANTI_GOAL,Implement the final production harness,EP-01,ST-01.01,Start and Resume One Target-Profiled Builder Run,1,1,true,false,TS-00;TS-01;TS-02;TS-07;TS-11;TS-13;TS-14;TS-15,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-007;ADR-010;ADR-012;ADR-013;ADR-014;ADR-016;ADR-017;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,HD-006,4,ST-01.01:StoryCompletionReceipt,ST-01.01:StoryCompletionReceipt:<artifact-hash>,PASS
AG-002,BINDING_ANTI_GOAL,Become a universal agent factory,EP-01,ST-01.01,Start and Resume One Target-Profiled Builder Run,1,1,true,false,TS-00;TS-01;TS-02;TS-07;TS-11;TS-13;TS-14;TS-15,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-007;ADR-010;ADR-012;ADR-013;ADR-014;ADR-016;ADR-017;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,HD-006,4,ST-01.01:StoryCompletionReceipt,ST-01.01:StoryCompletionReceipt:<artifact-hash>,PASS
AG-003,BINDING_ANTI_GOAL,Collapse atomic harnesses into a universal creative engine,EP-06,ST-06.01,Bind Every Harness to One of Five Canonical Categories,25,1,true,false,TS-00;TS-01;TS-03;TS-04;TS-06;TS-07;TS-10;TS-11;TS-12;TS-13;TS-15,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-008;ADR-011;ADR-012;ADR-013;ADR-014;ADR-016;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,4,ST-06.01:StoryCompletionReceipt,ST-06.01:StoryCompletionReceipt:<artifact-hash>,PASS
AG-004,BINDING_ANTI_GOAL,Flatten the five canonical categories,EP-06,ST-06.01,Bind Every Harness to One of Five Canonical Categories,25,1,true,false,TS-00;TS-01;TS-03;TS-04;TS-06;TS-07;TS-10;TS-11;TS-12;TS-13;TS-15,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-008;ADR-011;ADR-012;ADR-013;ADR-014;ADR-016;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,4,ST-06.01:StoryCompletionReceipt,ST-06.01:StoryCompletionReceipt:<artifact-hash>,PASS
AG-005,BINDING_ANTI_GOAL,Treat editing Formats 01�08 as cosmetic themes,EP-06,ST-06.02,Compile Category-Local Format and Performance Profiles,26,1,true,false,TS-00;TS-11;TS-15,ADR-013;ADR-014;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,4,ST-06.02:StoryCompletionReceipt,ST-06.02:StoryCompletionReceipt:<artifact-hash>,PASS
AG-006,BINDING_ANTI_GOAL,Infer meaning before parsing syntax,EP-02,ST-02.03,Induce Grammar Only After Syntax Evidence,7,1,true,false,TS-00;TS-02;TS-03;TS-05;TS-06;TS-07;TS-11;TS-12,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-007;ADR-008;ADR-011;ADR-012;ADR-013;ADR-014;ADR-016;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;BD-008;HD-006,4,ST-02.03:StoryCompletionReceipt,ST-02.03:StoryCompletionReceipt:<artifact-hash>,PASS
AG-007,BINDING_ANTI_GOAL,Promote unsupported knowledge,EP-02,ST-02.03,Induce Grammar Only After Syntax Evidence,7,1,true,false,TS-00;TS-02;TS-03;TS-05;TS-06;TS-07;TS-11;TS-12,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-007;ADR-008;ADR-011;ADR-012;ADR-013;ADR-014;ADR-016;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;BD-008;HD-006,4,ST-02.03:StoryCompletionReceipt,ST-02.03:StoryCompletionReceipt:<artifact-hash>,PASS
AG-008,BINDING_ANTI_GOAL,Turn every difficult capability into a skill,EP-05,ST-05.02,Prove a Skill Is Needed Before Designing It,21,1,true,false,TS-00;TS-07;TS-08,ADR-009;ADR-010,BLOCKED_PENDING_HUMAN_DECISION,BD-010;HD-007,4,ST-05.02:StoryCompletionReceipt,ST-05.02:StoryCompletionReceipt:<artifact-hash>,PASS
AG-009,BINDING_ANTI_GOAL,Confuse canonical skills and runtime capsules,EP-05,ST-05.04,Assemble a Deterministic Phase-Local JIT Capsule,23,1,true,false,TS-00;TS-05;TS-07;TS-08;TS-09;TS-10;TS-12;TS-13;TS-14,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-009;ADR-010;ADR-011;ADR-012;ADR-016;ADR-017,BLOCKED_PENDING_HUMAN_DECISION,BD-010;HD-007,4,ST-05.04:StoryCompletionReceipt,ST-05.04:StoryCompletionReceipt:<artifact-hash>,PASS
AG-010,BINDING_ANTI_GOAL,Ship untested required skills,EP-05,ST-05.03,Package Portable Skills with Behavioral Anchors,22,1,true,false,TS-00;TS-07;TS-08;TS-09;TS-10;TS-12;TS-14,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-009;ADR-010;ADR-011;ADR-012;ADR-016;ADR-017,BLOCKED_PENDING_HUMAN_DECISION,BD-010;HD-007,4,ST-05.03:StoryCompletionReceipt,ST-05.03:StoryCompletionReceipt:<artifact-hash>,PASS
AG-011,BINDING_ANTI_GOAL,Let the model own critical orchestration,EP-09,ST-09.05,Race Candidates and Route Compute Under Human Authority,45,1,true,false,TS-00;TS-07;TS-14,ADR-002;ADR-006;ADR-012;ADR-016;ADR-017,CONDITIONAL_EXTERNAL_DEPENDENCY,,4,ST-09.05:StoryCompletionReceipt,ST-09.05:StoryCompletionReceipt:<artifact-hash>,PASS
AG-012,BINDING_ANTI_GOAL,Use accumulated conversation history as the main interface,EP-04,ST-04.05,Compile Minimum Complete Context Without Silent Truncation,19,1,true,false,TS-00;TS-07;TS-08;TS-09;TS-12;TS-14,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-009;ADR-010;ADR-011;ADR-012;ADR-016;ADR-017,EVIDENCE_GATED,BD-010,4,ST-04.05:StoryCompletionReceipt,ST-04.05:StoryCompletionReceipt:<artifact-hash>,PASS
AG-013,BINDING_ANTI_GOAL,Silently truncate required context,EP-04,ST-04.05,Compile Minimum Complete Context Without Silent Truncation,19,1,true,false,TS-00;TS-07;TS-08;TS-09;TS-12;TS-14,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-009;ADR-010;ADR-011;ADR-012;ADR-016;ADR-017,EVIDENCE_GATED,BD-010,4,ST-04.05:StoryCompletionReceipt,ST-04.05:StoryCompletionReceipt:<artifact-hash>,PASS
AG-014,BINDING_ANTI_GOAL,Repair outside the responsible layer,EP-08,ST-08.04,Diagnose Root Cause Before Selecting Repair,37,1,true,false,TS-00;TS-05;TS-07;TS-10;TS-11;TS-12;TS-13;TS-14,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-010;ADR-011;ADR-012;ADR-013;ADR-014;ADR-016;ADR-017;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-008;HD-006;HD-007,4,ST-08.04:StoryCompletionReceipt,ST-08.04:StoryCompletionReceipt:<artifact-hash>,PASS
AG-015,BINDING_ANTI_GOAL,Issue readiness from document completeness,EP-08,ST-08.06,Issue Evidence-Backed Readiness and Authorization Receipts,39,1,true,false,TS-00;TS-01;TS-02;TS-04;TS-05;TS-06;TS-07;TS-08;TS-09;TS-10;TS-11;TS-12;TS-13;TS-14;TS-15,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-007;ADR-008;ADR-009;ADR-010;ADR-011;ADR-012;ADR-013;ADR-014;ADR-016;ADR-017;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-008;BD-014;HD-006;HD-007,4,ST-08.06:StoryCompletionReceipt,ST-08.06:StoryCompletionReceipt:<artifact-hash>,PASS
AG-016,BINDING_ANTI_GOAL,Hide operational state,EP-10,ST-10.13,"Contain Partial, Redacted, Failed, and Invalidated Projections",61,1,true,false,TS-00;TS-12;TS-14,ADR-002;ADR-003;ADR-006;ADR-011;ADR-012;ADR-016;ADR-017,CONDITIONAL_EXTERNAL_DEPENDENCY,,4,ST-10.13:StoryCompletionReceipt,ST-10.13:StoryCompletionReceipt:<artifact-hash>,PASS
AG-017,BINDING_ANTI_GOAL,Claim general readiness from one harness,EP-12,ST-12.04,Publish Bounded Certification Claims Across Categories and Targets,69,1,true,false,TS-00;TS-10;TS-13;TS-14;TS-15,ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-010;ADR-012;ADR-014;ADR-016;ADR-017;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,4,ST-12.04:StoryCompletionReceipt,ST-12.04:StoryCompletionReceipt:<artifact-hash>,PASS
AG-018,BINDING_ANTI_GOAL,Duplicate authoritative truth across artifacts,EP-03,ST-03.04,Compile Human and Machine Artifacts Deterministically,13,1,true,false,TS-00;TS-06;TS-07;TS-09;TS-13,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-009;ADR-010,CONDITIONAL_EXTERNAL_DEPENDENCY,,4,ST-03.04:StoryCompletionReceipt,ST-03.04:StoryCompletionReceipt:<artifact-hash>,PASS
AG-019,BINDING_ANTI_GOAL,Hide a production workflow inside one skill or agent session,EP-09,ST-09.08,Measure Workflow Outcomes and Reject Monolithic Orchestration,48,1,true,false,TS-00;TS-07;TS-14,ADR-002;ADR-006;ADR-012;ADR-016;ADR-017,CONDITIONAL_EXTERNAL_DEPENDENCY,,4,ST-09.08:StoryCompletionReceipt,ST-09.08:StoryCompletionReceipt:<artifact-hash>,PASS
AG-020,BINDING_ANTI_GOAL,Use unbounded retry or self-correction loops,EP-09,ST-09.03,Validate Node Outputs and Contain Failure Feedback,43,1,true,false,TS-00;TS-14,ADR-002;ADR-006;ADR-012;ADR-016;ADR-017,CONDITIONAL_EXTERNAL_DEPENDENCY,,4,ST-09.03:StoryCompletionReceipt,ST-09.03:StoryCompletionReceipt:<artifact-hash>,PASS
AG-021,BINDING_ANTI_GOAL,Parallelize by default,EP-09,ST-09.04,"Checkpoint, Isolate, and Resume Work Safely",44,1,true,false,TS-00;TS-02;TS-03;TS-14,ADR-002;ADR-003;ADR-006;ADR-007;ADR-008;ADR-012;ADR-016;ADR-017,CONDITIONAL_EXTERNAL_DEPENDENCY,,4,ST-09.04:StoryCompletionReceipt,ST-09.04:StoryCompletionReceipt:<artifact-hash>,PASS
AG-022,BINDING_ANTI_GOAL,Remove human gates merely to increase automation,EP-08,ST-08.06,Issue Evidence-Backed Readiness and Authorization Receipts,39,1,true,false,TS-00;TS-01;TS-02;TS-04;TS-05;TS-06;TS-07;TS-08;TS-09;TS-10;TS-11;TS-12;TS-13;TS-14;TS-15,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-007;ADR-008;ADR-009;ADR-010;ADR-011;ADR-012;ADR-013;ADR-014;ADR-016;ADR-017;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-008;BD-014;HD-006;HD-007,4,ST-08.06:StoryCompletionReceipt,ST-08.06:StoryCompletionReceipt:<artifact-hash>,PASS
CONST-001,CONSTITUTIONAL_AMENDMENT,New Binding Constitutional Obligation,EP-03,ST-03.05,Enforce Constitutional Precedence Across Compiled Artifacts,14,1,true,false,TS-00;TS-01;TS-06;TS-13,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-010,CONDITIONAL_EXTERNAL_DEPENDENCY,,4,ST-03.05:StoryCompletionReceipt,ST-03.05:StoryCompletionReceipt:<artifact-hash>,PASS
CONST-002,CONSTITUTIONAL_AMENDMENT,New Binding Constitutional Obligation,EP-06,ST-06.01,Bind Every Harness to One of Five Canonical Categories,25,1,true,false,TS-00;TS-01;TS-03;TS-04;TS-06;TS-07;TS-10;TS-11;TS-12;TS-13;TS-15,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-008;ADR-011;ADR-012;ADR-013;ADR-014;ADR-016;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,4,ST-06.01:StoryCompletionReceipt,ST-06.01:StoryCompletionReceipt:<artifact-hash>,PASS
CONST-003,CONSTITUTIONAL_AMENDMENT,Expanded Binding Contract,EP-06,ST-06.03,Compile Category-Native Syntax and Activative Sequencing,27,1,true,false,TS-00;TS-03;TS-05;TS-06;TS-07;TS-09;TS-11;TS-14;TS-15,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-008;ADR-009;ADR-012;ADR-013;ADR-014;ADR-016;ADR-017;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,4,ST-06.03:StoryCompletionReceipt,ST-06.03:StoryCompletionReceipt:<artifact-hash>,PASS
CONST-004,CONSTITUTIONAL_AMENDMENT,New Binding Runtime Chain,EP-06,ST-06.05,Compile the Conversational Expression Feedback Chain,29,1,true,false,TS-02;TS-06;TS-07;TS-10;TS-11;TS-12;TS-14,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-007;ADR-010;ADR-011;ADR-012;ADR-013;ADR-014;ADR-016;ADR-017;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-008;BD-010;HD-006;HD-007,4,ST-06.05:StoryCompletionReceipt,ST-06.05:StoryCompletionReceipt:<artifact-hash>,PASS
CONST-005,CONSTITUTIONAL_AMENDMENT,Expanded Binding Runtime Chain,EP-07,ST-07.03,Compile VAE and Delegation Handoffs Without Implementing Them,32,1,true,false,TS-03;TS-06;TS-07;TS-10;TS-11;TS-13;TS-14;TS-15,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-008;ADR-010;ADR-012;ADR-013;ADR-014;ADR-016;ADR-017;ADR-018,EVIDENCE_GATED,BD-007;BD-008;BD-014,4,ST-07.03:StoryCompletionReceipt,ST-07.03:StoryCompletionReceipt:<artifact-hash>,PASS
CONST-006,CONSTITUTIONAL_AMENDMENT,Clarified Ordering Law,EP-06,ST-06.03,Compile Category-Native Syntax and Activative Sequencing,27,1,true,false,TS-00;TS-03;TS-05;TS-06;TS-07;TS-09;TS-11;TS-14;TS-15,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-008;ADR-009;ADR-012;ADR-013;ADR-014;ADR-016;ADR-017;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,4,ST-06.03:StoryCompletionReceipt,ST-06.03:StoryCompletionReceipt:<artifact-hash>,PASS
CONST-007,CONSTITUTIONAL_AMENDMENT,Expanded Fail Closed Gate,EP-08,ST-08.07,Reject Wrong Readings and Evaluate Conversational Expression,40,1,true,false,TS-03;TS-06;TS-10;TS-11;TS-12;TS-13;TS-15,ADR-002;ADR-003;ADR-004;ADR-005;ADR-008;ADR-010;ADR-011;ADR-012;ADR-013;ADR-014;ADR-016;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-008;HD-006;HD-007,4,ST-08.07:StoryCompletionReceipt,ST-08.07:StoryCompletionReceipt:<artifact-hash>,PASS
CONST-008,CONSTITUTIONAL_AMENDMENT,Expanded Evaluation Contract,EP-08,ST-08.07,Reject Wrong Readings and Evaluate Conversational Expression,40,1,true,false,TS-03;TS-06;TS-10;TS-11;TS-12;TS-13;TS-15,ADR-002;ADR-003;ADR-004;ADR-005;ADR-008;ADR-010;ADR-011;ADR-012;ADR-013;ADR-014;ADR-016;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-008;HD-006;HD-007,4,ST-08.07:StoryCompletionReceipt,ST-08.07:StoryCompletionReceipt:<artifact-hash>,PASS
D001,LOCKED_DECISION,Product boundary,EP-01,ST-01.01,Start and Resume One Target-Profiled Builder Run,1,1,true,false,TS-00;TS-01;TS-02;TS-07;TS-11;TS-13;TS-14;TS-15,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-007;ADR-010;ADR-012;ADR-013;ADR-014;ADR-016;ADR-017;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,HD-006,4,ST-01.01:StoryCompletionReceipt,ST-01.01:StoryCompletionReceipt:<artifact-hash>,PASS
D002,LOCKED_DECISION,Authority model,EP-03,ST-03.02,Record Human Authority and Resume Genesis Safely,11,1,true,false,TS-01;TS-04;TS-05;TS-07;TS-12;TS-13;TS-14,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-008;ADR-010;ADR-011;ADR-012;ADR-014;ADR-016;ADR-017,CONDITIONAL_EXTERNAL_DEPENDENCY,,4,ST-03.02:StoryCompletionReceipt,ST-03.02:StoryCompletionReceipt:<artifact-hash>,PASS
D003,LOCKED_DECISION,Definition of success,EP-12,ST-12.03,Prove the Complete Builder Spine Through Format 02,68,1,true,false,TS-02;TS-04;TS-06;TS-07;TS-10;TS-11;TS-13;TS-14;TS-15,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-007;ADR-008;ADR-010;ADR-012;ADR-013;ADR-014;ADR-016;ADR-017;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-008;HD-006;HD-007,4,ST-12.03:StoryCompletionReceipt,ST-12.03:StoryCompletionReceipt:<artifact-hash>,PASS
