archetype_prompt_id,family,title,filename,snapshot_path,sha256,status
ARCH-PROMPT-011,core,"<a id=""_4ruegayjjk3h""></a>__✨ The Anticipation Story \(Generative\)__",The Anticipation Story (Generative).md,sources/cmf_archetype_prompt_snapshot/core/The Anticipation Story (Generative).md,28ae78089eb9702222923ccfa921160581b3f0a8ce1a7e86e1d5ba5a317f3851,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-012,core,"<a id=""_4m4i08onthsv""></a>__✨ The Anticipation Story \- Dynamic Interview Framework__",The Anticipation Story - Dynamic Interview Framework.md,sources/cmf_archetype_prompt_snapshot/core/The Anticipation Story - Dynamic Interview Framework.md,6283f9f2daa9551955157c38d94773e33b7ef10d73d456986db011b3a3165c9e,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-013,core,"<a id=""_to0ay7i97r1s""></a>__🎲⭐ The Benign Violation Theory Meme__",The Benign Violation Theory Meme.md,sources/cmf_archetype_prompt_snapshot/core/The Benign Violation Theory Meme.md,efa8a1077acb94cc4b892a5d920e1ad569fac39ab93ddc27b8182a907ce5f97d,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-014,core,"<a id=""_d9dnwqrcxve""></a>__✨ The Conceptual Contrast Script__",The Conceptual Contrast Script.md,sources/cmf_archetype_prompt_snapshot/core/The Conceptual Contrast Script.md,1fd40ac7711ce9c84b38b4e431ef88e54a9485a547e618a6d4326b07749d4837,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-015,core,"<a id=""_xwjpm9wj9om0""></a>__✨ The Connection Story \(Generative\)__",The Connection Story (Generative).md,sources/cmf_archetype_prompt_snapshot/core/The Connection Story (Generative).md,efc000f201892c9e3719c9c1a4c9ec7b7fabd0be5944b391a50751eba34f197d,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-016,core,"<a id=""_mihinzk7ahy""></a>__✨ The Connection Story \(Interview Framework\)__",The Connection Story (Interview Framework).md,sources/cmf_archetype_prompt_snapshot/core/The Connection Story (Interview Framework).md,4f472a5c2af2f45b416a0505a1fc21bb73aba529a9feb996dd28ad205910d03f,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-017,core,"<a id=""_hh5xpqfubzsd""></a>__✨ The Controversial Dilemma Poll Prompt__",The Controversial Dilemma Poll Prompt.md,sources/cmf_archetype_prompt_snapshot/core/The Controversial Dilemma Poll Prompt.md,8d453bb277d7878c68b10614098a7c8c9a4d362163d95698051a8c04bdc0eae4,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-018,core,"<a id=""_mpfswn8t3oy6""></a>__✨ The Curiosity Story \(Generative\)__",The Curiosity Story (Generative).md,sources/cmf_archetype_prompt_snapshot/core/The Curiosity Story (Generative).md,b095dbe4a6bd1b5c319a75e4fe784634d3ad7dd0d2a0a23cb2d4775d5b2ebf2c,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-019,core,"<a id=""_n7ig576ob72w""></a>__✨ The Curiosity Story \(Interview Framework\)__",The Curiosity Story (Interview Framework).md,sources/cmf_archetype_prompt_snapshot/core/The Curiosity Story (Interview Framework).md,b6470de02a24a0ff500f8ccd565d97df87bbdcb09574947dd10316ad26feb696,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-020,core,"<a id=""_ydntje2ms8mg""></a>__✨ The Curiosity\-Intriguing Listicle__",The Curiosity-Intriguing Listicle.md,sources/cmf_archetype_prompt_snapshot/core/The Curiosity-Intriguing Listicle.md,66e7fc11c553c9014ae6d4428dc6c1a60210e867061743f970c0fe8ea50599c1,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-021,core,"<a id=""_i5tdwjoy89jj""></a>__✨ The Curiosity/Intrigue Myth Prompt__",The Curiosity_Intrigue Myth Prompt.md,sources/cmf_archetype_prompt_snapshot/core/The Curiosity_Intrigue Myth Prompt.md,dec0c8c057a10f23b4507d3d26b159d16f54c944aea332a59ddcd291741a8797,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-022,core,"<a id=""_xdrnftm1pf6v""></a>__✨ The Cuteness Story \(Generative\)__",The Cuteness Story (Generative).md,sources/cmf_archetype_prompt_snapshot/core/The Cuteness Story (Generative).md,793a05b40ef1e35e847cb6a53217676c5733242a085f898ef56cd6c3e634e9fa,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-023,core,"<a id=""_vbptkc6n3a91""></a>__✨ The Cuteness Story \(Interview Framework\)__",The Cuteness Story (Interview Framework).md,sources/cmf_archetype_prompt_snapshot/core/The Cuteness Story (Interview Framework).md,9d39a23d9c9bc3457f76713f2918bd7220d75a36be2006fb97630093919856bb,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-024,core,"<a id=""_1qsponvtlhax""></a>__🎲⭐ The Data\-Visualizer Tweet Architect__",The Data-Visualizer Tweet Architect.md,sources/cmf_archetype_prompt_snapshot/core/The Data-Visualizer Tweet Architect.md,0f51d7aad29cc67f854f2f458263348d468c3922909e7ee1d6eec9fa65255336,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-025,core,"<a id=""_c0v2om8sy51x""></a>__Descriptive/Explanatory Caption Prompt__",The Descriptive_Explanatory Caption Prompt.md,sources/cmf_archetype_prompt_snapshot/core/The Descriptive_Explanatory Caption Prompt.md,458e3a5933bd6ebe3b535d6ae0320cca6ac676d899187700a770141a14cc8f74,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-026,core,"<a id=""_4g4i7dyb87oi""></a>__✨ The Discovery Story \(Generative\)__",The Discovery Story (Generative).md,sources/cmf_archetype_prompt_snapshot/core/The Discovery Story (Generative).md,040c55803f7e98159df86bd98c8b4dcb89404a28938b754ed30b26a83ee090ba,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-027,core,"<a id=""_d5mg5jmp4pse""></a>__✨ The Discovery Story \(Interview Framework\)__",The Discovery Story (Interview Framework).md,sources/cmf_archetype_prompt_snapshot/core/The Discovery Story (Interview Framework).md,685bf92397c9659fa227a4806ae744e725b2b6222a21afc191b71929dfa97ebf,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-028,core,"<a id=""_muj6625gyms""></a>__✨ The Disgusting Myth Prompt__",The Disgusting Myth Prompt.md,sources/cmf_archetype_prompt_snapshot/core/The Disgusting Myth Prompt.md,e4db45c1067d262bf49be01437d20a77b87d061b707928f918e2d4c450b62dc2,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-029,core,"<a id=""_6jg288aq83ud""></a>__✨ The Dopamine Cliff Carousel Prompt__",The Dopamine Cliff Carousel Prompt.md,sources/cmf_archetype_prompt_snapshot/core/The Dopamine Cliff Carousel Prompt.md,f255b8eb711fd6003a72d05a0a99f4defdcb07c7ec5948d48c32f24d24ade74f,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-030,core,"<a id=""_g478rx74n2z8""></a>__✨ The Empowering Myth Prompt__",The Empowering Myth Prompt.md,sources/cmf_archetype_prompt_snapshot/core/The Empowering Myth Prompt.md,cad2bceed2f86b4d94c32a31409e43e7e32075e565199eca3d1dff53186eeb07,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-031,core,"<a id=""_aupdwbnnjm1c""></a>__✨ The Empowerment Story \(Generative\)__",The Empowerment Story (Generative).md,sources/cmf_archetype_prompt_snapshot/core/The Empowerment Story (Generative).md,bfb08e647d1f4c3efa62eab3bb09c75311341c595818f98e0785740ac24870a5,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-032,core,"<a id=""_uwnpe7ep1x83""></a>__✨ The Empowerment Story \(Interview Framework\)__",The Empowerment Story (Interview Framework).md,sources/cmf_archetype_prompt_snapshot/core/The Empowerment Story (Interview Framework).md,f4b21145898eca7a0e73558e27c38a99b741870ec2d5e2c480852640e2b677db,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-033,core,"<a id=""_x3wcb3rxgbo9""></a>__✨The FOMO Case Study__",The FOMO Case Study.md,sources/cmf_archetype_prompt_snapshot/core/The FOMO Case Study.md,4fc47bcde0c370b7fc5a8bf4726c6060135e645456312d168c446fe931b4bb92,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-034,core,"<a id=""_2sl0zxba3a4h""></a>__✨ The Fear\-Anxiety Listicle__",The Fear-Anxiety Listicle.md,sources/cmf_archetype_prompt_snapshot/core/The Fear-Anxiety Listicle.md,2ef06dc6112269d505d06dd2c85f048c72f5bc8969a0949f34ec9aae50433527,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-035,core,"<a id=""_yujv8nsr1ss7""></a>__✨ The Fear\-Anxiety Myth Prompt__",The Fear-Anxiety Myth Prompt.md,sources/cmf_archetype_prompt_snapshot/core/The Fear-Anxiety Myth Prompt.md,0ce1f7408044ba7a12c92dfe746203eeb7278915dfb9e780c66fa962ddf3261b,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-036,core,"<a id=""_jptk1cdg6n7d""></a>__✨The Funny Relatable Comparison__",The Funny Relatable Comparison.md,sources/cmf_archetype_prompt_snapshot/core/The Funny Relatable Comparison.md,09b2a078f25ea89a2370ab10ce77205bf461891df5639113a1d31e0bb55b120e,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-037,core,"<a id=""_gu1esx8t8e7w""></a>__✨ The Funny Relatable Listicle__",The Funny Relatable Listicle.md,sources/cmf_archetype_prompt_snapshot/core/The Funny Relatable Listicle.md,0d4df84282f7a822acd05e54347dd4ec695d10e399397a765900667a0659c0a7,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-038,core,The Hero Journey Visual Prompt,The Hero Journey Visual Prompt.md,sources/cmf_archetype_prompt_snapshot/core/The Hero Journey Visual Prompt.md,9ec76675859ed5c03d322e4abd9f124580d504dd9f21e77b75fb75b98ce8487e,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-039,core,"<a id=""_cz1csrfnhenq""></a>__Hero's Journey Visual Prompt__",The Hero_s Journey Visual Prompt.md,sources/cmf_archetype_prompt_snapshot/core/The Hero_s Journey Visual Prompt.md,3e509500eeb485a9f446955b9fd1b63927516be1c64e36c8bf8fa105ea059820,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-040,core,"<a id=""_gnnw7xspjt8l""></a>__✨ The Hope & Inspiration Listicle__",The Hope & Inspiration Listicle.md,sources/cmf_archetype_prompt_snapshot/core/The Hope & Inspiration Listicle.md,2e747256f2391e265c55f3a95df79923d4d2372e9c82b72bd208af7d4a7ef554,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-041,core,"<a id=""_4zjc9t5xnctx""></a>__🎲⭐ The Incongruity Theory Meme__",The Incongruity Theory Meme.md,sources/cmf_archetype_prompt_snapshot/core/The Incongruity Theory Meme.md,e436154e90d1bf1b355f16c59280ce2b5b60a5261be53f6d069409bb28ec04f6,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-042,core,"<a id=""_rcqkvqdc50t2""></a>__✨ The Indignation Myth Prompt__",The Indignation Myth Prompt.md,sources/cmf_archetype_prompt_snapshot/core/The Indignation Myth Prompt.md,ec9fc0b401bffaab5c0434f46abfbefd7fb44dfd35d59b3008a146b9154cb60d,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-043,core,"<a id=""_v10783qeb9xe""></a>__✨ The Inspiration Story \(Generative\)__",The Inspiration Story (Generative).md,sources/cmf_archetype_prompt_snapshot/core/The Inspiration Story (Generative).md,22bb2660cec4ddaf71c1b994bb52b9daf4f7942aca2e08831b9e0e22e55d6010,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-044,core,"<a id=""_p8f4bdy9mb0v""></a>__✨ The Inspiration Story \(Interview Framework\)__",The Inspiration Story (Interview Framework).md,sources/cmf_archetype_prompt_snapshot/core/The Inspiration Story (Interview Framework).md,0aabb30ea03d4a10d3313f8ba5e8890c73456fc7de3fdfdcf95aa888f321d1a4,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-045,core,"<a id=""_2kkh4qdvd4gs""></a>__✨The Inspirational Case Study__",The Inspirational Case Study.md,sources/cmf_archetype_prompt_snapshot/core/The Inspirational Case Study.md,7a8538e3a9d89e16136514c9ba7d73076caadb87176cab96901e5c514a4529fc,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-046,core,"<a id=""_ozsso6qi01y7""></a>__Instructional/Advisory Caption Prompt__",The Instructional_Advisory Caption Prompt.md,sources/cmf_archetype_prompt_snapshot/core/The Instructional_Advisory Caption Prompt.md,486349d6b86800429287621e6af064b925dd13741c1d51a6b2ea12142bc47980,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-047,core,"<a id=""_rn6si7lekg10""></a>__✨The Intriguing Case Study__",The Intriguing Case Study.md,sources/cmf_archetype_prompt_snapshot/core/The Intriguing Case Study.md,614a4cfae414b8210b7667be4dd19311f6f68df60b2f13f97534b18f2d38e565,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-048,core,"<a id=""_h3cpzl2c23v7""></a>__✨ The Joy Story \(Generative\)__",The Joy Story (Generative).md,sources/cmf_archetype_prompt_snapshot/core/The Joy Story (Generative).md,65af3ec9e0601bb619fa569f1f5d5fc61fcefd51939334cd5554762345a6cdd6,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-049,core,"<a id=""_85r8rkpplca""></a>__✨ The Joy Story \(Interview Framework\)__",The Joy Story (Interview Framework).md,sources/cmf_archetype_prompt_snapshot/core/The Joy Story (Interview Framework).md,f0f9f9b30dc83aeeb92b8e8e2bd0880a5928f91efe774b98ab001bb68e3a41fb,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-050,core,"<a id=""_hpbv8oq4aoxd""></a>__✨ The Longing Story \(Generative\)__",The Longing Story (Generative).md,sources/cmf_archetype_prompt_snapshot/core/The Longing Story (Generative).md,2eac5df4adc44d9317a38dad30f9643afdafcf1f2bf8c36ad5bb9acd8b9a4c89,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-051,core,"<a id=""_gzv9wmeumch0""></a>__✨ The Longing Story \(Interview Framework\)__",The Longing Story (Interview Framework).md,sources/cmf_archetype_prompt_snapshot/core/The Longing Story (Interview Framework).md,611faaa94337028e0a1e217caf0d75011503152295ff71005bd791fa03b0db96,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-052,core,"<a id=""_yp1032pvapyp""></a>__✨The Nostalgia Comparison__",The Nostalgia Comparison.md,sources/cmf_archetype_prompt_snapshot/core/The Nostalgia Comparison.md,d362075779309c61b16402f412d51d617a82c3324669dd1ac476bd09abea2654,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-053,core,"<a id=""_cx848sshzqyh""></a>__✨ The Nostalgia Listicle__",The Nostalgia Listicle.md,sources/cmf_archetype_prompt_snapshot/core/The Nostalgia Listicle.md,aad9d49db34ff3a1e2c3c468c9a8c061914cf6829cf10950ba23701280f82a5a,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-054,core,"<a id=""_lqswum5794ma""></a>__✨ The Nostalgia Reaction Script__",The Nostalgia Reaction Script.md,sources/cmf_archetype_prompt_snapshot/core/The Nostalgia Reaction Script.md,8cc1c86aad3ee4a4fb65edc58012f641f179a7e97d801cf505cd38accdf291b6,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-055,core,"<a id=""_lt6ja3gf0uea""></a>__✨ The Nostalgia Story \(Generative\)__",The Nostalgia Story (Generative).md,sources/cmf_archetype_prompt_snapshot/core/The Nostalgia Story (Generative).md,99c8adc3ee6ea9144f09b5e77688247b29675d46c5b090f4545dcdfac2efc4a9,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-056,core,"<a id=""_hhsffiepqk4y""></a>__✨ The Nostalgia Story \(Interview Framework\)__",The Nostalgia Story (Interview Framework).md,sources/cmf_archetype_prompt_snapshot/core/The Nostalgia Story (Interview Framework).md,7271d6398acb85d4fbbdbef777fd870399c761d765d7e61be70f5efaafe9f8df,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-057,core,"<a id=""_fohdcxdsbq84""></a>__✨The Outrage Reaction Script__",The Outrage Reaction Script.md,sources/cmf_archetype_prompt_snapshot/core/The Outrage Reaction Script.md,14f00e08ff51d30a67e9d7d5730f914ff9e965b80ccd215b806f4061222c8405,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-058,core,"<a id=""_szeku8jplqjz""></a>__✨The Outrageous Comparison__",The Outrageous Comparison.md,sources/cmf_archetype_prompt_snapshot/core/The Outrageous Comparison.md,bdc5ca22acb01dbbcba595e6138c4c89a3ea01e4024d8a1822601ced2de727e4,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-059,core,"<a id=""_9shzkpnth7bs""></a>__✨ The Outrageous Listicle__",The Outrageous Listicle.md,sources/cmf_archetype_prompt_snapshot/core/The Outrageous Listicle.md,8b537bed8ddf836a0bb40b79f62246e0f3a8b1329b21535d08204138662c5b52,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-060,core,"<a id=""_jdwocav9ev21""></a>__✨ The Recognition Story \(Generative\)__",The Recognition Story (Generative).md,sources/cmf_archetype_prompt_snapshot/core/The Recognition Story (Generative).md,fa5c1e2d07e11c376072fc9eaa684d93525efbbb2b02c060a74e0eefc6f5fa85,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-061,core,"<a id=""_l859k8odt8r6""></a>__✨ The Recognition Story \(Interview Framework\)__",The Recognition Story (Interview Framework).md,sources/cmf_archetype_prompt_snapshot/core/The Recognition Story (Interview Framework).md,fb55f0ba6a7d0b3e02281778b98a285c36491dcae557579eca54d604d0672bb7,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-062,core,"<a id=""_orqwhlboivie""></a>__Reflective/Insightful Caption Prompt__",The Reflective_Insightful Caption Prompt.md,sources/cmf_archetype_prompt_snapshot/core/The Reflective_Insightful Caption Prompt.md,ea3936dcb082f81d1a6cd1a990526ed49cfab0ef5f5e0530d31a13fc03be13da,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-063,core,"<a id=""_7easzgkpv2g9""></a>__✨The Relatable Case Study__",The Relatable Case Study.md,sources/cmf_archetype_prompt_snapshot/core/The Relatable Case Study.md,b4bed0eee45a6c8e0fbdef6922f9a47e23e27a9ba420d3d02b0bced929515f13,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-064,core,"<a id=""_wis21851bckg""></a>__✨ The Relief Peak Carousel Prompt__",The Relief Peak Carousel Prompt.md,sources/cmf_archetype_prompt_snapshot/core/The Relief Peak Carousel Prompt.md,499b9268956a406d5f106c859a0b1d5c5db6c748e29b8130a0ca3060386a63bb,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-065,core,"<a id=""_ewd0yrjf1jyr""></a>__✨ The Relief Story \(Generative\)__",The Relief Story (Generative).md,sources/cmf_archetype_prompt_snapshot/core/The Relief Story (Generative).md,807a8b5197faa96bb98e93348bf69ba44621d6c11a75a955550bafc47346d373,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-066,core,"<a id=""_sn8l1crzrt9e""></a>__✨ The Relief Story \(Interview Framework\)__",The Relief Story (Interview Framework).md,sources/cmf_archetype_prompt_snapshot/core/The Relief Story (Interview Framework).md,77bc711ad8b9a20ea0b61a3a0a1066f2b601d4593a872cfac5c9a5a2552abdaa,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-067,core,"<a id=""_jdo88ba3y79f""></a>__🎲⭐ The Relief Theory Meme__",The Relief Theory Meme Prompt.md,sources/cmf_archetype_prompt_snapshot/core/The Relief Theory Meme Prompt.md,511e251d38b6e0535586d304e9c850706b0d5b3a82ddff704e37a833fc2a7c5f,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-068,core,"<a id=""_5ave0zv92kwz""></a>__✨ The Romance Story \(Generative\)__",The Romance Story (Generative).md,sources/cmf_archetype_prompt_snapshot/core/The Romance Story (Generative).md,59cd60b9b74686e1f7b2cc3c15ca5984588ddf8a338bb532f1e0a2e915a8b554,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-069,core,"<a id=""_nh1vupj2in0a""></a>__✨ The Romance Story \(Interview Framework\)__",The Romance Story (Interview Framework).md,sources/cmf_archetype_prompt_snapshot/core/The Romance Story (Interview Framework).md,69dda4236577498778f60a2145b97855d36f9fc7642ad7d1d3f9dc1968b17d91,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-070,core,"<a id=""_o2aixil94nlj""></a>__✨ The Schadenfreude Myth Prompt__",The Schadenfreude Myth Prompt.md,sources/cmf_archetype_prompt_snapshot/core/The Schadenfreude Myth Prompt.md,e48bf20fd63b924440b46c86ad698e52ef12c7ce40e6cdf459b23574c66a9abb,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-071,core,"<a id=""_xwfda0he0e6t""></a>__✨The Shocking Comparison__",The Shocking Comparison.md,sources/cmf_archetype_prompt_snapshot/core/The Shocking Comparison.md,87879719d4e3742cd4baca0caeb90afd9af3164bf3f9147bf1cd66b763906074,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-072,core,"<a id=""_fwj0x0nvztax""></a>__✨ The Shocking Listicle__",The Shocking Listicle.md,sources/cmf_archetype_prompt_snapshot/core/The Shocking Listicle.md,401d62a4fcd817465dd0ce85845e56cd2531b86b82804be8af9ede4718a37a6a,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-073,core,"<a id=""_40zktvnkar3z""></a>__✨The Social Proof\-Testimonial Case Study__",The Social Proof-Testimonial Case Study.md,sources/cmf_archetype_prompt_snapshot/core/The Social Proof-Testimonial Case Study.md,c9d55981310271eefdeb9f68f65b30b7f326fedf8ec5b041cc6f5b76ee8448b2,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-074,core,"<a id=""_dwageawskmrz""></a>__✨ The Stereotypical Poll Prompt__",The Stereotypical Poll Prompt.md,sources/cmf_archetype_prompt_snapshot/core/The Stereotypical Poll Prompt.md,cff52df0a08fdcec2f85590891b5002606ec89fa7d8f91393153662ea376bba0,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-075,core,"<a id=""_tt1r4k7r0gs9""></a>__🎲⭐ The Superiority Theory Meme__",The Superiority Theory Meme.md,sources/cmf_archetype_prompt_snapshot/core/The Superiority Theory Meme.md,ae108125bf41545e0ca095bfc7308a4843e877e621885816c769756a8ed5be69,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-076,core,"<a id=""_gq8n0we2pnl1""></a>__✨ The Surprise Story \(Generative\)__",The Surprise Story (Generative).md,sources/cmf_archetype_prompt_snapshot/core/The Surprise Story (Generative).md,53a611d3750e5983b39951ab4515f0d13889cfd4b1ecb4e1e707b5cf073d01b0,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-077,core,"<a id=""_cbvf9lub2f72""></a>__✨ The Surprise Story \(Interview Framework\)__",The Surprise Story (Interview Framework).md,sources/cmf_archetype_prompt_snapshot/core/The Surprise Story (Interview Framework).md,75df843b8effd63b283ade9179aee492b1678886fd0dcc17aeb52fa40cd39067,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-078,core,"<a id=""_o4fleabay0gj""></a>__✨The Surprising Case Study__",The Surprising Case Study.md,sources/cmf_archetype_prompt_snapshot/core/The Surprising Case Study.md,d803e2086ad27aaacbff3475ff7dd08fc569bf97db79c15963a66e42a158c975,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-079,core,"<a id=""_t0zo71knw9qz""></a>__✨The Surprising Comparison__",The Surprising Comparison.md,sources/cmf_archetype_prompt_snapshot/core/The Surprising Comparison.md,e572d5935f93b2646899e7979f31cc624cfc862ea55293359d5e52bfd6494514,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-080,core,"<a id=""_hk8fn8jepke5""></a>__✨ The Top Reliable List \(Generative Script\)__",The Top Reliable List (Generative Script).md,sources/cmf_archetype_prompt_snapshot/core/The Top Reliable List (Generative Script).md,78cc50f68d2bd75be4f6019ef863bdb265181cca1fd9750e71ad4ddf49887d0c,historical_evidence_requires_current_coalition_validation
