id,type,title,feature_or_domain,classification,release_scope,primary_spec,requirement_text,repository_evidence,coverage_basis,blocking_decisions
FR-013,FR,Create an immutable source lock,F02,NEW_IMPLEMENTATION,RELEASE_1,TS-02,"The Builder must record source identifiers, canonical paths, cryptographic hashes, sizes, timestamps where available, roles, precedence, and authority status in a Source Lock.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F02-configured-evidence-workspace.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-004;BD-005
FR-014,FR,Build a queryable evidence index,F02,NEW_IMPLEMENTATION,RELEASE_1,TS-02,"The Builder must index relevant files, archive entries, documents, schemas, registries, code, media, and prior implementations with provenance and semantic role metadata.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F02-configured-evidence-workspace.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-004;BD-005
FR-015,FR,Inventory every target specimen,F02,NEW_IMPLEMENTATION,RELEASE_1,TS-02,"The Builder must assign stable IDs, hashes, media types, dimensions or duration, source paths, duplicate relationships, and analysis status to every target specimen.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F02-configured-evidence-workspace.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-004;BD-005
FR-016,FR,Evaluate a measurable saturation contract,F02,NEW_IMPLEMENTATION,RELEASE_1,TS-02,"Each target profile must define the required source coverage, specimen coverage, evidence categories, prior-art inspection, contradiction detection, and traceability conditions needed for saturation.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F02-configured-evidence-workspace.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-004;BD-005
FR-017,FR,Classify evidence gaps and authority conflicts,F02,NEW_IMPLEMENTATION,RELEASE_1,TS-02,"The Builder must distinguish missing evidence, unreadable evidence, sparse target evidence, contradictory sources, contradictory authority, and unresolved provenance.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F02-configured-evidence-workspace.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-004;BD-005
FR-018,FR,Issue typed saturation outcomes,F02,NEW_IMPLEMENTATION,RELEASE_1,TS-02,"The Builder must issue PASS, PASS_WITH_LIMITATIONS, BLOCKED_MISSING_EVIDENCE, BLOCKED_CONTRADICTORY_AUTHORITY, or INSUFFICIENT_TARGET_EVIDENCE with evidence and downstream consequences.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F02-configured-evidence-workspace.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-004;BD-005
FR-019,FR,Normalize every visual specimen,F03,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,"The Builder must deterministically derive stable specimen and frame or slide identities, canvas metadata, aspect ratios, ordering, hashes, and analysis-ready representations.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F03-visual-syntax-first.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-020,FR,Detect duplicate and near-duplicate visual evidence,F03,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,The Builder must calculate exact duplicate relationships and may propose near-duplicate clusters without discarding provenance.,docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F03-visual-syntax-first.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-021,FR,Produce a typed specimen-level visual syntactic parse,F03,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,"For every visual specimen, the Builder must identify major components, regions, containers, overlays, sequence markers, images, text roles, and category-relevant state elements using a typed schema.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F03-visual-syntax-first.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-022,FR,Use a canonical parsing ontology with category adaptations,F03,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,Visual Syntactic Parsing must use a canonical capability ontology extended by the selected category and format profile rather than one universal vision prompt.,docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F03-visual-syntax-first.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-023,FR,Measure normalized component geometry,F03,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,Every major spatial component must include validated normalized bounding boxes or an explicit geometry-unavailable status.,docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F03-visual-syntax-first.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-024,FR,Build a spatial relationship graph,F03,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,"The Builder must record relationships such as alignment, containment, pairing, overlap, anchoring, ordering, gaze, and category-specific scene relations between valid component IDs.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F03-visual-syntax-first.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-025,FR,Parse hierarchy and reading order,F03,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,"The Builder must draft attention hierarchy, reading order, typography roles, color roles, negative-space behavior, and density using evidence-linked fields.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F03-visual-syntax-first.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-026,FR,Classify composition variables,F03,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,"The Builder must classify material visual properties as invariant, controlled variable, content slot, optional component, specimen anomaly, or unknown with confidence and supporting specimens.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F03-visual-syntax-first.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-027,FR,Parse temporal syntax for time-based evidence,F03,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,"For video and animation categories, the Builder must identify appearance, persistence, motion, pose or state change, transition, timing, cut, sonic relation, and disappearance across frames or shots.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F03-visual-syntax-first.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-028,FR,Separate BBOX observation from WHY hypotheses,F03,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,"The Builder must store measured geometry separately from visual-function hypotheses and require evidence, confidence, alternatives, and knowledge status for every proposed WHY.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F03-visual-syntax-first.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-029,FR,Induce cross-specimen visual grammar,F03,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,"After all relevant specimens are parsed, the Builder must compare them to propose persistent instruments, component grammar, variants, optional branches, anomalies, and forbidden mutations.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F03-visual-syntax-first.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-030,FR,Draft category-native sequence grammar,F03,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,"The Builder must propose slide-role, scene-role, state-transition, pacing, and operator grammar appropriate to the selected category and format profile.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F03-visual-syntax-first.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-031,FR,Draft Activative hypotheses after syntax,F03,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,"Only after syntactic and function parsing may the Builder propose recognition mechanism, hidden pressure, viewer role, prediction gap, intended reaction, memetic expression, and wrong-reading risks.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F03-visual-syntax-first.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-032,FR,Compare candidate product boundaries,F04,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-04,"The Builder must compare specimens or candidate groups across production promise, persistent visual instrument, composition grammar, state machine, semantic workcell, input contract, asset program, runtime ownership, evaluation failures, and repair behavior.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F04-atomicity-draft-harness-model.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-033,FR,Assign one typed atomicity status,F04,NEW_IMPLEMENTATION,RELEASE_1,TS-04,"Each candidate must receive exactly one status: atomic_harness_candidate, variant_of_existing, dish_family_candidate, format_family_only, needs_clustering, needs_partition, or insufficient_evidence.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F04-atomicity-draft-harness-model.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-004;BD-007
FR-034,FR,Explain merge and split recommendations,F04,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-04,"For every proposed merge or split, the Builder must state what is shared, what differs, whether configuration is sufficient, which evidence supports the conclusion, and which capability or state would break under the alternative.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F04-atomicity-draft-harness-model.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-035,FR,Assess wrong-boundary risk,F04,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-04,"The Builder must describe the likely implementation, creative, evaluation, migration, and maintenance consequences if the proposed atomicity decision is wrong.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F04-atomicity-draft-harness-model.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-036,FR,Require human atomicity ratification,F04,NEW_IMPLEMENTATION,RELEASE_1,TS-04,"A human Harness Architect must approve, revise, or reject the proposed product boundary before the Builder compiles a Genesis-ready model.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F04-atomicity-draft-harness-model.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-004;BD-007
FR-037,FR,Compile a Draft Harness Model,F04,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-04,"After atomicity ratification, the Builder must compile a provisional model containing identity, production promise, syntax, composition variables, sequence grammar, draft Activative intelligence, inputs and outputs, capabilities, runtime hypotheses, evaluations, repairs, evidence gaps, and category ownership.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F04-atomicity-draft-harness-model.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-038,FR,Mark the Draft Harness Model unratified,F04,NEW_IMPLEMENTATION,RELEASE_1,TS-04,Every constitutional field in the Draft Harness Model must carry authority and knowledge status so provisional hypotheses cannot be mistaken for approved design.,docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F04-atomicity-draft-harness-model.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-004;BD-007
FR-039,FR,"Expose gaps, confidence, and alternatives",F04,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-04,"The Draft Harness Model must retain unresolved evidence gaps, confidence, alternative hypotheses, and decisions required rather than compressing them into a falsely certain narrative.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F04-atomicity-draft-harness-model.md,"No product implementation exists, and the required algorithm, quality, threshold, or scale behavior must be calibrated with authoritative evidence before production authorization.",BD-004;BD-007
FR-040,FR,Freeze the ratified boundary for Genesis,F04,NEW_IMPLEMENTATION,RELEASE_1,TS-04,"Genesis may challenge downstream constitutional fields but may not broaden, merge, or split the approved harness boundary without reopening the atomicity decision and invalidating affected work.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F04-atomicity-draft-harness-model.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-004;BD-007
FR-041,FR,Define typed Genesis decision nodes,F05,NEW_IMPLEMENTATION,RELEASE_1,TS-05,"Every Genesis choice must declare a stable decision ID, target-profile applicability, question, rationale, required evidence, dependencies, options, recommendation policy, authority owner, affected IR paths, invalidation edges, and completion rule.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F05-dependency-driven-genesis.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-005
FR-042,FR,Unlock only dependency-ready decisions,F05,NEW_IMPLEMENTATION,RELEASE_1,TS-05,"The decision engine must expose a node only when its prerequisite evidence, authority, contracts, and earlier decisions are satisfied.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F05-dependency-driven-genesis.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-005
FR-043,FR,Ask one primary constitutional question per turn,F05,NEW_IMPLEMENTATION,RELEASE_1,TS-05,"Guided Genesis must present and resolve one primary decision at a time, keeping any clarification inside that decision before advancing.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F05-dependency-driven-genesis.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-005
FR-044,FR,Present an evidence-backed recommendation,F05,NEW_IMPLEMENTATION,RELEASE_1,TS-05,"For each decision, the agent must summarize relevant evidence, current Draft Harness Model state, viable alternatives, trade-offs, downstream consequences, and a clear recommended option.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F05-dependency-driven-genesis.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-005
FR-045,FR,Record human answer and final decision separately,F05,NEW_IMPLEMENTATION,RELEASE_1,TS-05,"The Builder must preserve the operator's answer, agent interpretation, final normalized decision, rationale, authority, timestamp, and any dissent or uncertainty.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F05-dependency-driven-genesis.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-005
FR-046,FR,Update the Harness IR transactionally,F05,NEW_IMPLEMENTATION,RELEASE_1,TS-05,"Completing a decision must update all declared IR fields, append a decision event, recompute dependencies, and either commit all effects or none.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F05-dependency-driven-genesis.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-005
FR-047,FR,Reopen affected decisions on contradiction,F05,NEW_IMPLEMENTATION,RELEASE_1,TS-05,"When new evidence or a later decision conflicts with a resolved node, the Builder must identify the contradiction, reopen the affected node and descendants, and preserve the prior decision as superseded history.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F05-dependency-driven-genesis.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-005
FR-048,FR,Support provisional autonomous drafting with ratification,F05,NEW_IMPLEMENTATION,RELEASE_1,TS-05,"The Builder may generate provisional decisions in an approved autonomous draft mode, but every required constitutional decision must be ratified before full authorization.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F05-dependency-driven-genesis.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-005
FR-049,FR,Define a cascade-locked terminal state,F05,NEW_IMPLEMENTATION,RELEASE_1,TS-05,"Genesis must reach a terminal state only when all required decisions are resolved, all mandatory IR fields have sufficient authority, no blocking contradiction remains, and all provisional decisions requiring ratification are closed.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F05-dependency-driven-genesis.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-005
FR-050,FR,Persist complete decision receipts and resumable memory,F05,NEW_IMPLEMENTATION,RELEASE_1,TS-05,"The Builder must generate a decision register, per-decision receipts, dependency graph snapshot, and append-only memory sufficient to resume or audit Genesis without loading the full conversation.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F05-dependency-driven-genesis.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-005
FR-051,FR,Maintain one canonical typed Harness IR,F06,NEW_IMPLEMENTATION,RELEASE_1,TS-06,"The Builder must store the authorized product definition in one machine-readable Harness IR whose schema covers identity, evidence, syntax, Activative semantics, phases, contexts, contracts, modules, skills, references, evaluators, repairs, budgets, implementation units, and authorization.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F06-canonical-harness-ir.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001;BD-005
FR-052,FR,Attach provenance and authority metadata to material values,F06,NEW_IMPLEMENTATION,RELEASE_1,TS-06,"Every material IR node must support evidence references, knowledge status, confidence where applicable, authority status, decision source, version, timestamps, and dependency impact.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F06-canonical-harness-ir.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001;BD-005
FR-053,FR,Version IR schemas and migrations,F06,NEW_IMPLEMENTATION,RELEASE_1,TS-06,The Builder must version the Harness IR schema and provide explicit compatibility and migration rules for supported prior versions.,docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F06-canonical-harness-ir.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001;BD-005
FR-054,FR,Compile sharded human-readable specifications,F06,NEW_IMPLEMENTATION,RELEASE_1,TS-06,"The artifact compiler must generate readable, linkable, sharded specifications from the IR, including product, visual syntax, Activative program, runtime architecture, skill system, evaluation, repair, and handoff views appropriate to the target.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F06-canonical-harness-ir.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001;BD-005
FR-055,FR,Compile OpenSpec as a governed view,F06,NEW_IMPLEMENTATION,RELEASE_1,TS-06,"The Builder must generate OpenSpec changes, schemas, and implementation governance from the Harness IR while keeping the IR authoritative.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F06-canonical-harness-ir.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001;BD-005
FR-056,FR,Compile machine artifacts from the same IR,F06,NEW_IMPLEMENTATION,RELEASE_1,TS-06,"The Builder must compile registries, contracts, graphs, skill manifests, evaluation manifests, repair policies, dashboard configuration, fixtures, traceability maps, and implementation tickets from the same IR.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F06-canonical-harness-ir.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001;BD-005
FR-057,FR,Protect generated authoritative artifacts from silent manual drift,F06,NEW_IMPLEMENTATION,RELEASE_1,TS-06,"The Builder must distinguish generated authoritative views, editable proposals, and operator annotations and must detect manual changes to generated authoritative files.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F06-canonical-harness-ir.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001;BD-005
FR-058,FR,Bind artifacts to compiler and source hashes,F06,NEW_IMPLEMENTATION,RELEASE_1,TS-06,"Every generated artifact must record the Builder/compiler version, source IR hash, source node set, generation timestamp, and artifact hash in a manifest.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F06-canonical-harness-ir.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001;BD-005
FR-059,FR,Validate cross-artifact consistency and completeness,F06,NEW_IMPLEMENTATION,RELEASE_1,TS-06,"The Builder must validate that all required target-profile artifacts exist, all references resolve, all requirement and decision IDs are covered, and all generated views agree with the Harness IR.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F06-canonical-harness-ir.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001;BD-005
FR-060,FR,Inventory every required capability,F07,NEW_IMPLEMENTATION,RELEASE_1,TS-07,"The Builder must derive a complete capability inventory from the production promise, category and format profiles, visual and sequence grammar, contracts, evaluations, repairs, and target profile.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F07-capability-module-phase-contract.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001
FR-061,FR,Assign an explicit capability ownership type,F07,NEW_IMPLEMENTATION,RELEASE_1,TS-07,"Each capability must be assigned to deterministic_module, typed_model_program, jit_skill, external_reference, human_decision, independent_evaluator, tool_or_provider_adapter, or hybrid_pipeline.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F07-capability-module-phase-contract.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001
FR-062,FR,Use reliability and cost criteria for ownership,F07,NEW_IMPLEMENTATION,RELEASE_1,TS-07,"Ownership decisions must consider mechanical determinism, semantic judgment, reuse, authority, evaluation independence, provider dependence, testability, latency, cost, and the cheapest reliable execution form.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F07-capability-module-phase-contract.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001
FR-063,FR,Represent hybrid capability pipelines,F07,NEW_IMPLEMENTATION,RELEASE_1,TS-07,"Capabilities requiring multiple execution forms must declare ordered components, contracts, authority boundaries, and failure ownership rather than being forced into one owner type.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F07-capability-module-phase-contract.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001
