spec_id,title,feature_id,gate,status,controlling_frs,controlling_stories,active_primitives,spec_path,target_module,target_service,target_test
TS-AIR-011,Expression Moments and Observed Activative Intelligence,F11,GATE_B_VERTICAL_RUNTIME_AND_INTEGRATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-061|AIR-FR-062|AIR-FR-063|AIR-FR-064|AIR-FR-065|AIR-FR-066,AIR-ST-11.01|AIR-ST-11.02|AIR-ST-11.03,PRM-VOC-009|PRM-VSG-021|PRM-PRS-002,specs/TS-AIR-011-expression-moments-and-observed-activative-intelligence.md,src/cmf_activative_intelligence/expression_moments_and_observed_activative_intelligence.py,src/cmf_activative_intelligence/services/expression_moments_and_observed_activative_intelligence_service.py,tests/integration/test_expression_moments_and_observed_activative_intelligence.py
TS-AIR-012,Canonical Interview Source Package and Dual Admission,F12,GATE_A_CONSTITUTIONAL_AND_CONTRACT_FOUNDATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-067|AIR-FR-068|AIR-FR-069|AIR-FR-070|AIR-FR-071|AIR-FR-072,AIR-ST-12.01|AIR-ST-12.02|AIR-ST-12.03,PRM-VOC-009|PRM-VSG-003|EXP-FBK-001,specs/TS-AIR-012-canonical-interview-source-package-and-dual-admission.md,src/cmf_activative_intelligence/canonical_interview_source_package_and_dual_admission.py,src/cmf_activative_intelligence/services/canonical_interview_source_package_and_dual_admission_service.py,tests/integration/test_canonical_interview_source_package_and_dual_admission.py
TS-AIR-013,"Campaign Activation, Freshness, and Audience Reaction",F13,GATE_B_VERTICAL_RUNTIME_AND_INTEGRATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-073|AIR-FR-074|AIR-FR-075|AIR-FR-076|AIR-FR-077|AIR-FR-078,AIR-ST-13.01|AIR-ST-13.02|AIR-ST-13.03,PRM-PRS-002|PRM-HUM-021|EXP-TRS-003,specs/TS-AIR-013-campaign-activation-freshness-and-audience-reaction.md,src/cmf_activative_intelligence/campaign_activation_freshness_and_audience_reaction.py,src/cmf_activative_intelligence/services/campaign_activation_freshness_and_audience_reaction_service.py,tests/integration/test_campaign_activation_freshness_and_audience_reaction.py
TS-AIR-014,Relationship Activation and ReelCast Progression,F14,GATE_B_VERTICAL_RUNTIME_AND_INTEGRATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-079|AIR-FR-080|AIR-FR-081|AIR-FR-082|AIR-FR-083|AIR-FR-084,AIR-ST-14.01|AIR-ST-14.02|AIR-ST-14.03,PRM-BUS-007|EXP-PER-003|EXP-PRG-002,specs/TS-AIR-014-relationship-activation-and-reelcast-progression.md,src/cmf_activative_intelligence/relationship_activation_and_reelcast_progression.py,src/cmf_activative_intelligence/services/relationship_activation_and_reelcast_progression_service.py,tests/integration/test_relationship_activation_and_reelcast_progression.py
TS-AIR-015,"Derivative Activation Programs, Guest Voice DNA Final Scripts, and Mandatory Animation Scene Packages",F15,GATE_B_VERTICAL_RUNTIME_AND_INTEGRATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-085|AIR-FR-086|AIR-FR-087|AIR-FR-088|AIR-FR-089|AIR-FR-090,AIR-ST-15.01|AIR-ST-15.02|AIR-ST-15.03,PRM-VOC-009|PRM-VSG-003|PRM-PRS-015,specs/TS-AIR-015-derivative-activation-final-scripts-and-animation-scene-packages.md,src/cmf_activative_intelligence/derivative_activation_final_scripts_and_animation_scene_packages.py,src/cmf_activative_intelligence/services/derivative_activation_final_scripts_and_animation_scene_packages_service.py,tests/integration/test_derivative_activation_final_scripts_and_animation_scene_packages.py
TS-AIR-016,Activation Transfer Fidelity and Source Fidelity,F16,GATE_B_VERTICAL_RUNTIME_AND_INTEGRATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-091|AIR-FR-092|AIR-FR-093|AIR-FR-094|AIR-FR-095|AIR-FR-096,AIR-ST-16.01|AIR-ST-16.02|AIR-ST-16.03,PRM-PSY-001|PRM-VSG-003|PRM-VSG-021,specs/TS-AIR-016-activation-transfer-fidelity-and-source-fidelity.md,src/cmf_activative_intelligence/activation_transfer_fidelity_and_source_fidelity.py,src/cmf_activative_intelligence/services/activation_transfer_fidelity_and_source_fidelity_service.py,tests/integration/test_activation_transfer_fidelity_and_source_fidelity.py
TS-AIR-017,"Visual Activation, Composition-Before-Editing, and Production Handoff",F17,GATE_B_VERTICAL_RUNTIME_AND_INTEGRATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-097|AIR-FR-098|AIR-FR-099|AIR-FR-100|AIR-FR-101|AIR-FR-102,AIR-ST-17.01|AIR-ST-17.02|AIR-ST-17.03,PRM-VSG-001|PRM-VSG-024|PRM-VSG-021|PRM-BUS-006,specs/TS-AIR-017-visual-activation-and-composition-before-editing.md,src/cmf_activative_intelligence/visual_activation_and_composition_before_editing.py,src/cmf_activative_intelligence/services/visual_activation_and_composition_before_editing_service.py,tests/integration/test_visual_activation_and_composition_before_editing.py
TS-AIR-018,Human Resolution Episodes and Scoped Learning,F18,GATE_A_CONSTITUTIONAL_AND_CONTRACT_FOUNDATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-103|AIR-FR-104|AIR-FR-105|AIR-FR-106|AIR-FR-107|AIR-FR-108,AIR-ST-18.01|AIR-ST-18.02|AIR-ST-18.03,EXP-FBK-001|PRM-PSY-008|EXP-TRS-003,specs/TS-AIR-018-human-resolution-episodes-and-scoped-learning.md,src/cmf_activative_intelligence/human_resolution_episodes_and_scoped_learning.py,src/cmf_activative_intelligence/services/human_resolution_episodes_and_scoped_learning_service.py,tests/integration/test_human_resolution_episodes_and_scoped_learning.py
TS-AIR-019,"Failure Attribution, Selective Repair, and JIT Role Capsules",F19,GATE_A_CONSTITUTIONAL_AND_CONTRACT_FOUNDATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-109|AIR-FR-110|AIR-FR-111|AIR-FR-112|AIR-FR-113|AIR-FR-114,AIR-ST-19.01|AIR-ST-19.02|AIR-ST-19.03,EXP-FBK-001|PRM-BUS-006|PRM-VSG-001,specs/TS-AIR-019-failure-attribution-selective-repair-and-jit-role-capsules.md,src/cmf_activative_intelligence/failure_attribution_selective_repair_and_jit_role_capsules.py,src/cmf_activative_intelligence/services/failure_attribution_selective_repair_and_jit_role_capsules_service.py,tests/integration/test_failure_attribution_selective_repair_and_jit_role_capsules.py
TS-AIR-020,"Programmed Models, Independent Evaluation, Product Integration, and Evidence Promotion",F20,GATE_C_EVIDENCE_PROMOTION_AND_PRODUCTIZATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-115|AIR-FR-116|AIR-FR-117|AIR-FR-118|AIR-FR-119|AIR-FR-120,AIR-ST-20.01|AIR-ST-20.02|AIR-ST-20.03,PRM-BUS-001|EXP-PRG-002|EXP-TRG-005,specs/TS-AIR-020-programmed-models-independent-evaluation-and-product-integration.md,src/cmf_activative_intelligence/programmed_models_independent_evaluation_and_product_integration.py,src/cmf_activative_intelligence/services/programmed_models_independent_evaluation_and_product_integration_service.py,tests/integration/test_programmed_models_independent_evaluation_and_product_integration.py
