term_id,canonical_name,aliases,type,layer,definition,owner_component,source_of_truth,existing_code_refs,existing_doc_refs,bundle_refs,used_by,depends_on,produces,invariants,failure_modes,status,migration_action
doctrine.doctrine.negative_space_doctrine.v1,Negative Space Doctrine,[],doctrine,doctrine,"Brand-specific forbidden language, visuals, claims, styles, and emotional postures are explicit constraints.",Doctrine Registry,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-125-brand-scoped-project-workspace-and-checkpoint-runtime-build.md"", ""docs/evals/08-tech-specs-doctrine-driven-testing-audit.md"", ""docs/evals/09-tech-specs-doctrine-driven-testing-revision-report.md""]",[],[],[],[],[],[],[],canonical,keep
doctrine.doctrine.operator_approval_doctrine.v1,Operator Approval Doctrine,[],doctrine,doctrine,"Human approval is required for production release, publishing, identity usage, synthetic voice exceptions, and locked brand context changes.",Doctrine Registry,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-075-operator-composition-and-template-approval-workbench-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-075-operator-composition-and-template-approval-workbench-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-092-composition-eval-fixtures-and-operator-approval-workbench-build.md"", ""docs/tech-specs/TS-CMF-075-operator-composition-and-template-approval-workbench.md"", ""docs/tech-specs/TS-CMF-092-composition-eval-fixtures-and-operator-approval-workbench.md""]",[],[],[],[],[],[],[],canonical,keep
doctrine.doctrine.primitive_first_doctrine.v1,Primitive-First Doctrine,[],doctrine,doctrine,"All creative contracts are governed by primitive coalitions before archetype, style, or provider selection.",Doctrine Registry,docs/tech-specs/TS-CMF-077-doctrine-driven-test-harness-and-primitive-eval-coverage.md,"[""docs/tech-specs/TS-CMF-077-doctrine-driven-test-harness-and-primitive-eval-coverage.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-079-route-specific-visual-feel-and-primitive-composition-gates-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-102-supervisual-composition-families-and-primitive-triad-contracts-build.md""]",[],[],[],[],[],[],[],canonical,keep
doctrine.doctrine.real_life_reference_before_generation_doctrine.v1,Real-Life Reference Before Generation Doctrine,[],doctrine,doctrine,"Generated images and B-roll default to real-life references, source nouns, or approved brand assets before abstract invention.",Doctrine Registry,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-065-hookspec-and-extensionspec-lifecycle-contracts-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-065-hookspec-and-extensionspec-lifecycle-contracts-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-120-openmontage-reference-adapter-governance-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-126-reference-video-and-existing-footage-intake-adapter-build.md""]",[],[],[],[],[],[],[],canonical,keep
doctrine.doctrine.source_fidelity_doctrine.v1,Source Fidelity Doctrine,[],doctrine,doctrine,"Content must preserve the meaning, provenance, speaker intent, and source timing of the original expression.",Doctrine Registry,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-076-open-source-integration-adapter-evaluation-and-import-plan-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-076-open-source-integration-adapter-evaluation-and-import-plan-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-091-open-source-adapter-template-conversion-and-sandboxing-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-127-real-footage-corpus-and-source-media-retrieval-adapter-build.md""]",[],[],[],[],[],[],[],canonical,keep
doctrine.doctrine.visual_dna_doctrine.v1,Visual DNA Doctrine,[],doctrine,doctrine,"Visuals must preserve approved brand aesthetics, recurring visual systems, materiality, and forbidden visual negative space.",Doctrine Registry,docs/architecture/Sovereign_Visual_Research_Engine_TechSpec_V1.md,"[""docs/architecture/Sovereign_Visual_Research_Engine_TechSpec_V1.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-079-route-specific-visual-feel-and-primitive-composition-gates-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-095-geometrics-still-visual-runtime-skia-sam3-pretext-build.md""]",[],[],[],[],[],[],[],canonical,keep
doctrine.doctrine.visual_research_before_generation_doctrine.v1,Visual Research Before Generation Doctrine,[],doctrine,doctrine,"High-value visual work must pass through Visual Schema or equivalent research before CAC, GMG, or paper-cut generation.",Doctrine Registry,docs/architecture/Sovereign_Visual_Research_Engine_TechSpec_V1.md,"[""docs/architecture/Sovereign_Visual_Research_Engine_TechSpec_V1.md"", ""src/ccp_studio/api/v1/visual_research.py"", ""src/ccp_studio/contracts/visual_research.py"", ""src/ccp_studio/services/visual_research_service.py""]",[],[],[],[],[],[],[],canonical,keep
doctrine.doctrine.voice_dna_doctrine.v1,Voice DNA Doctrine,[],doctrine,doctrine,"Copy, captions, audio, and synthetic bridge policies must preserve Positive Space, Negative Space, rhythm, and Emotional DNA.",Doctrine Registry,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md"", ""docs/evals/08-tech-specs-doctrine-driven-testing-audit.md"", ""docs/evals/09-tech-specs-doctrine-driven-testing-revision-report.md"", ""docs/stories/story-2-4-voice-dna-boost-eligibility-and-audio-classification.md""]",[],[],[],[],[],[],[],canonical,keep
workspace_brand.contract.approved_reference_album.v1,Approved Reference Album,[],contract,workspace_brand,"Set of approved brand photos, footage, objects, avatar references, and identity anchors.",Workspace / Brand Service,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-120-openmontage-reference-adapter-governance-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-120-openmontage-reference-adapter-governance-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-126-reference-video-and-existing-footage-intake-adapter-build.md"", ""docs/stories/story-7-1-complete-editing-session-creation-from-approved-source.md"", ""docs/tech-specs/TS-CMF-036-complete-editing-session-creation-from-approved-source.md""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.brand_avatar.v1,Brand Avatar,[],contract,workspace_brand,"Approved visual identity anchor for the coach/client across realistic, paper-cut, silhouette, or symbolic styles.",Workspace / Brand Service,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-080-composition-template-runtime-transcript-timing-and-brand-genesis-binding-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-080-composition-template-runtime-transcript-timing-and-brand-genesis-binding-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-082-brand-genesis-substrate-resolver-for-composition-runtime-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-085-64-state-acting-and-avatar-performance-selector-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-094-headless-2d-frame-renderer-and-avatar-export-worker-build.md""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.brand_context_version.v1,Brand Context Version,[],contract,workspace_brand,"Immutable snapshot of brand voice, visual DNA, identity assets, negative space, preferences, and active libraries.",Workspace / Brand Service,docs/stories/story-4-4-brand-context-version-locking-and-forking.md,"[""docs/stories/story-4-4-brand-context-version-locking-and-forking.md"", ""docs/tech-specs/TS-CMF-021-brand-context-version-locking-and-forking.md"", ""docs/prd/modules/PRD_CMF_05_Brand_Genesis_Context.md"", ""docs/stories/story-4-5-production-gate-to-locked-brand-context.md""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.brand_genesis_session.v1,Brand Genesis Session,[],contract,workspace_brand,"Onboarding workflow that creates the initial creative substrate: identity, acting library, avatar, assets, anchors.",Workspace / Brand Service,docs/stories/story-4-1-brand-genesis-intake-and-session-creation.md,"[""docs/stories/story-4-1-brand-genesis-intake-and-session-creation.md"", ""docs/tech-specs/TS-CMF-018-brand-genesis-intake-and-session-creation.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-080-composition-template-runtime-transcript-timing-and-brand-genesis-binding-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-082-brand-genesis-substrate-resolver-for-composition-runtime-build.md""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.brand_memory.v1,Brand Memory,[],contract,workspace_brand,"Longitudinal store of approved claims, recurring worldview, performance, audience response, and asset usage.",Workspace / Brand Service,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-080-composition-template-runtime-transcript-timing-and-brand-genesis-binding-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-080-composition-template-runtime-transcript-timing-and-brand-genesis-binding-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-082-brand-genesis-substrate-resolver-for-composition-runtime-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-125-brand-scoped-project-workspace-and-checkpoint-runtime-build.md"", ""docs/prd/modules/PRD_CMF_05_Brand_Genesis_Context.md""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.brand_taste_profile.v1,Brand Taste Profile,[],contract,workspace_brand,"Brand-specific preference model for restraint, warmth, authority, visual density, humor, materiality, and format choices.",Workspace / Brand Service,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-080-composition-template-runtime-transcript-timing-and-brand-genesis-binding-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-080-composition-template-runtime-transcript-timing-and-brand-genesis-binding-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-082-brand-genesis-substrate-resolver-for-composition-runtime-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-125-brand-scoped-project-workspace-and-checkpoint-runtime-build.md"", ""docs/prd/modules/PRD_CMF_05_Brand_Genesis_Context.md""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.brand_workspace.v1,Brand Workspace,[],contract,workspace_brand,"Brand-scoped operational container for context, assets, sessions, editing, publishing, and memory.",Workspace / Brand Service,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-125-brand-scoped-project-workspace-and-checkpoint-runtime-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-125-brand-scoped-project-workspace-and-checkpoint-runtime-build.md"", ""docs/stories/story-1-2-organization-and-brand-workspace-lifecycle.md"", ""docs/tech-specs/TS-CMF-004-organization-and-brand-workspace-lifecycle.md"", ""docs/tech-specs/TS-CMF-125-brand-scoped-project-workspace-and-checkpoint-runtime.md""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.coach_personal_branding_asset_library.v1,Coach Personal Branding Asset Library,[],contract,workspace_brand,Brand-owned identity and context asset library used before broader winning asset libraries.,Workspace / Brand Service,docs/architecture/cmf_studio_build_workflow/build_receipts/BATCH-02-asset-program-compilers-build-2026-06-25.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/BATCH-02-asset-program-compilers-build-2026-06-25.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-081-composition-template-family-registry-and-content-asset-codes-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-083-expression-lineage-and-interview-asset-contract-binding-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-089-generative-asset-factory-layer-extraction-and-repair-queue-build.md""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.commercial_entitlement.v1,Commercial Entitlement,[],contract,workspace_brand,"Permission and product/billing constraints governing which workflows, providers, or exports are available.",Workspace / Brand Service,docs/stories/story-1-4-commercial-entitlements-without-offer-drift.md,"[""docs/stories/story-1-4-commercial-entitlements-without-offer-drift.md"", ""docs/tech-specs/TS-CMF-006-commercial-entitlements-without-offer-drift.md"", ""docs/prd/modules/PRD_CMF_03_Workspace_Commercial_Consent_Source.md"", ""src/ccp_studio/api/v1/commercial.py""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.consent_record.v1,Consent Record,[],contract,workspace_brand,"Immutable record granting or denying usage scopes for likeness, voice, footage, synthetic assets, and publishing.",Workspace / Brand Service,docs/stories/story-2-1-versioned-consent-records.md,"[""docs/stories/story-2-1-versioned-consent-records.md"", ""docs/tech-specs/TS-CMF-008-versioned-consent-records.md"", ""docs/prd/modules/PRD_CMF_03_Workspace_Commercial_Consent_Source.md"", ""docs/stories/story-1-6-pipeline-stage-execution-and-orchestration-records.md""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.identity_pack.v1,Identity Pack,[],contract,workspace_brand,Approved likeness and identity reference collection with consent and usage constraints.,Workspace / Brand Service,docs/analysis/identity_engine_architecture.md,"[""docs/analysis/identity_engine_architecture.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-119-sequence-eval-gates-learning-package-sequencing-build.md"", ""docs/stories/story-6-6-guest-asset-pack-spec-generation.md"", ""docs/tech-specs/TS-CMF-034-guest-asset-pack-spec-generation.md""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.negative_space.v1,Negative Space,[],contract,workspace_brand,"Explicitly forbidden language, visual motifs, emotional tones, claims, styles, and identity distortions.",Workspace / Brand Service,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-125-brand-scoped-project-workspace-and-checkpoint-runtime-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-125-brand-scoped-project-workspace-and-checkpoint-runtime-build.md"", ""docs/prd/modules/PRD_CMF_03_Workspace_Commercial_Consent_Source.md"", ""docs/stories/story-1-2-organization-and-brand-workspace-lifecycle.md"", ""docs/tech-specs/TS-CMF-004-organization-and-brand-workspace-lifecycle.md""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.operator.v1,Operator,[],contract,workspace_brand,"Privileged production user who reviews, approves, revises, exports, and schedules outputs.",Workspace / Brand Service,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-070-ui-architecture-and-operator-experience-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-070-ui-architecture-and-operator-experience-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-075-operator-composition-and-template-approval-workbench-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-092-composition-eval-fixtures-and-operator-approval-workbench-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-093-animation-studio-migration-and-operator-rig-editor-build.md""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.organization.v1,Organization,[],contract,workspace_brand,"Top-level account boundary that owns users, brands, permissions, billing, and audit scope.",Workspace / Brand Service,docs/stories/story-1-2-organization-and-brand-workspace-lifecycle.md,"[""docs/stories/story-1-2-organization-and-brand-workspace-lifecycle.md"", ""docs/tech-specs/TS-CMF-004-organization-and-brand-workspace-lifecycle.md"", ""src/ccp_studio/api/v1/organizations.py""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.publishing_profile.v1,Publishing Profile,[],contract,workspace_brand,"Brand-specific social account, platform, format, schedule, caption, and Publer mapping profile.",Workspace / Brand Service,docs/prd/modules/PRD_CMF_08_Evaluation_Review_Publishing_Memory.md,"[""docs/prd/modules/PRD_CMF_08_Evaluation_Review_Publishing_Memory.md"", ""docs/stories/story-9-5-publishing-intent-and-publer-adapter.md"", ""docs/tech-specs/TS-CMF-054-publishing-intent-and-publer-adapter.md"", ""registries/cmf-assembler-schemas/dep_run_001_runtime_profile.schema.json""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.role_based_production_permission.v1,Role-Based Production Permission,[],contract,workspace_brand,"Permission system for operator, editor, reviewer, publisher, client viewer, and admin actions.",Workspace / Brand Service,docs/stories/story-1-3-role-based-production-permissions.md,"[""docs/stories/story-1-3-role-based-production-permissions.md"", ""docs/tech-specs/TS-CMF-005-role-based-production-permissions.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/BATCH-03-production-orchestration-qa-review-release-hardening-build-2026-06-25.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-063-agentrolespec-and-departmentspec-runtime-build.md""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.user.v1,User,[],contract,workspace_brand,"Human actor with roles, permissions, command authority, and audit identity.",Workspace / Brand Service,,[],[],[],[],[],[],[],[],canonical_to_create,create
workspace_brand.contract.visual_dna.v1,Visual DNA,[],contract,workspace_brand,"Brand-specific visual system: palette, materiality, composition preferences, style routes, forbidden aesthetics.",Workspace / Brand Service,docs/architecture/Sovereign_Visual_Research_Engine_TechSpec_V1.md,"[""docs/architecture/Sovereign_Visual_Research_Engine_TechSpec_V1.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-079-route-specific-visual-feel-and-primitive-composition-gates-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-095-geometrics-still-visual-runtime-skia-sam3-pretext-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-099-single-image-post-engine-supervisual-router-and-skia-runtime-build.md""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.voice_dna.v1,Voice DNA,[],contract,workspace_brand,"Brand-specific speech rhythm, vocabulary, emotional amplitude, positive space, negative space, and sonic signature.",Workspace / Brand Service,docs/stories/story-2-4-voice-dna-boost-eligibility-and-audio-classification.md,"[""docs/stories/story-2-4-voice-dna-boost-eligibility-and-audio-classification.md"", ""docs/stories/story-9-3-review-commands-and-voice-dna-boost-requests.md"", ""docs/tech-specs/TS-CMF-011-voice-dna-boost-eligibility-and-audio-classification.md"", ""docs/tech-specs/TS-CMF-052-review-commands-and-voice-dna-boost-requests.md""]",[],[],[],[],[],[],[],partial_existing,extend
workspace_brand.contract.workspace_lifecycle.v1,Workspace Lifecycle,[],contract,workspace_brand,"State machine governing active, suspended, archived, restored, and inspected workspaces.",Workspace / Brand Service,docs/stories/story-1-2-organization-and-brand-workspace-lifecycle.md,"[""docs/stories/story-1-2-organization-and-brand-workspace-lifecycle.md"", ""docs/tech-specs/TS-CMF-004-organization-and-brand-workspace-lifecycle.md"", ""src/ccp_studio/contracts/workspace_lifecycle.py"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-065-hookspec-and-extensionspec-lifecycle-contracts-build.md""]",[],[],[],[],[],[],[],partial_existing,extend
primitive.primitive.act_performance_delivery_primitive_family.v1,ACT Performance Delivery Primitive Family,[],primitive,primitive,"Meaning primitive family for body language, acting state, character performance, and delivery posture.",Primitive Registry,registries/primitives/meaning_plane/performance_delivery/PRM-ACT-001.yaml,"[""registries/primitives/meaning_plane/performance_delivery/PRM-ACT-001.yaml"", ""registries/primitives/meaning_plane/performance_delivery/PRM-ACT-002.yaml"", ""registries/primitives/meaning_plane/performance_delivery/PRM-ACT-003.yaml"", ""registries/primitives/meaning_plane/performance_delivery/PRM-ACT-004.yaml""]",[],[],[],[],[],[],[],partial_existing,extend
