"requirement_id","type","feature_id","title","release_1_scope","source_requirement","locked_decisions","user_journeys","cross_cutting_nfrs","concrete_repository_evidence","executable_code_evidence","executable_test_evidence","verdict","verdict_basis","technical_spec_owner"
"FR-011","FR","F02","Version demands immutably","R1_APPLICABLE","prd/05-features/F02-visual-asset-demand-intake.md","D003|D009|D019|D023|D024|D027|D028","UJ-01|UJ-03|UJ-12|UJ-14","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml; contracts/schemas/VISUAL_ASSET_SUBMISSION.schema.yaml; contracts/examples/format02_visual_asset_demand.yaml","NONE_VERIFIED; scripts/ contains PRD package utilities only","validation/SCHEMA_VALIDATION_REPORT.json is a saved structural report where applicable; scripts/validate_prd_package.py checks schema shape only; no executable product test suite found","PARTIALLY_IMPLEMENTED","Concrete schema, registry, fixture, or governance data represents part of the requirement, but no executable product path enforces or exercises the complete behavior.","TS-VAE-01"
"FR-012","FR","F02","Validate caller identity and delegation authority","R1_APPLICABLE","prd/05-features/F02-visual-asset-demand-intake.md","D003|D009|D019|D023|D024|D027|D028","UJ-01|UJ-03|UJ-12|UJ-14","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml; contracts/schemas/VISUAL_ASSET_SUBMISSION.schema.yaml; contracts/examples/format02_visual_asset_demand.yaml","NONE_VERIFIED; scripts/ contains PRD package utilities only","NONE_VERIFIED; no executable product test suite found","NEW_IMPLEMENTATION","No executable product implementation was found. Nearby PRD/governance artifacts define intent only and do not satisfy runtime behavior.","TS-VAE-01"
"FR-013","FR","F02","Use idempotent submission keys","R1_APPLICABLE","prd/05-features/F02-visual-asset-demand-intake.md","D003|D009|D019|D023|D024|D027|D028","UJ-01|UJ-03|UJ-12|UJ-14","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml; contracts/schemas/VISUAL_ASSET_SUBMISSION.schema.yaml; contracts/examples/format02_visual_asset_demand.yaml","NONE_VERIFIED; scripts/ contains PRD package utilities only","validation/SCHEMA_VALIDATION_REPORT.json is a saved structural report where applicable; scripts/validate_prd_package.py checks schema shape only; no executable product test suite found","PARTIALLY_IMPLEMENTED","Concrete schema, registry, fixture, or governance data represents part of the requirement, but no executable product path enforces or exercises the complete behavior.","TS-VAE-01"
"FR-014","FR","F02","Reference large inputs by stable URI and hash","R1_APPLICABLE","prd/05-features/F02-visual-asset-demand-intake.md","D003|D009|D019|D023|D024|D027|D028","UJ-01|UJ-03|UJ-12|UJ-14","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml; contracts/schemas/VISUAL_ASSET_SUBMISSION.schema.yaml; contracts/examples/format02_visual_asset_demand.yaml","NONE_VERIFIED; scripts/ contains PRD package utilities only","validation/SCHEMA_VALIDATION_REPORT.json is a saved structural report where applicable; scripts/validate_prd_package.py checks schema shape only; no executable product test suite found","PARTIALLY_IMPLEMENTED","Concrete schema, registry, fixture, or governance data represents part of the requirement, but no executable product path enforces or exercises the complete behavior.","TS-VAE-01"
"FR-015","FR","F02","Return a typed submission receipt","R1_APPLICABLE","prd/05-features/F02-visual-asset-demand-intake.md","D003|D009|D019|D023|D024|D027|D028","UJ-01|UJ-03|UJ-12|UJ-14","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml; contracts/schemas/VISUAL_ASSET_SUBMISSION.schema.yaml; contracts/examples/format02_visual_asset_demand.yaml","NONE_VERIFIED; scripts/ contains PRD package utilities only","NONE_VERIFIED; no executable product test suite found","NEW_IMPLEMENTATION","No executable product implementation was found. Nearby PRD/governance artifacts define intent only and do not satisfy runtime behavior.","TS-VAE-01"
"FR-016","FR","F02","Block unresolved authority and dependency gaps","R1_APPLICABLE","prd/05-features/F02-visual-asset-demand-intake.md","D003|D009|D019|D023|D024|D027|D028","UJ-01|UJ-03|UJ-12|UJ-14","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml; contracts/schemas/VISUAL_ASSET_SUBMISSION.schema.yaml; contracts/examples/format02_visual_asset_demand.yaml","NONE_VERIFIED; scripts/ contains PRD package utilities only","NONE_VERIFIED; no executable product test suite found","NEW_IMPLEMENTATION","No executable product implementation was found. Nearby PRD/governance artifacts define intent only and do not satisfy runtime behavior.","TS-VAE-01"
"FR-017","FR","F03","Maintain eight canonical asset families","R1_STRUCTURAL_SCOPE_ONLY","prd/05-features/F03-asset-ontology-reference-production.md","D005|D006|D007|D025|D026|D027","UJ-01|UJ-03|UJ-09|UJ-14","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-MEM-001|NFR-MEM-002|NFR-MEM-003|NFR-MEM-004|NFR-MEM-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","governance/ASSET_FAMILY_REGISTRY.yaml; contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml#properties.asset_classification","NONE_VERIFIED; scripts/ contains PRD package utilities only","validation/SCHEMA_VALIDATION_REPORT.json is a saved structural report where applicable; scripts/validate_prd_package.py checks schema shape only; no executable product test suite found","PARTIALLY_IMPLEMENTED","Concrete schema, registry, fixture, or governance data represents part of the requirement, but no executable product path enforces or exercises the complete behavior.","TS-VAE-01; TS-VAE-10"
"FR-018","FR","F03","Bind harness-specific roles and Activative functions","R1_APPLICABLE","prd/05-features/F03-asset-ontology-reference-production.md","D005|D006|D007|D025|D026|D027","UJ-01|UJ-03|UJ-09|UJ-14","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-MEM-001|NFR-MEM-002|NFR-MEM-003|NFR-MEM-004|NFR-MEM-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","governance/ASSET_FAMILY_REGISTRY.yaml; contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml#properties.asset_classification","NONE_VERIFIED; scripts/ contains PRD package utilities only","validation/SCHEMA_VALIDATION_REPORT.json is a saved structural report where applicable; scripts/validate_prd_package.py checks schema shape only; no executable product test suite found","PARTIALLY_IMPLEMENTED","Concrete schema, registry, fixture, or governance data represents part of the requirement, but no executable product path enforces or exercises the complete behavior.","TS-VAE-01; TS-VAE-10"
"FR-019","FR","F03","Represent Reference Evidence explicitly","R1_APPLICABLE","prd/05-features/F03-asset-ontology-reference-production.md","D005|D006|D007|D025|D026|D027","UJ-01|UJ-03|UJ-09|UJ-14","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-MEM-001|NFR-MEM-002|NFR-MEM-003|NFR-MEM-004|NFR-MEM-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","governance/ASSET_FAMILY_REGISTRY.yaml; contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml#properties.asset_classification","NONE_VERIFIED; scripts/ contains PRD package utilities only","validation/SCHEMA_VALIDATION_REPORT.json is a saved structural report where applicable; scripts/validate_prd_package.py checks schema shape only; no executable product test suite found","PARTIALLY_IMPLEMENTED","Concrete schema, registry, fixture, or governance data represents part of the requirement, but no executable product path enforces or exercises the complete behavior.","TS-VAE-01; TS-VAE-10"
"FR-020","FR","F03","Represent Production Assets explicitly","R1_APPLICABLE","prd/05-features/F03-asset-ontology-reference-production.md","D005|D006|D007|D025|D026|D027","UJ-01|UJ-03|UJ-09|UJ-14","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-MEM-001|NFR-MEM-002|NFR-MEM-003|NFR-MEM-004|NFR-MEM-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","governance/ASSET_FAMILY_REGISTRY.yaml; contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml#properties.asset_classification","NONE_VERIFIED; scripts/ contains PRD package utilities only","validation/SCHEMA_VALIDATION_REPORT.json is a saved structural report where applicable; scripts/validate_prd_package.py checks schema shape only; no executable product test suite found","PARTIALLY_IMPLEMENTED","Concrete schema, registry, fixture, or governance data represents part of the requirement, but no executable product path enforces or exercises the complete behavior.","TS-VAE-01; TS-VAE-10"
"FR-021","FR","F03","Require explicit reference-to-production promotion","R1_APPLICABLE","prd/05-features/F03-asset-ontology-reference-production.md","D005|D006|D007|D025|D026|D027","UJ-01|UJ-03|UJ-09|UJ-14","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-MEM-001|NFR-MEM-002|NFR-MEM-003|NFR-MEM-004|NFR-MEM-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","governance/ASSET_FAMILY_REGISTRY.yaml; contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml#properties.asset_classification","NONE_VERIFIED; scripts/ contains PRD package utilities only","NONE_VERIFIED; no executable product test suite found","NEW_IMPLEMENTATION","No executable product implementation was found. Nearby PRD/governance artifacts define intent only and do not satisfy runtime behavior.","TS-VAE-01; TS-VAE-10"
