id,type,title,classification,release_scope,tech_spec,component_id,architecture_component,adr_ids,locked_decisions,architecture_mechanism,verification_strategy,blocking_decisions,requirement_source
FR-011,FR,Read directories and archives without mutating sources,NEW_IMPLEMENTATION,RELEASE_1,TS-02,C02,Evidence Workspace,ADR-003;ADR-007;ADR-012,D005;D028,"source profiles, immutable Source Lock, reaction/expression consent and evidence spans, safe adapters, saturation contract",unit;contract;archive-security;consent;withdrawal;property;scale;resume;invalidation,BD-004;BD-005,prd/05-features/F02-configured-evidence-workspace.md
FR-012,FR,Require a real target candidate boundary,NEW_IMPLEMENTATION,RELEASE_1,TS-02,C02,Evidence Workspace,ADR-003;ADR-007;ADR-012,D005,"source profiles, immutable Source Lock, reaction/expression consent and evidence spans, safe adapters, saturation contract",unit;contract;archive-security;consent;withdrawal;property;scale;resume;invalidation,BD-004;BD-005,prd/05-features/F02-configured-evidence-workspace.md
FR-013,FR,Create an immutable source lock,NEW_IMPLEMENTATION,RELEASE_1,TS-02,C02,Evidence Workspace,ADR-003;ADR-007;ADR-012,D005;D025,"source profiles, immutable Source Lock, reaction/expression consent and evidence spans, safe adapters, saturation contract",unit;contract;archive-security;consent;withdrawal;property;scale;resume;invalidation,BD-004;BD-005,prd/05-features/F02-configured-evidence-workspace.md
FR-014,FR,Build a queryable evidence index,NEW_IMPLEMENTATION,RELEASE_1,TS-02,C02,Evidence Workspace,ADR-003;ADR-007;ADR-012,D003;D005,"source profiles, immutable Source Lock, reaction/expression consent and evidence spans, safe adapters, saturation contract",unit;contract;archive-security;consent;withdrawal;property;scale;resume;invalidation,BD-004;BD-005,prd/05-features/F02-configured-evidence-workspace.md
FR-015,FR,Inventory every target specimen,NEW_IMPLEMENTATION,RELEASE_1,TS-02,C02,Evidence Workspace,ADR-003;ADR-007;ADR-012,D007;D023,"source profiles, immutable Source Lock, reaction/expression consent and evidence spans, safe adapters, saturation contract",unit;contract;archive-security;consent;withdrawal;property;scale;resume;invalidation,BD-004;BD-005,prd/05-features/F02-configured-evidence-workspace.md
FR-016,FR,Evaluate a measurable saturation contract,NEW_IMPLEMENTATION,RELEASE_1,TS-02,C02,Evidence Workspace,ADR-003;ADR-007;ADR-012,D003;D007,"source profiles, immutable Source Lock, reaction/expression consent and evidence spans, safe adapters, saturation contract",unit;contract;archive-security;consent;withdrawal;property;scale;resume;invalidation,BD-004;BD-005,prd/05-features/F02-configured-evidence-workspace.md
FR-017,FR,Classify evidence gaps and authority conflicts,NEW_IMPLEMENTATION,RELEASE_1,TS-02,C02,Evidence Workspace,ADR-003;ADR-007;ADR-012,D005;D007,"source profiles, immutable Source Lock, reaction/expression consent and evidence spans, safe adapters, saturation contract",unit;contract;archive-security;consent;withdrawal;property;scale;resume;invalidation,BD-004;BD-005,prd/05-features/F02-configured-evidence-workspace.md
FR-018,FR,Issue typed saturation outcomes,NEW_IMPLEMENTATION,RELEASE_1,TS-02,C02,Evidence Workspace,ADR-003;ADR-007;ADR-012,D007;D027,"source profiles, immutable Source Lock, reaction/expression consent and evidence spans, safe adapters, saturation contract",unit;contract;archive-security;consent;withdrawal;property;scale;resume;invalidation,BD-004;BD-005,prd/05-features/F02-configured-evidence-workspace.md
FR-019,FR,Normalize every visual specimen,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,C03,Visual Understanding,ADR-008;ADR-012,D007,"Visual Syntax First development parsing, Activation First runtime guard, provider port, typed visual/conversational evidence",golden;dual-order;lineage;contract;provider;adversarial;privacy;calibration;benchmark,BD-004;BD-007,prd/05-features/F03-visual-syntax-first.md
FR-020,FR,Detect duplicate and near-duplicate visual evidence,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,C03,Visual Understanding,ADR-008;ADR-012,D007;D023,"Visual Syntax First development parsing, Activation First runtime guard, provider port, typed visual/conversational evidence",golden;dual-order;lineage;contract;provider;adversarial;privacy;calibration;benchmark,BD-004;BD-007,prd/05-features/F03-visual-syntax-first.md
FR-021,FR,Produce a typed specimen-level visual syntactic parse,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,C03,Visual Understanding,ADR-008;ADR-012,D007;D012,"Visual Syntax First development parsing, Activation First runtime guard, provider port, typed visual/conversational evidence",golden;dual-order;lineage;contract;provider;adversarial;privacy;calibration;benchmark,BD-004;BD-007,prd/05-features/F03-visual-syntax-first.md
FR-022,FR,Use a canonical parsing ontology with category adaptations,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,C03,Visual Understanding,ADR-008;ADR-012,D030;D031,"Visual Syntax First development parsing, Activation First runtime guard, provider port, typed visual/conversational evidence",golden;dual-order;lineage;contract;provider;adversarial;privacy;calibration;benchmark,BD-004;BD-007,prd/05-features/F03-visual-syntax-first.md
FR-023,FR,Measure normalized component geometry,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,C03,Visual Understanding,ADR-008;ADR-012,D007;D012,"Visual Syntax First development parsing, Activation First runtime guard, provider port, typed visual/conversational evidence",golden;dual-order;lineage;contract;provider;adversarial;privacy;calibration;benchmark,BD-004;BD-007,prd/05-features/F03-visual-syntax-first.md
FR-024,FR,Build a spatial relationship graph,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,C03,Visual Understanding,ADR-008;ADR-012,D007;D014,"Visual Syntax First development parsing, Activation First runtime guard, provider port, typed visual/conversational evidence",golden;dual-order;lineage;contract;provider;adversarial;privacy;calibration;benchmark,BD-004;BD-007,prd/05-features/F03-visual-syntax-first.md
FR-025,FR,Parse hierarchy and reading order,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,C03,Visual Understanding,ADR-008;ADR-012,D007,"Visual Syntax First development parsing, Activation First runtime guard, provider port, typed visual/conversational evidence",golden;dual-order;lineage;contract;provider;adversarial;privacy;calibration;benchmark,BD-004;BD-007,prd/05-features/F03-visual-syntax-first.md
FR-026,FR,Classify composition variables,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,C03,Visual Understanding,ADR-008;ADR-012,D007;D008,"Visual Syntax First development parsing, Activation First runtime guard, provider port, typed visual/conversational evidence",golden;dual-order;lineage;contract;provider;adversarial;privacy;calibration;benchmark,BD-004;BD-007,prd/05-features/F03-visual-syntax-first.md
FR-027,FR,Parse temporal syntax for time-based evidence,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,C03,Visual Understanding,ADR-008;ADR-012,D030;D031,"Visual Syntax First development parsing, Activation First runtime guard, provider port, typed visual/conversational evidence",golden;dual-order;lineage;contract;provider;adversarial;privacy;calibration;benchmark,BD-004;BD-007,prd/05-features/F03-visual-syntax-first.md
FR-028,FR,Separate BBOX observation from WHY hypotheses,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,C03,Visual Understanding,ADR-008;ADR-012,D007;D011,"Visual Syntax First development parsing, Activation First runtime guard, provider port, typed visual/conversational evidence",golden;dual-order;lineage;contract;provider;adversarial;privacy;calibration;benchmark,BD-004;BD-007,prd/05-features/F03-visual-syntax-first.md
FR-029,FR,Induce cross-specimen visual grammar,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,C03,Visual Understanding,ADR-008;ADR-012,D007;D008,"Visual Syntax First development parsing, Activation First runtime guard, provider port, typed visual/conversational evidence",golden;dual-order;lineage;contract;provider;adversarial;privacy;calibration;benchmark,BD-004;BD-007,prd/05-features/F03-visual-syntax-first.md
FR-030,FR,Draft category-native sequence grammar,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,C03,Visual Understanding,ADR-008;ADR-012,D007;D030;D031,"Visual Syntax First development parsing, Activation First runtime guard, provider port, typed visual/conversational evidence",golden;dual-order;lineage;contract;provider;adversarial;privacy;calibration;benchmark,BD-004;BD-007,prd/05-features/F03-visual-syntax-first.md
FR-031,FR,Draft Activative hypotheses after syntax,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-03,C03,Visual Understanding,ADR-008;ADR-012,D007;D030,"Visual Syntax First development parsing, Activation First runtime guard, provider port, typed visual/conversational evidence",golden;dual-order;lineage;contract;provider;adversarial;privacy;calibration;benchmark,BD-004;BD-007,prd/05-features/F03-visual-syntax-first.md
FR-032,FR,Compare candidate product boundaries,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-04,C04,Atomicity,ADR-005;ADR-008;ADR-014,D008,"candidate-boundary graph, typed atomicity assessment, Draft Harness Model, human ratification",unit;authority;adversarial;empirical;invalidation;category,BD-004;BD-007,prd/05-features/F04-atomicity-draft-harness-model.md
FR-033,FR,Assign one typed atomicity status,NEW_IMPLEMENTATION,RELEASE_1,TS-04,C04,Atomicity,ADR-005;ADR-008;ADR-014,D008,"candidate-boundary graph, typed atomicity assessment, Draft Harness Model, human ratification",unit;authority;adversarial;empirical;invalidation;category,BD-004;BD-007,prd/05-features/F04-atomicity-draft-harness-model.md
FR-034,FR,Explain merge and split recommendations,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-04,C04,Atomicity,ADR-005;ADR-008;ADR-014,D008;D033,"candidate-boundary graph, typed atomicity assessment, Draft Harness Model, human ratification",unit;authority;adversarial;empirical;invalidation;category,BD-004;BD-007,prd/05-features/F04-atomicity-draft-harness-model.md
FR-035,FR,Assess wrong-boundary risk,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-04,C04,Atomicity,ADR-005;ADR-008;ADR-014,D008;D027,"candidate-boundary graph, typed atomicity assessment, Draft Harness Model, human ratification",unit;authority;adversarial;empirical;invalidation;category,BD-004;BD-007,prd/05-features/F04-atomicity-draft-harness-model.md
FR-036,FR,Require human atomicity ratification,NEW_IMPLEMENTATION,RELEASE_1,TS-04,C04,Atomicity,ADR-005;ADR-008;ADR-014,D002;D008,"candidate-boundary graph, typed atomicity assessment, Draft Harness Model, human ratification",unit;authority;adversarial;empirical;invalidation;category,BD-004;BD-007,prd/05-features/F04-atomicity-draft-harness-model.md
FR-037,FR,Compile a Draft Harness Model,NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-04,C04,Atomicity,ADR-005;ADR-008;ADR-014,D009;D011,"candidate-boundary graph, typed atomicity assessment, Draft Harness Model, human ratification",unit;authority;adversarial;empirical;invalidation;category,BD-004;BD-007,prd/05-features/F04-atomicity-draft-harness-model.md
FR-038,FR,Mark the Draft Harness Model unratified,NEW_IMPLEMENTATION,RELEASE_1,TS-04,C04,Atomicity,ADR-005;ADR-008;ADR-014,D009;D011,"candidate-boundary graph, typed atomicity assessment, Draft Harness Model, human ratification",unit;authority;adversarial;empirical;invalidation;category,BD-004;BD-007,prd/05-features/F04-atomicity-draft-harness-model.md
FR-039,FR,"Expose gaps, confidence, and alternatives",NEEDS_EMPIRICAL_PROTOTYPE,RELEASE_1,TS-04,C04,Atomicity,ADR-005;ADR-008;ADR-014,D003;D009,"candidate-boundary graph, typed atomicity assessment, Draft Harness Model, human ratification",unit;authority;adversarial;empirical;invalidation;category,BD-004;BD-007,prd/05-features/F04-atomicity-draft-harness-model.md
FR-040,FR,Freeze the ratified boundary for Genesis,NEW_IMPLEMENTATION,RELEASE_1,TS-04,C04,Atomicity,ADR-005;ADR-008;ADR-014,D008;D010;D033,"candidate-boundary graph, typed atomicity assessment, Draft Harness Model, human ratification",unit;authority;adversarial;empirical;invalidation;category,BD-004;BD-007,prd/05-features/F04-atomicity-draft-harness-model.md
FR-041,FR,Define typed Genesis decision nodes,NEW_IMPLEMENTATION,RELEASE_1,TS-05,C05,Genesis,ADR-003;ADR-005,D010;D011,"dependency-ready decision graph, rich Activative lineage, human-owned Identity DNA proposals, transactional IR patch",unit;graph-property;transaction;concurrency;replay;authority,BD-005,prd/05-features/F05-dependency-driven-genesis.md
FR-042,FR,Unlock only dependency-ready decisions,NEW_IMPLEMENTATION,RELEASE_1,TS-05,C05,Genesis,ADR-003;ADR-005,D010;D019,"dependency-ready decision graph, rich Activative lineage, human-owned Identity DNA proposals, transactional IR patch",unit;graph-property;transaction;concurrency;replay;authority,BD-005,prd/05-features/F05-dependency-driven-genesis.md
FR-043,FR,Ask one primary constitutional question per turn,NEW_IMPLEMENTATION,RELEASE_1,TS-05,C05,Genesis,ADR-003;ADR-005,D010,"dependency-ready decision graph, rich Activative lineage, human-owned Identity DNA proposals, transactional IR patch",unit;graph-property;transaction;concurrency;replay;authority,BD-005,prd/05-features/F05-dependency-driven-genesis.md
FR-044,FR,Present an evidence-backed recommendation,NEW_IMPLEMENTATION,RELEASE_1,TS-05,C05,Genesis,ADR-003;ADR-005,D002;D010,"dependency-ready decision graph, rich Activative lineage, human-owned Identity DNA proposals, transactional IR patch",unit;graph-property;transaction;concurrency;replay;authority,BD-005,prd/05-features/F05-dependency-driven-genesis.md
FR-045,FR,Record human answer and final decision separately,NEW_IMPLEMENTATION,RELEASE_1,TS-05,C05,Genesis,ADR-003;ADR-005,D002;D010,"dependency-ready decision graph, rich Activative lineage, human-owned Identity DNA proposals, transactional IR patch",unit;graph-property;transaction;concurrency;replay;authority,BD-005,prd/05-features/F05-dependency-driven-genesis.md
FR-046,FR,Update the Harness IR transactionally,NEW_IMPLEMENTATION,RELEASE_1,TS-05,C05,Genesis,ADR-003;ADR-005,D010;D011,"dependency-ready decision graph, rich Activative lineage, human-owned Identity DNA proposals, transactional IR patch",unit;graph-property;transaction;concurrency;replay;authority,BD-005,prd/05-features/F05-dependency-driven-genesis.md
FR-047,FR,Reopen affected decisions on contradiction,NEW_IMPLEMENTATION,RELEASE_1,TS-05,C05,Genesis,ADR-003;ADR-005,D010;D026,"dependency-ready decision graph, rich Activative lineage, human-owned Identity DNA proposals, transactional IR patch",unit;graph-property;transaction;concurrency;replay;authority,BD-005,prd/05-features/F05-dependency-driven-genesis.md
FR-048,FR,Support provisional autonomous drafting with ratification,NEW_IMPLEMENTATION,RELEASE_1,TS-05,C05,Genesis,ADR-003;ADR-005,D002;D010;D027,"dependency-ready decision graph, rich Activative lineage, human-owned Identity DNA proposals, transactional IR patch",unit;graph-property;transaction;concurrency;replay;authority,BD-005,prd/05-features/F05-dependency-driven-genesis.md
FR-049,FR,Define a cascade-locked terminal state,NEW_IMPLEMENTATION,RELEASE_1,TS-05,C05,Genesis,ADR-003;ADR-005,D010;D027,"dependency-ready decision graph, rich Activative lineage, human-owned Identity DNA proposals, transactional IR patch",unit;graph-property;transaction;concurrency;replay;authority,BD-005,prd/05-features/F05-dependency-driven-genesis.md
FR-050,FR,Persist complete decision receipts and resumable memory,NEW_IMPLEMENTATION,RELEASE_1,TS-05,C05,Genesis,ADR-003;ADR-005,D010;D025,"dependency-ready decision graph, rich Activative lineage, human-owned Identity DNA proposals, transactional IR patch",unit;graph-property;transaction;concurrency;replay;authority,BD-005,prd/05-features/F05-dependency-driven-genesis.md
FR-051,FR,Maintain one canonical typed Harness IR,NEW_IMPLEMENTATION,RELEASE_1,TS-06,C06,Harness IR And Compilers,ADR-002;ADR-003;ADR-004,D011,"canonical Harness IR, rich semantic refs, conversational receipts, visual handoffs, canonical JSON, migrations, drift guard",unit;golden;property;contract;cross-artifact;migration;drift;sandbox,BD-001;BD-005,prd/05-features/F06-canonical-harness-ir.md
FR-052,FR,Attach provenance and authority metadata to material values,NEW_IMPLEMENTATION,RELEASE_1,TS-06,C06,Harness IR And Compilers,ADR-002;ADR-003;ADR-004,D007;D011,"canonical Harness IR, rich semantic refs, conversational receipts, visual handoffs, canonical JSON, migrations, drift guard",unit;golden;property;contract;cross-artifact;migration;drift;sandbox,BD-001;BD-005,prd/05-features/F06-canonical-harness-ir.md
FR-053,FR,Version IR schemas and migrations,NEW_IMPLEMENTATION,RELEASE_1,TS-06,C06,Harness IR And Compilers,ADR-002;ADR-003;ADR-004,D011;D028,"canonical Harness IR, rich semantic refs, conversational receipts, visual handoffs, canonical JSON, migrations, drift guard",unit;golden;property;contract;cross-artifact;migration;drift;sandbox,BD-001;BD-005,prd/05-features/F06-canonical-harness-ir.md
FR-054,FR,Compile sharded human-readable specifications,NEW_IMPLEMENTATION,RELEASE_1,TS-06,C06,Harness IR And Compilers,ADR-002;ADR-003;ADR-004,D011;D029,"canonical Harness IR, rich semantic refs, conversational receipts, visual handoffs, canonical JSON, migrations, drift guard",unit;golden;property;contract;cross-artifact;migration;drift;sandbox,BD-001;BD-005,prd/05-features/F06-canonical-harness-ir.md
FR-055,FR,Compile OpenSpec as a governed view,NEW_IMPLEMENTATION,RELEASE_1,TS-06,C06,Harness IR And Compilers,ADR-002;ADR-003;ADR-004,D011;D028,"canonical Harness IR, rich semantic refs, conversational receipts, visual handoffs, canonical JSON, migrations, drift guard",unit;golden;property;contract;cross-artifact;migration;drift;sandbox,BD-001;BD-005,prd/05-features/F06-canonical-harness-ir.md
FR-056,FR,Compile machine artifacts from the same IR,NEW_IMPLEMENTATION,RELEASE_1,TS-06,C06,Harness IR And Compilers,ADR-002;ADR-003;ADR-004,D011;D029,"canonical Harness IR, rich semantic refs, conversational receipts, visual handoffs, canonical JSON, migrations, drift guard",unit;golden;property;contract;cross-artifact;migration;drift;sandbox,BD-001;BD-005,prd/05-features/F06-canonical-harness-ir.md
FR-057,FR,Protect generated authoritative artifacts from silent manual drift,NEW_IMPLEMENTATION,RELEASE_1,TS-06,C06,Harness IR And Compilers,ADR-002;ADR-003;ADR-004,D011;D033,"canonical Harness IR, rich semantic refs, conversational receipts, visual handoffs, canonical JSON, migrations, drift guard",unit;golden;property;contract;cross-artifact;migration;drift;sandbox,BD-001;BD-005,prd/05-features/F06-canonical-harness-ir.md
FR-058,FR,Bind artifacts to compiler and source hashes,NEW_IMPLEMENTATION,RELEASE_1,TS-06,C06,Harness IR And Compilers,ADR-002;ADR-003;ADR-004,D011;D021;D029,"canonical Harness IR, rich semantic refs, conversational receipts, visual handoffs, canonical JSON, migrations, drift guard",unit;golden;property;contract;cross-artifact;migration;drift;sandbox,BD-001;BD-005,prd/05-features/F06-canonical-harness-ir.md
FR-059,FR,Validate cross-artifact consistency and completeness,NEW_IMPLEMENTATION,RELEASE_1,TS-06,C06,Harness IR And Compilers,ADR-002;ADR-003;ADR-004,D003;D011;D027,"canonical Harness IR, rich semantic refs, conversational receipts, visual handoffs, canonical JSON, migrations, drift guard",unit;golden;property;contract;cross-artifact;migration;drift;sandbox,BD-001;BD-005,prd/05-features/F06-canonical-harness-ir.md
FR-060,FR,Inventory every required capability,NEW_IMPLEMENTATION,RELEASE_1,TS-07,C07,Architecture Graphs,ADR-001;ADR-002;ADR-004;ADR-005,D012,typed ownership/module/phase/context/contract/reference/loading/repair graphs and impact analysis,unit;graph-property;contract;scale;security;impact;invalidation,BD-001,prd/05-features/F07-capability-module-phase-contract.md
FR-061,FR,Assign an explicit capability ownership type,NEW_IMPLEMENTATION,RELEASE_1,TS-07,C07,Architecture Graphs,ADR-001;ADR-002;ADR-004;ADR-005,D012,typed ownership/module/phase/context/contract/reference/loading/repair graphs and impact analysis,unit;graph-property;contract;scale;security;impact;invalidation,BD-001,prd/05-features/F07-capability-module-phase-contract.md
FR-062,FR,Use reliability and cost criteria for ownership,NEW_IMPLEMENTATION,RELEASE_1,TS-07,C07,Architecture Graphs,ADR-001;ADR-002;ADR-004;ADR-005,D003;D012,typed ownership/module/phase/context/contract/reference/loading/repair graphs and impact analysis,unit;graph-property;contract;scale;security;impact;invalidation,BD-001,prd/05-features/F07-capability-module-phase-contract.md
FR-063,FR,Represent hybrid capability pipelines,NEW_IMPLEMENTATION,RELEASE_1,TS-07,C07,Architecture Graphs,ADR-001;ADR-002;ADR-004;ADR-005,D007;D012,typed ownership/module/phase/context/contract/reference/loading/repair graphs and impact analysis,unit;graph-property;contract;scale;security;impact;invalidation,BD-001,prd/05-features/F07-capability-module-phase-contract.md
FR-064,FR,Compile responsibility-centered modules,NEW_IMPLEMENTATION,RELEASE_1,TS-07,C07,Architecture Graphs,ADR-001;ADR-002;ADR-004;ADR-005,D015;D033,typed ownership/module/phase/context/contract/reference/loading/repair graphs and impact analysis,unit;graph-property;contract;scale;security;impact;invalidation,BD-001,prd/05-features/F07-capability-module-phase-contract.md
FR-065,FR,Declare test seams for every module,NEW_IMPLEMENTATION,RELEASE_1,TS-07,C07,Architecture Graphs,ADR-001;ADR-002;ADR-004;ADR-005,D015,typed ownership/module/phase/context/contract/reference/loading/repair graphs and impact analysis,unit;graph-property;contract;scale;security;impact;invalidation,BD-001,prd/05-features/F07-capability-module-phase-contract.md
FR-066,FR,Compile a harness-specific Phase Graph,NEW_IMPLEMENTATION,RELEASE_1,TS-07,C07,Architecture Graphs,ADR-001;ADR-002;ADR-004;ADR-005,D013,typed ownership/module/phase/context/contract/reference/loading/repair graphs and impact analysis,unit;graph-property;contract;scale;security;impact;invalidation,BD-001,prd/05-features/F07-capability-module-phase-contract.md
FR-067,FR,Represent sequential and parallel phase dependencies,NEW_IMPLEMENTATION,RELEASE_1,TS-07,C07,Architecture Graphs,ADR-001;ADR-002;ADR-004;ADR-005,D013;D025,typed ownership/module/phase/context/contract/reference/loading/repair graphs and impact analysis,unit;graph-property;contract;scale;security;impact;invalidation,BD-001,prd/05-features/F07-capability-module-phase-contract.md
FR-068,FR,Compile a phase-specific Context Graph,NEW_IMPLEMENTATION,RELEASE_1,TS-07,C07,Architecture Graphs,ADR-001;ADR-002;ADR-004;ADR-005,D013;D020,typed ownership/module/phase/context/contract/reference/loading/repair graphs and impact analysis,unit;graph-property;contract;scale;security;impact;invalidation,BD-001,prd/05-features/F07-capability-module-phase-contract.md
FR-069,FR,Use versioned typed phase handoff contracts,NEW_IMPLEMENTATION,RELEASE_1,TS-07,C07,Architecture Graphs,ADR-001;ADR-002;ADR-004;ADR-005,D014,typed ownership/module/phase/context/contract/reference/loading/repair graphs and impact analysis,unit;graph-property;contract;scale;security;impact;invalidation,BD-001,prd/05-features/F07-capability-module-phase-contract.md
FR-070,FR,Prohibit silent downstream rewriting,NEW_IMPLEMENTATION,RELEASE_1,TS-07,C07,Architecture Graphs,ADR-001;ADR-002;ADR-004;ADR-005,D014;D026,typed ownership/module/phase/context/contract/reference/loading/repair graphs and impact analysis,unit;graph-property;contract;scale;security;impact;invalidation,BD-001,prd/05-features/F07-capability-module-phase-contract.md
FR-071,FR,Validate ownership and dependency impact,NEW_IMPLEMENTATION,RELEASE_1,TS-07,C07,Architecture Graphs,ADR-001;ADR-002;ADR-004;ADR-005,D012;D013;D014;D026,typed ownership/module/phase/context/contract/reference/loading/repair graphs and impact analysis,unit;graph-property;contract;scale;security;impact;invalidation,BD-001,prd/05-features/F07-capability-module-phase-contract.md
FR-072,FR,Maintain a versioned reference registry,NEW_IMPLEMENTATION,RELEASE_1,TS-07,C07,Architecture Graphs,ADR-001;ADR-002;ADR-004;ADR-005,D016;D019,typed ownership/module/phase/context/contract/reference/loading/repair graphs and impact analysis,unit;graph-property;contract;scale;security;impact;invalidation,BD-001,prd/05-features/F08-reference-spr-context.md
FR-073,FR,Support explicit loading policies,NEW_IMPLEMENTATION,RELEASE_1,TS-07,C07,Architecture Graphs,ADR-001;ADR-002;ADR-004;ADR-005,D016,typed ownership/module/phase/context/contract/reference/loading/repair graphs and impact analysis,unit;graph-property;contract;scale;security;impact;invalidation,BD-001,prd/05-features/F08-reference-spr-context.md
FR-074,FR,Define influence boundaries for references,NEW_IMPLEMENTATION,RELEASE_1,TS-07,C07,Architecture Graphs,ADR-001;ADR-002;ADR-004;ADR-005,D016;D021,typed ownership/module/phase/context/contract/reference/loading/repair graphs and impact analysis,unit;graph-property;contract;scale;security;impact;invalidation,BD-001,prd/05-features/F08-reference-spr-context.md
FR-075,FR,Compile progressive disclosure pointers,NEW_IMPLEMENTATION,RELEASE_1,TS-07,C07,Architecture Graphs,ADR-001;ADR-002;ADR-004;ADR-005,D016;D017;D020,typed ownership/module/phase/context/contract/reference/loading/repair graphs and impact analysis,unit;graph-property;contract;scale;security;impact;invalidation,BD-001,prd/05-features/F08-reference-spr-context.md
