edge_id,upstream_spec_id,downstream_spec_id,primary_class,write_blocking,unique_required_information,write_satisfaction,accepted_for_build_required_at_write,build_state_blocks_write,classification_basis
SDE-017,TS-AIR-002,TS-AIR-013,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-018,TS-AIR-003,TS-AIR-013,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-019,TS-AIR-005,TS-AIR-013,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-020,TS-AHP-002,TS-SKL-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-021,TS-AIR-005,TS-SKL-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-022,TS-AIR-008,TS-AIR-009,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-023,TS-AIR-008,TS-INT-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-024,TS-AIR-008,TS-INT-007,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-025,TS-AIR-009,TS-INT-007,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-026,TS-INT-001,TS-INT-002,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-027,TS-INT-001,TS-INT-003,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-028,TS-INT-007,TS-INT-006,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-029,TS-INT-002,TS-INT-004,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-030,TS-INT-003,TS-INT-004,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-031,TS-INT-006,TS-INT-004,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-032,TS-INT-004,TS-AIR-011,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-033,TS-INT-006,TS-AIR-011,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-034,TS-INT-004,TS-INT-005,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-035,TS-AIR-005,TS-AIR-015,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-036,TS-AIR-006,TS-AIR-015,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-037,TS-AIR-007,TS-AIR-015,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-038,TS-AIR-011,TS-AIR-015,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-039,TS-AIR-015,TS-AIR-016,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-040,TS-AHP-002,TS-AHP-003,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-041,TS-INT-005,TS-AHP-003,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-042,TS-AIR-015,TS-AHP-003,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-043,TS-AIR-016,TS-AHP-003,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-044,TS-AIR-015,TS-AIR-017,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-045,TS-AIR-016,TS-AIR-017,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-046,TS-AHP-003,TS-VID-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-047,TS-INT-002,TS-VID-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-048,TS-INT-003,TS-VID-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-049,TS-AIR-015,TS-VID-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-050,TS-AIR-001,TS-AIR-019,AUTHORITY_DEPENDENCY,True,True,EXPLICIT_CANDIDATE_SPECIFICATION_WORK_AUTHORIZATION_PLUS_HASH_PINNED_UPSTREAM_DRAFT,False,False,Upstream fixes the governing authority or release boundary required to draft the downstream contract.
SDE-051,TS-AIR-005,TS-AIR-019,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-052,TS-AIR-017,TS-AIR-019,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-053,TS-AHP-003,TS-ANI-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-054,TS-AIR-015,TS-ANI-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-055,TS-AIR-017,TS-ANI-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-056,TS-AHP-002,TS-DEL-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-057,TS-AIR-017,TS-DEL-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-058,TS-AHP-002,TS-EVAL-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-059,TS-AIR-017,TS-EVAL-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-060,TS-AHP-003,TS-STA-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-061,TS-AIR-017,TS-STA-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-062,TS-VID-001,TS-VID-002,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-063,TS-INT-004,TS-VID-002,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-064,TS-AHP-002,TS-AHP-004,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-065,TS-AIR-019,TS-AHP-004,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-066,TS-AHP-002,TS-RET-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-067,TS-AIR-019,TS-RET-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-068,TS-DEL-001,TS-VAE-BOUND-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-069,TS-EVAL-001,TS-EVAL-002,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-070,TS-STA-001,TS-CAR-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-071,TS-AHP-003,TS-CAR-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-072,TS-STA-001,TS-SPV-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-073,TS-AHP-003,TS-SPV-001,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-074,TS-VID-002,TS-VID-003,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-075,TS-DEL-001,TS-VID-003,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-076,TS-AHP-004,TS-AHP-005,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-077,TS-AIR-019,TS-AHP-005,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-078,TS-VID-002,TS-VID-004,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-079,TS-VID-003,TS-VID-004,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-080,TS-AHP-005,TS-AHP-006,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-081,TS-AIR-019,TS-AHP-006,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-082,TS-EVAL-002,TS-EVAL-003,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-083,TS-AIR-019,TS-EVAL-003,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-084,TS-AHP-005,TS-EVAL-003,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-085,TS-VID-004,TS-VID-005,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-086,TS-AHP-006,TS-AHP-007,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-087,TS-EVAL-001,TS-AHP-007,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
