requirement_id,feature_id,decision_id,journeys,nfr_refs,feature_file,primary_test_type,expected_receipt_or_event
FR-017,F03,D003,UJ-01|UJ-02|UJ-10|UJ-13,NFR-CONTRACT-001|NFR-SEC-002|NFR-TRACE-003|NFR-COMPAT-001,prd/05-features/F03-contract-family.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-018,F03,D003,UJ-01|UJ-02|UJ-10|UJ-13,NFR-CONTRACT-001|NFR-SEC-002|NFR-TRACE-003|NFR-COMPAT-001,prd/05-features/F03-contract-family.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-019,F03,D003,UJ-01|UJ-02|UJ-10|UJ-13,NFR-CONTRACT-001|NFR-SEC-002|NFR-TRACE-003|NFR-COMPAT-001,prd/05-features/F03-contract-family.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-020,F03,D003,UJ-01|UJ-02|UJ-10|UJ-13,NFR-CONTRACT-001|NFR-SEC-002|NFR-TRACE-003|NFR-COMPAT-001,prd/05-features/F03-contract-family.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-021,F03,D003,UJ-01|UJ-02|UJ-10|UJ-13,NFR-CONTRACT-001|NFR-SEC-002|NFR-TRACE-003|NFR-COMPAT-001,prd/05-features/F03-contract-family.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-022,F03,D003,UJ-01|UJ-02|UJ-10|UJ-13,NFR-CONTRACT-001|NFR-SEC-002|NFR-TRACE-003|NFR-COMPAT-001,prd/05-features/F03-contract-family.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-023,F03,D003,UJ-01|UJ-02|UJ-10|UJ-13,NFR-CONTRACT-001|NFR-SEC-002|NFR-TRACE-003|NFR-COMPAT-001,prd/05-features/F03-contract-family.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-024,F03,D003,UJ-01|UJ-02|UJ-10|UJ-13,NFR-CONTRACT-001|NFR-SEC-002|NFR-TRACE-003|NFR-COMPAT-001,prd/05-features/F03-contract-family.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-025,F04,D004,UJ-01|UJ-03|UJ-05|UJ-08|UJ-14,NFR-LIFE-001|NFR-REL-002|NFR-OBS-001|NFR-TRACE-004,prd/05-features/F04-external-lifecycle.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-026,F04,D004,UJ-01|UJ-03|UJ-05|UJ-08|UJ-14,NFR-LIFE-001|NFR-REL-002|NFR-OBS-001|NFR-TRACE-004,prd/05-features/F04-external-lifecycle.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-027,F04,D004,UJ-01|UJ-03|UJ-05|UJ-08|UJ-14,NFR-LIFE-001|NFR-REL-002|NFR-OBS-001|NFR-TRACE-004,prd/05-features/F04-external-lifecycle.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-028,F04,D004,UJ-01|UJ-03|UJ-05|UJ-08|UJ-14,NFR-LIFE-001|NFR-REL-002|NFR-OBS-001|NFR-TRACE-004,prd/05-features/F04-external-lifecycle.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-029,F04,D004,UJ-01|UJ-03|UJ-05|UJ-08|UJ-14,NFR-LIFE-001|NFR-REL-002|NFR-OBS-001|NFR-TRACE-004,prd/05-features/F04-external-lifecycle.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-030,F04,D004,UJ-01|UJ-03|UJ-05|UJ-08|UJ-14,NFR-LIFE-001|NFR-REL-002|NFR-OBS-001|NFR-TRACE-004,prd/05-features/F04-external-lifecycle.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-031,F04,D004,UJ-01|UJ-03|UJ-05|UJ-08|UJ-14,NFR-LIFE-001|NFR-REL-002|NFR-OBS-001|NFR-TRACE-004,prd/05-features/F04-external-lifecycle.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-032,F04,D004,UJ-01|UJ-03|UJ-05|UJ-08|UJ-14,NFR-LIFE-001|NFR-REL-002|NFR-OBS-001|NFR-TRACE-004,prd/05-features/F04-external-lifecycle.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-033,F05,D005,UJ-05|UJ-09|UJ-12,NFR-LIFE-002|NFR-REL-003|NFR-TRACE-005|NFR-CONTRACT-002,prd/05-features/F05-supersession-invalidation.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-034,F05,D005,UJ-05|UJ-09|UJ-12,NFR-LIFE-002|NFR-REL-003|NFR-TRACE-005|NFR-CONTRACT-002,prd/05-features/F05-supersession-invalidation.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-035,F05,D005,UJ-05|UJ-09|UJ-12,NFR-LIFE-002|NFR-REL-003|NFR-TRACE-005|NFR-CONTRACT-002,prd/05-features/F05-supersession-invalidation.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-036,F05,D005,UJ-05|UJ-09|UJ-12,NFR-LIFE-002|NFR-REL-003|NFR-TRACE-005|NFR-CONTRACT-002,prd/05-features/F05-supersession-invalidation.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-037,F05,D005,UJ-05|UJ-09|UJ-12,NFR-LIFE-002|NFR-REL-003|NFR-TRACE-005|NFR-CONTRACT-002,prd/05-features/F05-supersession-invalidation.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-038,F05,D005,UJ-05|UJ-09|UJ-12,NFR-LIFE-002|NFR-REL-003|NFR-TRACE-005|NFR-CONTRACT-002,prd/05-features/F05-supersession-invalidation.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-039,F05,D005,UJ-05|UJ-09|UJ-12,NFR-LIFE-002|NFR-REL-003|NFR-TRACE-005|NFR-CONTRACT-002,prd/05-features/F05-supersession-invalidation.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-040,F05,D005,UJ-05|UJ-09|UJ-12,NFR-LIFE-002|NFR-REL-003|NFR-TRACE-005|NFR-CONTRACT-002,prd/05-features/F05-supersession-invalidation.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-041,F06,D006,UJ-04|UJ-12,NFR-AUTH-002|NFR-LIFE-003|NFR-COMPAT-002|NFR-REL-004,prd/05-features/F06-result-acknowledgement.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-042,F06,D006,UJ-04|UJ-12,NFR-AUTH-002|NFR-LIFE-003|NFR-COMPAT-002|NFR-REL-004,prd/05-features/F06-result-acknowledgement.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-043,F06,D006,UJ-04|UJ-12,NFR-AUTH-002|NFR-LIFE-003|NFR-COMPAT-002|NFR-REL-004,prd/05-features/F06-result-acknowledgement.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-044,F06,D006,UJ-04|UJ-12,NFR-AUTH-002|NFR-LIFE-003|NFR-COMPAT-002|NFR-REL-004,prd/05-features/F06-result-acknowledgement.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-045,F06,D006,UJ-04|UJ-12,NFR-AUTH-002|NFR-LIFE-003|NFR-COMPAT-002|NFR-REL-004,prd/05-features/F06-result-acknowledgement.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-046,F06,D006,UJ-04|UJ-12,NFR-AUTH-002|NFR-LIFE-003|NFR-COMPAT-002|NFR-REL-004,prd/05-features/F06-result-acknowledgement.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-047,F06,D006,UJ-04|UJ-12,NFR-AUTH-002|NFR-LIFE-003|NFR-COMPAT-002|NFR-REL-004,prd/05-features/F06-result-acknowledgement.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-048,F06,D006,UJ-04|UJ-12,NFR-AUTH-002|NFR-LIFE-003|NFR-COMPAT-002|NFR-REL-004,prd/05-features/F06-result-acknowledgement.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-049,F07,D007,UJ-07|UJ-14,NFR-AUTH-003|NFR-PERF-001|NFR-TRACE-005|NFR-GOV-003,prd/05-features/F07-budget-authority.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-050,F07,D007,UJ-07|UJ-14,NFR-AUTH-003|NFR-PERF-001|NFR-TRACE-005|NFR-GOV-003,prd/05-features/F07-budget-authority.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-051,F07,D007,UJ-07|UJ-14,NFR-AUTH-003|NFR-PERF-001|NFR-TRACE-005|NFR-GOV-003,prd/05-features/F07-budget-authority.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-052,F07,D007,UJ-07|UJ-14,NFR-AUTH-003|NFR-PERF-001|NFR-TRACE-005|NFR-GOV-003,prd/05-features/F07-budget-authority.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-053,F07,D007,UJ-07|UJ-14,NFR-AUTH-003|NFR-PERF-001|NFR-TRACE-005|NFR-GOV-003,prd/05-features/F07-budget-authority.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-054,F07,D007,UJ-07|UJ-14,NFR-AUTH-003|NFR-PERF-001|NFR-TRACE-005|NFR-GOV-003,prd/05-features/F07-budget-authority.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-055,F07,D007,UJ-07|UJ-14,NFR-AUTH-003|NFR-PERF-001|NFR-TRACE-005|NFR-GOV-003,prd/05-features/F07-budget-authority.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-056,F07,D007,UJ-07|UJ-14,NFR-AUTH-003|NFR-PERF-001|NFR-TRACE-005|NFR-GOV-003,prd/05-features/F07-budget-authority.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-057,F08,D008,UJ-08|UJ-05,NFR-LIFE-004|NFR-REL-005|NFR-RES-001|NFR-TRACE-005,prd/05-features/F08-cancellation-deadlines.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-058,F08,D008,UJ-08|UJ-05,NFR-LIFE-004|NFR-REL-005|NFR-RES-001|NFR-TRACE-005,prd/05-features/F08-cancellation-deadlines.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-059,F08,D008,UJ-08|UJ-05,NFR-LIFE-004|NFR-REL-005|NFR-RES-001|NFR-TRACE-005,prd/05-features/F08-cancellation-deadlines.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-060,F08,D008,UJ-08|UJ-05,NFR-LIFE-004|NFR-REL-005|NFR-RES-001|NFR-TRACE-005,prd/05-features/F08-cancellation-deadlines.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-061,F08,D008,UJ-08|UJ-05,NFR-LIFE-004|NFR-REL-005|NFR-RES-001|NFR-TRACE-005,prd/05-features/F08-cancellation-deadlines.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-062,F08,D008,UJ-08|UJ-05,NFR-LIFE-004|NFR-REL-005|NFR-RES-001|NFR-TRACE-005,prd/05-features/F08-cancellation-deadlines.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-063,F08,D008,UJ-08|UJ-05,NFR-LIFE-004|NFR-REL-005|NFR-RES-001|NFR-TRACE-005,prd/05-features/F08-cancellation-deadlines.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-064,F08,D008,UJ-08|UJ-05,NFR-LIFE-004|NFR-REL-005|NFR-RES-001|NFR-TRACE-005,prd/05-features/F08-cancellation-deadlines.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-065,F09,D009,UJ-10|UJ-14,NFR-CONTRACT-003|NFR-REL-005|NFR-RES-002|NFR-OBS-002,prd/05-features/F09-failure-taxonomy.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-066,F09,D009,UJ-10|UJ-14,NFR-CONTRACT-003|NFR-REL-005|NFR-RES-002|NFR-OBS-002,prd/05-features/F09-failure-taxonomy.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-067,F09,D009,UJ-10|UJ-14,NFR-CONTRACT-003|NFR-REL-005|NFR-RES-002|NFR-OBS-002,prd/05-features/F09-failure-taxonomy.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-068,F09,D009,UJ-10|UJ-14,NFR-CONTRACT-003|NFR-REL-005|NFR-RES-002|NFR-OBS-002,prd/05-features/F09-failure-taxonomy.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-069,F09,D009,UJ-10|UJ-14,NFR-CONTRACT-003|NFR-REL-005|NFR-RES-002|NFR-OBS-002,prd/05-features/F09-failure-taxonomy.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-070,F09,D009,UJ-10|UJ-14,NFR-CONTRACT-003|NFR-REL-005|NFR-RES-002|NFR-OBS-002,prd/05-features/F09-failure-taxonomy.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-071,F09,D009,UJ-10|UJ-14,NFR-CONTRACT-003|NFR-REL-005|NFR-RES-002|NFR-OBS-002,prd/05-features/F09-failure-taxonomy.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-072,F09,D009,UJ-10|UJ-14,NFR-CONTRACT-003|NFR-REL-005|NFR-RES-002|NFR-OBS-002,prd/05-features/F09-failure-taxonomy.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-073,F10,D010,UJ-09|UJ-04|UJ-12,NFR-CONTRACT-004|NFR-LIFE-005|NFR-REL-005|NFR-DATA-001,prd/05-features/F10-delegation-sets.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-074,F10,D010,UJ-09|UJ-04|UJ-12,NFR-CONTRACT-004|NFR-LIFE-005|NFR-REL-005|NFR-DATA-001,prd/05-features/F10-delegation-sets.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-075,F10,D010,UJ-09|UJ-04|UJ-12,NFR-CONTRACT-004|NFR-LIFE-005|NFR-REL-005|NFR-DATA-001,prd/05-features/F10-delegation-sets.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-076,F10,D010,UJ-09|UJ-04|UJ-12,NFR-CONTRACT-004|NFR-LIFE-005|NFR-REL-005|NFR-DATA-001,prd/05-features/F10-delegation-sets.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-077,F10,D010,UJ-09|UJ-04|UJ-12,NFR-CONTRACT-004|NFR-LIFE-005|NFR-REL-005|NFR-DATA-001,prd/05-features/F10-delegation-sets.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-078,F10,D010,UJ-09|UJ-04|UJ-12,NFR-CONTRACT-004|NFR-LIFE-005|NFR-REL-005|NFR-DATA-001,prd/05-features/F10-delegation-sets.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-079,F10,D010,UJ-09|UJ-04|UJ-12,NFR-CONTRACT-004|NFR-LIFE-005|NFR-REL-005|NFR-DATA-001,prd/05-features/F10-delegation-sets.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-080,F10,D010,UJ-09|UJ-04|UJ-12,NFR-CONTRACT-004|NFR-LIFE-005|NFR-REL-005|NFR-DATA-001,prd/05-features/F10-delegation-sets.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-081,F11,D011,UJ-02|UJ-11|UJ-14,NFR-COMPAT-001|NFR-CONTRACT-005|NFR-REL-005|NFR-GOV-004,prd/05-features/F11-compatibility-migration.md,compatibility_and_migration,delegation_audit_receipt|control_tower_event
FR-082,F11,D011,UJ-02|UJ-11|UJ-14,NFR-COMPAT-001|NFR-CONTRACT-005|NFR-REL-005|NFR-GOV-004,prd/05-features/F11-compatibility-migration.md,compatibility_and_migration,delegation_audit_receipt|control_tower_event
FR-083,F11,D011,UJ-02|UJ-11|UJ-14,NFR-COMPAT-001|NFR-CONTRACT-005|NFR-REL-005|NFR-GOV-004,prd/05-features/F11-compatibility-migration.md,compatibility_and_migration,delegation_audit_receipt|control_tower_event
FR-084,F11,D011,UJ-02|UJ-11|UJ-14,NFR-COMPAT-001|NFR-CONTRACT-005|NFR-REL-005|NFR-GOV-004,prd/05-features/F11-compatibility-migration.md,compatibility_and_migration,delegation_audit_receipt|control_tower_event
FR-085,F11,D011,UJ-02|UJ-11|UJ-14,NFR-COMPAT-001|NFR-CONTRACT-005|NFR-REL-005|NFR-GOV-004,prd/05-features/F11-compatibility-migration.md,compatibility_and_migration,delegation_audit_receipt|control_tower_event
FR-086,F11,D011,UJ-02|UJ-11|UJ-14,NFR-COMPAT-001|NFR-CONTRACT-005|NFR-REL-005|NFR-GOV-004,prd/05-features/F11-compatibility-migration.md,compatibility_and_migration,delegation_audit_receipt|control_tower_event
FR-087,F11,D011,UJ-02|UJ-11|UJ-14,NFR-COMPAT-001|NFR-CONTRACT-005|NFR-REL-005|NFR-GOV-004,prd/05-features/F11-compatibility-migration.md,compatibility_and_migration,delegation_audit_receipt|control_tower_event
FR-088,F11,D011,UJ-02|UJ-11|UJ-14,NFR-COMPAT-001|NFR-CONTRACT-005|NFR-REL-005|NFR-GOV-004,prd/05-features/F11-compatibility-migration.md,compatibility_and_migration,delegation_audit_receipt|control_tower_event
FR-089,F12,D012,UJ-06|UJ-07|UJ-05,NFR-AUTH-004|NFR-CONTRACT-005|NFR-TRACE-005|NFR-GOV-005,prd/05-features/F12-amendment-protocol.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-090,F12,D012,UJ-06|UJ-07|UJ-05,NFR-AUTH-004|NFR-CONTRACT-005|NFR-TRACE-005|NFR-GOV-005,prd/05-features/F12-amendment-protocol.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-091,F12,D012,UJ-06|UJ-07|UJ-05,NFR-AUTH-004|NFR-CONTRACT-005|NFR-TRACE-005|NFR-GOV-005,prd/05-features/F12-amendment-protocol.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-092,F12,D012,UJ-06|UJ-07|UJ-05,NFR-AUTH-004|NFR-CONTRACT-005|NFR-TRACE-005|NFR-GOV-005,prd/05-features/F12-amendment-protocol.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-093,F12,D012,UJ-06|UJ-07|UJ-05,NFR-AUTH-004|NFR-CONTRACT-005|NFR-TRACE-005|NFR-GOV-005,prd/05-features/F12-amendment-protocol.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-094,F12,D012,UJ-06|UJ-07|UJ-05,NFR-AUTH-004|NFR-CONTRACT-005|NFR-TRACE-005|NFR-GOV-005,prd/05-features/F12-amendment-protocol.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-095,F12,D012,UJ-06|UJ-07|UJ-05,NFR-AUTH-004|NFR-CONTRACT-005|NFR-TRACE-005|NFR-GOV-005,prd/05-features/F12-amendment-protocol.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-096,F12,D012,UJ-06|UJ-07|UJ-05,NFR-AUTH-004|NFR-CONTRACT-005|NFR-TRACE-005|NFR-GOV-005,prd/05-features/F12-amendment-protocol.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-097,F13,D013,UJ-12|UJ-04|UJ-14,NFR-LIFE-005|NFR-DATA-002|NFR-TRACE-005|NFR-REL-005,prd/05-features/F13-post-completion-governance.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-098,F13,D013,UJ-12|UJ-04|UJ-14,NFR-LIFE-005|NFR-DATA-002|NFR-TRACE-005|NFR-REL-005,prd/05-features/F13-post-completion-governance.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-099,F13,D013,UJ-12|UJ-04|UJ-14,NFR-LIFE-005|NFR-DATA-002|NFR-TRACE-005|NFR-REL-005,prd/05-features/F13-post-completion-governance.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-100,F13,D013,UJ-12|UJ-04|UJ-14,NFR-LIFE-005|NFR-DATA-002|NFR-TRACE-005|NFR-REL-005,prd/05-features/F13-post-completion-governance.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-101,F13,D013,UJ-12|UJ-04|UJ-14,NFR-LIFE-005|NFR-DATA-002|NFR-TRACE-005|NFR-REL-005,prd/05-features/F13-post-completion-governance.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-102,F13,D013,UJ-12|UJ-04|UJ-14,NFR-LIFE-005|NFR-DATA-002|NFR-TRACE-005|NFR-REL-005,prd/05-features/F13-post-completion-governance.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-103,F13,D013,UJ-12|UJ-04|UJ-14,NFR-LIFE-005|NFR-DATA-002|NFR-TRACE-005|NFR-REL-005,prd/05-features/F13-post-completion-governance.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-104,F13,D013,UJ-12|UJ-04|UJ-14,NFR-LIFE-005|NFR-DATA-002|NFR-TRACE-005|NFR-REL-005,prd/05-features/F13-post-completion-governance.md,lifecycle_and_integration,delegation_audit_receipt|control_tower_event
FR-105,F14,D014,UJ-13|UJ-01|UJ-14,NFR-SEC-001|NFR-SEC-003|NFR-TRACE-005|NFR-DATA-003,prd/05-features/F14-trust-integrity.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-106,F14,D014,UJ-13|UJ-01|UJ-14,NFR-SEC-001|NFR-SEC-003|NFR-TRACE-005|NFR-DATA-003,prd/05-features/F14-trust-integrity.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-107,F14,D014,UJ-13|UJ-01|UJ-14,NFR-SEC-001|NFR-SEC-003|NFR-TRACE-005|NFR-DATA-003,prd/05-features/F14-trust-integrity.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-108,F14,D014,UJ-13|UJ-01|UJ-14,NFR-SEC-001|NFR-SEC-003|NFR-TRACE-005|NFR-DATA-003,prd/05-features/F14-trust-integrity.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-109,F14,D014,UJ-13|UJ-01|UJ-14,NFR-SEC-001|NFR-SEC-003|NFR-TRACE-005|NFR-DATA-003,prd/05-features/F14-trust-integrity.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-110,F14,D014,UJ-13|UJ-01|UJ-14,NFR-SEC-001|NFR-SEC-003|NFR-TRACE-005|NFR-DATA-003,prd/05-features/F14-trust-integrity.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-111,F14,D014,UJ-13|UJ-01|UJ-14,NFR-SEC-001|NFR-SEC-003|NFR-TRACE-005|NFR-DATA-003,prd/05-features/F14-trust-integrity.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-112,F14,D014,UJ-13|UJ-01|UJ-14,NFR-SEC-001|NFR-SEC-003|NFR-TRACE-005|NFR-DATA-003,prd/05-features/F14-trust-integrity.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-113,F15,D015,UJ-14|UJ-02|UJ-10|UJ-13,NFR-OBS-001|NFR-PERF-002|NFR-RES-003|NFR-GOV-006,prd/05-features/F15-observability-conformance.md,conformance_and_resilience,delegation_audit_receipt|control_tower_event
FR-114,F15,D015,UJ-14|UJ-02|UJ-10|UJ-13,NFR-OBS-001|NFR-PERF-002|NFR-RES-003|NFR-GOV-006,prd/05-features/F15-observability-conformance.md,conformance_and_resilience,delegation_audit_receipt|control_tower_event
FR-115,F15,D015,UJ-14|UJ-02|UJ-10|UJ-13,NFR-OBS-001|NFR-PERF-002|NFR-RES-003|NFR-GOV-006,prd/05-features/F15-observability-conformance.md,conformance_and_resilience,delegation_audit_receipt|control_tower_event
FR-116,F15,D015,UJ-14|UJ-02|UJ-10|UJ-13,NFR-OBS-001|NFR-PERF-002|NFR-RES-003|NFR-GOV-006,prd/05-features/F15-observability-conformance.md,conformance_and_resilience,delegation_audit_receipt|control_tower_event
