fr_id,feature_id,feature_title,title,owning_product,primary_story_id,primary_tech_spec_id,requirement,trigger_preconditions,required_output_transition,invariants,positive_given,positive_when,positive_then,adversarial_given,adversarial_then,required_evidence,downstream_consumer,downstream_failure,decision_ref,source_refs,lifecycle
AIR-FR-034,F06,Archetype Coalition and Psychological Role Inside a Tension,Compile bounded multi-archetype coalitions,Activative Intelligence Runtime,AIR-ST-06.02,TS-AIR-006,"When more than one archetype is used, the Runtime shall declare primary, supporting, transition, and excluded archetypes and prevent geometry conflict or centroid blending.",A validated Edge Product and current activation domain are available.,"The program has an eligible archetype coalition, explicit viewer or participant role, tension, SDA/SFL route, and operator-reviewable geometry.",Archetypes never replace source truth. | The viewer role and tension are explicit before composition. | Archetype coalitions are source- and format-dependent. | One archetype may lead while others support; unbounded hybridization is rejected.,A validated Edge Product and current activation domain are available.,the Runtime performs **compile bounded multi-archetype coalitions** under the active feature contract,"When more than one archetype is used, the Runtime shall declare primary, supporting, transition, and excluded archetypes and prevent geometry conflict or centroid blending, and the resulting state is eligible for the feature terminal condition: The program has an eligible archetype coalition, explicit viewer or participant role, tension, SDA/SFL route, and operator-reviewable geometry.","a proposed Primitive is unresolved to its exact YAML, conflicts with another binding, or has an unaddressed misuse mode",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity | exact Primitive YAML hashes, bindings, compatibility decisions, misuse risks, Coalition Signature, and Primitive Evaluation Receipt | psychological role, tension, archetype coalition, Guest Voice DNA lineage, Final Script approval, and rejection alternatives",F07,"the viewer receives information but no role, tension, or participation position, so the asset remains descriptive rather than activative",AIR-D011,SRC-ARCH-001 | SRC-ARCH-002 | SRC-SDA-001 | SRC-SFL-001 | SRC-AHP-F28-001,NEW_V2_1_OR_DEEPENED
AIR-FR-035,F06,Archetype Coalition and Psychological Role Inside a Tension,Bind SDA and SFL references,Activative Intelligence Runtime,AIR-ST-06.03,TS-AIR-006,The archetype program shall resolve the applicable Story Design Archetype and Story Function Layer references required to preserve narrative function and derivative routing.,A validated Edge Product and current activation domain are available.,"The program has an eligible archetype coalition, explicit viewer or participant role, tension, SDA/SFL route, and operator-reviewable geometry.",Archetypes never replace source truth. | The viewer role and tension are explicit before composition. | Archetype coalitions are source- and format-dependent. | One archetype may lead while others support; unbounded hybridization is rejected.,A validated Edge Product and current activation domain are available.,the Runtime performs **bind sda and sfl references** under the active feature contract,"The archetype program shall resolve the applicable Story Design Archetype and Story Function Layer references required to preserve narrative function and derivative routing, and the resulting state is eligible for the feature terminal condition: The program has an eligible archetype coalition, explicit viewer or participant role, tension, SDA/SFL route, and operator-reviewable geometry.","the input is stale, contradictory, unresolved, or cannot support the claimed state transition",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F07,"the viewer receives information but no role, tension, or participation position, so the asset remains descriptive rather than activative",AIR-D011,SRC-ARCH-001 | SRC-ARCH-002 | SRC-SDA-001 | SRC-SFL-001 | SRC-AHP-F28-001,NEW_V2_1_OR_DEEPENED
AIR-FR-036,F06,Archetype Coalition and Psychological Role Inside a Tension,Issue an Archetype Route Receipt,Activative Intelligence Runtime,AIR-ST-06.03,TS-AIR-006,"The accepted route shall record Edge Product fit, role/tension contract, coalition structure, alternatives rejected, source lineage, and approval state.",A validated Edge Product and current activation domain are available.,"The program has an eligible archetype coalition, explicit viewer or participant role, tension, SDA/SFL route, and operator-reviewable geometry.",Archetypes never replace source truth. | The viewer role and tension are explicit before composition. | Archetype coalitions are source- and format-dependent. | One archetype may lead while others support; unbounded hybridization is rejected.,A validated Edge Product and current activation domain are available.,the Runtime performs **issue an archetype route receipt** under the active feature contract,"The accepted route shall record Edge Product fit, role/tension contract, coalition structure, alternatives rejected, source lineage, and approval state, and the resulting state is eligible for the feature terminal condition: The program has an eligible archetype coalition, explicit viewer or participant role, tension, SDA/SFL route, and operator-reviewable geometry.",the candidate archetype communicates a topic but does not position the audience inside the approved role and tension,typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity | psychological role, tension, archetype coalition, Guest Voice DNA lineage, Final Script approval, and rejection alternatives",F07,"the viewer receives information but no role, tension, or participation position, so the asset remains descriptive rather than activative",AIR-D011,SRC-ARCH-001 | SRC-ARCH-002 | SRC-SDA-001 | SRC-SFL-001 | SRC-AHP-F28-001,NEW_V2_1_OR_DEEPENED
AIR-FR-037,F07,"Brand Genesis, Voice DNA, Visual DNA, and Distillation Layers",Require an active Brand Context Version,Activative Intelligence Runtime,AIR-ST-07.01,TS-AIR-007,"Every brand-bearing source, script, or visual program shall reference the active Brand Context Version and its originating Brand Genesis Session.","A source-backed expression, coalition, and archetype route require translation into a script or visual program.","The translated program has active brand references, a traceable distillation path, controlled variation, Voice/Visual DNA conformance, and anti-centroid evidence.","Voice DNA is applied, not imitated generically. | Visual DNA is distinct from provider style prompts. | Distillation cannot erase the Edge Product. | Negative Space performs a function and cannot be treated as leftover room.","A source-backed expression, coalition, and archetype route require translation into a script or visual program.",the Runtime performs **require an active brand context version** under the active feature contract,"Every brand-bearing source, script, or visual program shall reference the active Brand Context Version and its originating Brand Genesis Session, and the resulting state is eligible for the feature terminal condition: The translated program has active brand references, a traceable distillation path, controlled variation, Voice/Visual DNA conformance, and anti-centroid evidence.","the active Brand Context, Voice DNA, Visual DNA, or Final Script version does not match the one authorized for the derivative",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F08,the output sounds and looks like a generic high-performing content centroid rather than the guest’s credible world,AIR-D012,SRC-BRAND-001 | SRC-RSCS-001 | SRC-CCV-001 | SRC-AHP-F30-001,NEW_V2_1_OR_DEEPENED
AIR-FR-038,F07,"Brand Genesis, Voice DNA, Visual DNA, and Distillation Layers",Apply Guest Voice DNA to text generation,Activative Intelligence Runtime,AIR-ST-07.01,TS-AIR-007,"Writers and composers shall use Voice DNA to preserve cadence, vocabulary, stance, rhetorical movement, and credible emotional range while retaining transformation lineage.","A source-backed expression, coalition, and archetype route require translation into a script or visual program.","The translated program has active brand references, a traceable distillation path, controlled variation, Voice/Visual DNA conformance, and anti-centroid evidence.","Voice DNA is applied, not imitated generically. | Visual DNA is distinct from provider style prompts. | Distillation cannot erase the Edge Product. | Negative Space performs a function and cannot be treated as leftover room.","A source-backed expression, coalition, and archetype route require translation into a script or visual program.",the Runtime performs **apply guest voice dna to text generation** under the active feature contract,"Writers and composers shall use Voice DNA to preserve cadence, vocabulary, stance, rhetorical movement, and credible emotional range while retaining transformation lineage, and the resulting state is eligible for the feature terminal condition: The translated program has active brand references, a traceable distillation path, controlled variation, Voice/Visual DNA conformance, and anti-centroid evidence.","the active Brand Context, Voice DNA, Visual DNA, or Final Script version does not match the one authorized for the derivative",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F08,the output sounds and looks like a generic high-performing content centroid rather than the guest’s credible world,AIR-D012,SRC-BRAND-001 | SRC-RSCS-001 | SRC-CCV-001 | SRC-AHP-F30-001,NEW_V2_1_OR_DEEPENED
AIR-FR-039,F07,"Brand Genesis, Voice DNA, Visual DNA, and Distillation Layers",Apply Visual DNA to visual activation programs,Activative Intelligence Runtime,AIR-ST-07.02,TS-AIR-007,"Visual programs shall bind Visual DNA tokens, recurring operators, exclusions, reference families, and composition tendencies without allowing Visual DNA to override the current role and tension.","A source-backed expression, coalition, and archetype route require translation into a script or visual program.","The translated program has active brand references, a traceable distillation path, controlled variation, Voice/Visual DNA conformance, and anti-centroid evidence.","Voice DNA is applied, not imitated generically. | Visual DNA is distinct from provider style prompts. | Distillation cannot erase the Edge Product. | Negative Space performs a function and cannot be treated as leftover room.","A source-backed expression, coalition, and archetype route require translation into a script or visual program.",the Runtime performs **apply visual dna to visual activation programs** under the active feature contract,"Visual programs shall bind Visual DNA tokens, recurring operators, exclusions, reference families, and composition tendencies without allowing Visual DNA to override the current role and tension, and the resulting state is eligible for the feature terminal condition: The translated program has active brand references, a traceable distillation path, controlled variation, Voice/Visual DNA conformance, and anti-centroid evidence.","the active Brand Context, Voice DNA, Visual DNA, or Final Script version does not match the one authorized for the derivative",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity | Activation Transfer Contract, source-fidelity trace, composition program, render or preview evidence, and independent reparse",F08,the output sounds and looks like a generic high-performing content centroid rather than the guest’s credible world,AIR-D012,SRC-BRAND-001 | SRC-RSCS-001 | SRC-CCV-001 | SRC-AHP-F30-001,NEW_V2_1_OR_DEEPENED
AIR-FR-040,F07,"Brand Genesis, Voice DNA, Visual DNA, and Distillation Layers",Record RSCS Distillation Layers,Activative Intelligence Runtime,AIR-ST-07.02,TS-AIR-007,"Every transformed script or semantic program shall record the sequence of signal extraction, compression, simplification, and re-expression used to preserve the Edge Product.","A source-backed expression, coalition, and archetype route require translation into a script or visual program.","The translated program has active brand references, a traceable distillation path, controlled variation, Voice/Visual DNA conformance, and anti-centroid evidence.","Voice DNA is applied, not imitated generically. | Visual DNA is distinct from provider style prompts. | Distillation cannot erase the Edge Product. | Negative Space performs a function and cannot be treated as leftover room.","A source-backed expression, coalition, and archetype route require translation into a script or visual program.",the Runtime performs **record rscs distillation layers** under the active feature contract,"Every transformed script or semantic program shall record the sequence of signal extraction, compression, simplification, and re-expression used to preserve the Edge Product, and the resulting state is eligible for the feature terminal condition: The translated program has active brand references, a traceable distillation path, controlled variation, Voice/Visual DNA conformance, and anti-centroid evidence.","the input is stale, contradictory, unresolved, or cannot support the claimed state transition",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F08,the output sounds and looks like a generic high-performing content centroid rather than the guest’s credible world,AIR-D012,SRC-BRAND-001 | SRC-RSCS-001 | SRC-CCV-001 | SRC-AHP-F30-001,NEW_V2_1_OR_DEEPENED
AIR-FR-041,F07,"Brand Genesis, Voice DNA, Visual DNA, and Distillation Layers",Use CCV for controlled variation,Activative Intelligence Runtime,AIR-ST-07.03,TS-AIR-007,"Variation shall occur within declared combinatorial dimensions and preserve source fidelity, coalition function, archetype geometry, and brand identity rather than producing unconstrained alternatives.","A source-backed expression, coalition, and archetype route require translation into a script or visual program.","The translated program has active brand references, a traceable distillation path, controlled variation, Voice/Visual DNA conformance, and anti-centroid evidence.","Voice DNA is applied, not imitated generically. | Visual DNA is distinct from provider style prompts. | Distillation cannot erase the Edge Product. | Negative Space performs a function and cannot be treated as leftover room.","A source-backed expression, coalition, and archetype route require translation into a script or visual program.",the Runtime performs **use ccv for controlled variation** under the active feature contract,"Variation shall occur within declared combinatorial dimensions and preserve source fidelity, coalition function, archetype geometry, and brand identity rather than producing unconstrained alternatives, and the resulting state is eligible for the feature terminal condition: The translated program has active brand references, a traceable distillation path, controlled variation, Voice/Visual DNA conformance, and anti-centroid evidence.","the input is stale, contradictory, unresolved, or cannot support the claimed state transition",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F08,the output sounds and looks like a generic high-performing content centroid rather than the guest’s credible world,AIR-D012,SRC-BRAND-001 | SRC-RSCS-001 | SRC-CCV-001 | SRC-AHP-F30-001,NEW_V2_1_OR_DEEPENED
AIR-FR-042,F07,"Brand Genesis, Voice DNA, Visual DNA, and Distillation Layers",Evaluate Negative Space and Edge Integrity,Activative Intelligence Runtime,AIR-ST-07.03,TS-AIR-007,Independent evaluation shall verify that negative space performs its intended attention or participation function and that the result has not converged toward a generic centroid.,"A source-backed expression, coalition, and archetype route require translation into a script or visual program.","The translated program has active brand references, a traceable distillation path, controlled variation, Voice/Visual DNA conformance, and anti-centroid evidence.","Voice DNA is applied, not imitated generically. | Visual DNA is distinct from provider style prompts. | Distillation cannot erase the Edge Product. | Negative Space performs a function and cannot be treated as leftover room.","A source-backed expression, coalition, and archetype route require translation into a script or visual program.",the Runtime performs **evaluate negative space and edge integrity** under the active feature contract,"Independent evaluation shall verify that negative space performs its intended attention or participation function and that the result has not converged toward a generic centroid, and the resulting state is eligible for the feature terminal condition: The translated program has active brand references, a traceable distillation path, controlled variation, Voice/Visual DNA conformance, and anti-centroid evidence.","the input is stale, contradictory, unresolved, or cannot support the claimed state transition",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F08,the output sounds and looks like a generic high-performing content centroid rather than the guest’s credible world,AIR-D012,SRC-BRAND-001 | SRC-RSCS-001 | SRC-CCV-001 | SRC-AHP-F30-001,NEW_V2_1_OR_DEEPENED
AIR-FR-043,F08,Planned Activative Intelligence and Interview Asset Contracts,Compile a Planned Activative Intelligence Pack,Activative Intelligence Runtime,AIR-ST-08.01,TS-AIR-008,"The Runtime shall compile the selected hypothesis, broad signal, intended state transitions, roles, pressures, directions, coalition, archetype hypotheses, evidence expectations, and limitations into a versioned Planned AIP.",A selected source-activation hypothesis and interview objective exist.,"A validated Planned AIP and one or more Interview Asset Contracts are armed for live execution with explicit states, anchors, branches, dose, and landing rules.",A question is not the atomic unit. | Planned tags remain planned. | The contract names the desired asset and expression state. | The contract cannot force the guest to confirm a premise.,A selected source-activation hypothesis and interview objective exist.,the Runtime performs **compile a planned activative intelligence pack** under the active feature contract,"The Runtime shall compile the selected hypothesis, broad signal, intended state transitions, roles, pressures, directions, coalition, archetype hypotheses, evidence expectations, and limitations into a versioned Planned AIP, and the resulting state is eligible for the feature terminal condition: A validated Planned AIP and one or more Interview Asset Contracts are armed for live execution with explicit states, anchors, branches, dose, and landing rules.","a planned, inferred, rejected, or superseded field is presented without its exact epistemic state",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F09,"the interviewer has no state-aware branch when the guest partially lands, resists, or reveals an unexpected edge",AIR-D013,SRC-INT-001 | SRC-INT-002 | SRC-MOE-001 | SRC-AI2-CONTRACT-001,NEW_V2_1_OR_DEEPENED
AIR-FR-044,F08,Planned Activative Intelligence and Interview Asset Contracts,Use the Interview Asset Contract as the atomic source-activation unit,Activative Intelligence Runtime,AIR-ST-08.01,TS-AIR-008,"Every intended interview asset shall have a contract that defines the desired expression, source premise, edge pressure, anchors, question program, branches, landing, and route hypotheses.",A selected source-activation hypothesis and interview objective exist.,"A validated Planned AIP and one or more Interview Asset Contracts are armed for live execution with explicit states, anchors, branches, dose, and landing rules.",A question is not the atomic unit. | Planned tags remain planned. | The contract names the desired asset and expression state. | The contract cannot force the guest to confirm a premise.,A selected source-activation hypothesis and interview objective exist.,the Runtime performs **use the interview asset contract as the atomic source-activation unit** under the active feature contract,"Every intended interview asset shall have a contract that defines the desired expression, source premise, edge pressure, anchors, question program, branches, landing, and route hypotheses, and the resulting state is eligible for the feature terminal condition: A validated Planned AIP and one or more Interview Asset Contracts are armed for live execution with explicit states, anchors, branches, dose, and landing rules.","the supplied source reference is missing, stale, points to another version, or omits the evidence span needed to support the claim",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity | source spans, word/phrase timing, speakers, audio/visual observations, planned–observed delta, and expression decision",F09,"the interviewer has no state-aware branch when the guest partially lands, resists, or reveals an unexpected edge",AIR-D013,SRC-INT-001 | SRC-INT-002 | SRC-MOE-001 | SRC-AI2-CONTRACT-001,NEW_V2_1_OR_DEEPENED
AIR-FR-045,F08,Planned Activative Intelligence and Interview Asset Contracts,Declare current and target expression states,Activative Intelligence Runtime,AIR-ST-08.02,TS-AIR-008,"The contract shall name the expression state expected at entry, the target state, observable transition signals, and conditions that make the target inappropriate.",A selected source-activation hypothesis and interview objective exist.,"A validated Planned AIP and one or more Interview Asset Contracts are armed for live execution with explicit states, anchors, branches, dose, and landing rules.",A question is not the atomic unit. | Planned tags remain planned. | The contract names the desired asset and expression state. | The contract cannot force the guest to confirm a premise.,A selected source-activation hypothesis and interview objective exist.,the Runtime performs **declare current and target expression states** under the active feature contract,"The contract shall name the expression state expected at entry, the target state, observable transition signals, and conditions that make the target inappropriate, and the resulting state is eligible for the feature terminal condition: A validated Planned AIP and one or more Interview Asset Contracts are armed for live execution with explicit states, anchors, branches, dose, and landing rules.","the input is stale, contradictory, unresolved, or cannot support the claimed state transition",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F09,"the interviewer has no state-aware branch when the guest partially lands, resists, or reveals an unexpected edge",AIR-D013,SRC-INT-001 | SRC-INT-002 | SRC-MOE-001 | SRC-AI2-CONTRACT-001,NEW_V2_1_OR_DEEPENED
AIR-FR-046,F08,Planned Activative Intelligence and Interview Asset Contracts,Define First-Line and Depth Anchors,Activative Intelligence Runtime,AIR-ST-08.02,TS-AIR-008,The contract shall specify the opening anchor that exposes the premise and the depth anchor that moves from a competent answer toward lived expression.,A selected source-activation hypothesis and interview objective exist.,"A validated Planned AIP and one or more Interview Asset Contracts are armed for live execution with explicit states, anchors, branches, dose, and landing rules.",A question is not the atomic unit. | Planned tags remain planned. | The contract names the desired asset and expression state. | The contract cannot force the guest to confirm a premise.,A selected source-activation hypothesis and interview objective exist.,the Runtime performs **define first-line and depth anchors** under the active feature contract,"The contract shall specify the opening anchor that exposes the premise and the depth anchor that moves from a competent answer toward lived expression, and the resulting state is eligible for the feature terminal condition: A validated Planned AIP and one or more Interview Asset Contracts are armed for live execution with explicit states, anchors, branches, dose, and landing rules.","the observation evidence is incomplete, the guest state contradicts the prepared path, or the proposed call exceeds the declared pressure policy",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F09,"the interviewer has no state-aware branch when the guest partially lands, resists, or reveals an unexpected edge",AIR-D013,SRC-INT-001 | SRC-INT-002 | SRC-MOE-001 | SRC-AI2-CONTRACT-001,NEW_V2_1_OR_DEEPENED
AIR-FR-047,F08,Planned Activative Intelligence and Interview Asset Contracts,"Compile adaptive branches, pressure dose, and affinity reset",Activative Intelligence Runtime,AIR-ST-08.03,TS-AIR-008,"The contract shall include bounded follow-ups for anchor hit, partial hit, defense, topic escape, contradiction, overload, and relational reset.",A selected source-activation hypothesis and interview objective exist.,"A validated Planned AIP and one or more Interview Asset Contracts are armed for live execution with explicit states, anchors, branches, dose, and landing rules.",A question is not the atomic unit. | Planned tags remain planned. | The contract names the desired asset and expression state. | The contract cannot force the guest to confirm a premise.,A selected source-activation hypothesis and interview objective exist.,"the Runtime performs **compile adaptive branches, pressure dose, and affinity reset** under the active feature contract","The contract shall include bounded follow-ups for anchor hit, partial hit, defense, topic escape, contradiction, overload, and relational reset, and the resulting state is eligible for the feature terminal condition: A validated Planned AIP and one or more Interview Asset Contracts are armed for live execution with explicit states, anchors, branches, dose, and landing rules.","the observation evidence is incomplete, the guest state contradicts the prepared path, or the proposed call exceeds the declared pressure policy",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F09,"the interviewer has no state-aware branch when the guest partially lands, resists, or reveals an unexpected edge",AIR-D013,SRC-INT-001 | SRC-INT-002 | SRC-MOE-001 | SRC-AI2-CONTRACT-001,NEW_V2_1_OR_DEEPENED
AIR-FR-048,F08,Planned Activative Intelligence and Interview Asset Contracts,Define landing and derivative route hypotheses,Activative Intelligence Runtime,AIR-ST-08.03,TS-AIR-008,"The contract shall state what counts as a landed answer, when to stop, which asset routes become eligible, and which planned routes must remain unconfirmed until observed evidence exists.",A selected source-activation hypothesis and interview objective exist.,"A validated Planned AIP and one or more Interview Asset Contracts are armed for live execution with explicit states, anchors, branches, dose, and landing rules.",A question is not the atomic unit. | Planned tags remain planned. | The contract names the desired asset and expression state. | The contract cannot force the guest to confirm a premise.,A selected source-activation hypothesis and interview objective exist.,the Runtime performs **define landing and derivative route hypotheses** under the active feature contract,"The contract shall state what counts as a landed answer, when to stop, which asset routes become eligible, and which planned routes must remain unconfirmed until observed evidence exists, and the resulting state is eligible for the feature terminal condition: A validated Planned AIP and one or more Interview Asset Contracts are armed for live execution with explicit states, anchors, branches, dose, and landing rules.","the input is stale, contradictory, unresolved, or cannot support the claimed state transition",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F09,"the interviewer has no state-aware branch when the guest partially lands, resists, or reveals an unexpected edge",AIR-D013,SRC-INT-001 | SRC-INT-002 | SRC-MOE-001 | SRC-AI2-CONTRACT-001,NEW_V2_1_OR_DEEPENED
AIR-FR-049,F09,Live Narrative State Induction and Interviewer Resonance,Maintain the Live Activative State,Activative Intelligence Runtime,AIR-ST-09.01,TS-AIR-009,"The Runtime shall update current expression state, target distance, anchor status, observed signals, pressure history, relationship condition, and available next actions after each meaningful event.",An armed Interview Asset Contract enters a live or simulated source-activation session.,"Each call and state transition is recorded; the session lands, resets, or stops with a truthful explanation and no fabricated reaction.","The interviewer remains a real participant, not a neutral API. | The Runtime proposes; human delivery and judgment remain attributable. | Pressure is calibrated, not maximized. | No next call may ignore a detected defense or overload state.",An armed Interview Asset Contract enters a live or simulated source-activation session.,the Runtime performs **maintain the live activative state** under the active feature contract,"The Runtime shall update current expression state, target distance, anchor status, observed signals, pressure history, relationship condition, and available next actions after each meaningful event, and the resulting state is eligible for the feature terminal condition: Each call and state transition is recorded; the session lands, resets, or stops with a truthful explanation and no fabricated reaction.","the observation evidence is incomplete, the guest state contradicts the prepared path, or the proposed call exceeds the declared pressure policy",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F10,"pressure becomes performative or coercive, the guest closes, and the prepared path destroys the expression opportunity",AIR-D014,SRC-INT-001 | SRC-INT-002 | SRC-MOE-001 | SRC-AI2-LIVE-001,NEW_V2_1_OR_DEEPENED
AIR-FR-050,F09,Live Narrative State Induction and Interviewer Resonance,Represent real Interviewer Resonance,Activative Intelligence Runtime,AIR-ST-09.01,TS-AIR-009,"The live state shall preserve the interviewer’s genuine reaction, curiosity, recognition, uncertainty, or stake when it changes the next useful call.",An armed Interview Asset Contract enters a live or simulated source-activation session.,"Each call and state transition is recorded; the session lands, resets, or stops with a truthful explanation and no fabricated reaction.","The interviewer remains a real participant, not a neutral API. | The Runtime proposes; human delivery and judgment remain attributable. | Pressure is calibrated, not maximized. | No next call may ignore a detected defense or overload state.",An armed Interview Asset Contract enters a live or simulated source-activation session.,the Runtime performs **represent real interviewer resonance** under the active feature contract,"The live state shall preserve the interviewer’s genuine reaction, curiosity, recognition, uncertainty, or stake when it changes the next useful call, and the resulting state is eligible for the feature terminal condition: Each call and state transition is recorded; the session lands, resets, or stops with a truthful explanation and no fabricated reaction.","the input is stale, contradictory, unresolved, or cannot support the claimed state transition",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity | source spans, word/phrase timing, speakers, audio/visual observations, planned–observed delta, and expression decision",F10,"pressure becomes performative or coercive, the guest closes, and the prepared path destroys the expression opportunity",AIR-D014,SRC-INT-001 | SRC-INT-002 | SRC-MOE-001 | SRC-AI2-LIVE-001,NEW_V2_1_OR_DEEPENED
AIR-FR-051,F09,Live Narrative State Induction and Interviewer Resonance,Propose the smallest useful Activative Call,Activative Intelligence Runtime,AIR-ST-09.02,TS-AIR-009,"The Runtime shall propose a bounded next call linked to the active Interview Asset Contract, observed state, expected transition, and stopping law.",An armed Interview Asset Contract enters a live or simulated source-activation session.,"Each call and state transition is recorded; the session lands, resets, or stops with a truthful explanation and no fabricated reaction.","The interviewer remains a real participant, not a neutral API. | The Runtime proposes; human delivery and judgment remain attributable. | Pressure is calibrated, not maximized. | No next call may ignore a detected defense or overload state.",An armed Interview Asset Contract enters a live or simulated source-activation session.,the Runtime performs **propose the smallest useful activative call** under the active feature contract,"The Runtime shall propose a bounded next call linked to the active Interview Asset Contract, observed state, expected transition, and stopping law, and the resulting state is eligible for the feature terminal condition: Each call and state transition is recorded; the session lands, resets, or stops with a truthful explanation and no fabricated reaction.","the input is stale, contradictory, unresolved, or cannot support the claimed state transition",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F10,"pressure becomes performative or coercive, the guest closes, and the prepared path destroys the expression opportunity",AIR-D014,SRC-INT-001 | SRC-INT-002 | SRC-MOE-001 | SRC-AI2-LIVE-001,NEW_V2_1_OR_DEEPENED
AIR-FR-052,F09,Live Narrative State Induction and Interviewer Resonance,Calibrate pressure dose and distance from overload,Activative Intelligence Runtime,AIR-ST-09.02,TS-AIR-009,"Each call shall declare its pressure dose, expected gain, overload risk, and available relief or affinity-reset path.",An armed Interview Asset Contract enters a live or simulated source-activation session.,"Each call and state transition is recorded; the session lands, resets, or stops with a truthful explanation and no fabricated reaction.","The interviewer remains a real participant, not a neutral API. | The Runtime proposes; human delivery and judgment remain attributable. | Pressure is calibrated, not maximized. | No next call may ignore a detected defense or overload state.",An armed Interview Asset Contract enters a live or simulated source-activation session.,the Runtime performs **calibrate pressure dose and distance from overload** under the active feature contract,"Each call shall declare its pressure dose, expected gain, overload risk, and available relief or affinity-reset path, and the resulting state is eligible for the feature terminal condition: Each call and state transition is recorded; the session lands, resets, or stops with a truthful explanation and no fabricated reaction.","the observation evidence is incomplete, the guest state contradicts the prepared path, or the proposed call exceeds the declared pressure policy",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F10,"pressure becomes performative or coercive, the guest closes, and the prepared path destroys the expression opportunity",AIR-D014,SRC-INT-001 | SRC-INT-002 | SRC-MOE-001 | SRC-AI2-LIVE-001,NEW_V2_1_OR_DEEPENED
