story_id,story_title,epic_id,feature_id,primary_fr_id,primitive_id,downstream_story_or_handoff,cbar_mandate
AIR-ST-05.01,Compile a complete Primitive Coalition Contract,AIR-EP-04,F05,AIR-FR-026,PRM-PRS-002,AIR-ST-05.02,"Compile a complete Primitive Coalition Contract must preserve Tension-and-Release Narrative Engine's core move while denying the shortcut to treat a list of primitives as a coalition without binding, signature, edge, or misuse evaluation."
AIR-ST-05.02,Resolve Coalition Signature and Edge Product,AIR-EP-04,F05,AIR-FR-027,PRM-PRS-009,AIR-ST-05.03,"Resolve Coalition Signature and Edge Product must preserve The McKee Inciting Incident Engine's core move while denying the shortcut to treat a list of primitives as a coalition without binding, signature, edge, or misuse evaluation."
AIR-ST-05.02,Resolve Coalition Signature and Edge Product,AIR-EP-04,F05,AIR-FR-028,PRM-PRS-009,AIR-ST-05.03,"Resolve Coalition Signature and Edge Product must preserve The McKee Inciting Incident Engine's core move while denying the shortcut to treat a list of primitives as a coalition without binding, signature, edge, or misuse evaluation."
AIR-ST-05.03,Promote evidence into Steering Recipes and Primitive Evaluation Receipts,AIR-EP-04,F05,AIR-FR-029,PRM-PRS-015,AIR-ST-06.01,"Promote evidence into Steering Recipes and Primitive Evaluation Receipts must preserve The What Is / What Could Be Contrast Engine's core move while denying the shortcut to treat a list of primitives as a coalition without binding, signature, edge, or misuse evaluation."
AIR-ST-05.03,Promote evidence into Steering Recipes and Primitive Evaluation Receipts,AIR-EP-04,F05,AIR-FR-030,PRM-PRS-015,AIR-ST-06.01,"Promote evidence into Steering Recipes and Primitive Evaluation Receipts must preserve The What Is / What Could Be Contrast Engine's core move while denying the shortcut to treat a list of primitives as a coalition without binding, signature, edge, or misuse evaluation."
AIR-ST-06.01,Route the Edge Product into a supported archetype,AIR-EP-05,F06,AIR-FR-031,PRM-PSY-001,AIR-ST-06.02,Route the Edge Product into a supported archetype must preserve Matching Principle's core move while denying the shortcut to select an archetype because it is familiar or fashionable rather than because it gives the viewer the intended role inside the tension.
AIR-ST-06.01,Route the Edge Product into a supported archetype,AIR-EP-05,F06,AIR-FR-032,PRM-PSY-001,AIR-ST-06.02,Route the Edge Product into a supported archetype must preserve Matching Principle's core move while denying the shortcut to select an archetype because it is familiar or fashionable rather than because it gives the viewer the intended role inside the tension.
AIR-ST-06.02,Define the psychological role inside the tension,AIR-EP-05,F06,AIR-FR-033,PRM-PRS-002,AIR-ST-06.03,Define the psychological role inside the tension must preserve Tension-and-Release Narrative Engine's core move while denying the shortcut to select an archetype because it is familiar or fashionable rather than because it gives the viewer the intended role inside the tension.
AIR-ST-06.02,Define the psychological role inside the tension,AIR-EP-05,F06,AIR-FR-034,PRM-PRS-002,AIR-ST-06.03,Define the psychological role inside the tension must preserve Tension-and-Release Narrative Engine's core move while denying the shortcut to select an archetype because it is familiar or fashionable rather than because it gives the viewer the intended role inside the tension.
AIR-ST-06.03,Lock archetype coalition geometry and route evidence,AIR-EP-05,F06,AIR-FR-035,PRM-HUM-021,AIR-ST-07.01,Lock archetype coalition geometry and route evidence must preserve Irony Inversion's core move while denying the shortcut to select an archetype because it is familiar or fashionable rather than because it gives the viewer the intended role inside the tension.
AIR-ST-06.03,Lock archetype coalition geometry and route evidence,AIR-EP-05,F06,AIR-FR-036,PRM-HUM-021,AIR-ST-07.01,Lock archetype coalition geometry and route evidence must preserve Irony Inversion's core move while denying the shortcut to select an archetype because it is familiar or fashionable rather than because it gives the viewer the intended role inside the tension.
AIR-ST-07.01,"Lock active Brand Context, Voice DNA, and Visual DNA",AIR-EP-06,F07,AIR-FR-037,PRM-VOC-009,AIR-ST-07.02,"Lock active Brand Context, Voice DNA, and Visual DNA must preserve Sensory Scene Anchoring's core move while denying the shortcut to imitate surface style while omitting Brand Genesis, Voice DNA, Visual DNA, and distillation evidence."
AIR-ST-07.01,"Lock active Brand Context, Voice DNA, and Visual DNA",AIR-EP-06,F07,AIR-FR-038,PRM-VOC-009,AIR-ST-07.02,"Lock active Brand Context, Voice DNA, and Visual DNA must preserve Sensory Scene Anchoring's core move while denying the shortcut to imitate surface style while omitting Brand Genesis, Voice DNA, Visual DNA, and distillation evidence."
AIR-ST-07.02,Distill source signal through RSCS layers,AIR-EP-06,F07,AIR-FR-039,PRM-VSG-003,AIR-ST-07.03,"Distill source signal through RSCS layers must preserve Intent Governs Style's core move while denying the shortcut to imitate surface style while omitting Brand Genesis, Voice DNA, Visual DNA, and distillation evidence."
AIR-ST-07.02,Distill source signal through RSCS layers,AIR-EP-06,F07,AIR-FR-040,PRM-VSG-003,AIR-ST-07.03,"Distill source signal through RSCS layers must preserve Intent Governs Style's core move while denying the shortcut to imitate surface style while omitting Brand Genesis, Voice DNA, Visual DNA, and distillation evidence."
AIR-ST-07.03,Generate controlled variation while protecting Negative Space and Edge Integrity,AIR-EP-06,F07,AIR-FR-041,PRM-VSG-021,AIR-ST-08.01,"Generate controlled variation while protecting Negative Space and Edge Integrity must preserve Punctum, Air, and Felt Truth's core move while denying the shortcut to imitate surface style while omitting Brand Genesis, Voice DNA, Visual DNA, and distillation evidence."
AIR-ST-07.03,Generate controlled variation while protecting Negative Space and Edge Integrity,AIR-EP-06,F07,AIR-FR-042,PRM-VSG-021,AIR-ST-08.01,"Generate controlled variation while protecting Negative Space and Edge Integrity must preserve Punctum, Air, and Felt Truth's core move while denying the shortcut to imitate surface style while omitting Brand Genesis, Voice DNA, Visual DNA, and distillation evidence."
AIR-ST-08.01,Compile the Planned Activative Intelligence Pack,AIR-EP-07,F08,AIR-FR-043,PRM-PRS-009,AIR-ST-08.02,Compile the Planned Activative Intelligence Pack must preserve The McKee Inciting Incident Engine's core move while denying the shortcut to generate a question list instead of a complete adaptive Interview Asset Contract.
AIR-ST-08.01,Compile the Planned Activative Intelligence Pack,AIR-EP-07,F08,AIR-FR-044,PRM-PRS-009,AIR-ST-08.02,Compile the Planned Activative Intelligence Pack must preserve The McKee Inciting Incident Engine's core move while denying the shortcut to generate a question list instead of a complete adaptive Interview Asset Contract.
AIR-ST-08.02,Create complete Interview Asset Contracts,AIR-EP-07,F08,AIR-FR-045,PRM-PRS-002,AIR-ST-08.03,Create complete Interview Asset Contracts must preserve Tension-and-Release Narrative Engine's core move while denying the shortcut to generate a question list instead of a complete adaptive Interview Asset Contract.
AIR-ST-08.02,Create complete Interview Asset Contracts,AIR-EP-07,F08,AIR-FR-046,PRM-PRS-002,AIR-ST-08.03,Create complete Interview Asset Contracts must preserve Tension-and-Release Narrative Engine's core move while denying the shortcut to generate a question list instead of a complete adaptive Interview Asset Contract.
AIR-ST-08.03,"Validate adaptive branches, dose, landing, and route hypotheses",AIR-EP-07,F08,AIR-FR-047,PRM-PSY-008,AIR-ST-09.01,"Validate adaptive branches, dose, landing, and route hypotheses must preserve Attack Problem Not Person's core move while denying the shortcut to generate a question list instead of a complete adaptive Interview Asset Contract."
AIR-ST-08.03,"Validate adaptive branches, dose, landing, and route hypotheses",AIR-EP-07,F08,AIR-FR-048,PRM-PSY-008,AIR-ST-09.01,"Validate adaptive branches, dose, landing, and route hypotheses must preserve Attack Problem Not Person's core move while denying the shortcut to generate a question list instead of a complete adaptive Interview Asset Contract."
AIR-ST-09.01,Maintain an evidence-bearing live state,AIR-EP-08,F09,AIR-FR-049,PRM-PSY-008,AIR-ST-09.02,"Maintain an evidence-bearing live state must preserve Attack Problem Not Person's core move while denying the shortcut to continue the prepared interview script despite live defense, overload, or a landed answer."
AIR-ST-09.01,Maintain an evidence-bearing live state,AIR-EP-08,F09,AIR-FR-050,PRM-PSY-008,AIR-ST-09.02,"Maintain an evidence-bearing live state must preserve Attack Problem Not Person's core move while denying the shortcut to continue the prepared interview script despite live defense, overload, or a landed answer."
AIR-ST-09.02,Propose bounded next Activative Calls and pressure dose,AIR-EP-08,F09,AIR-FR-051,EXP-FBK-001,AIR-ST-09.03,"Propose bounded next Activative Calls and pressure dose must preserve RIM Feedback Discipline's core move while denying the shortcut to continue the prepared interview script despite live defense, overload, or a landed answer."
AIR-ST-09.02,Propose bounded next Activative Calls and pressure dose,AIR-EP-08,F09,AIR-FR-052,EXP-FBK-001,AIR-ST-09.03,"Propose bounded next Activative Calls and pressure dose must preserve RIM Feedback Discipline's core move while denying the shortcut to continue the prepared interview script despite live defense, overload, or a landed answer."
AIR-ST-09.03,"Land, reset, or stop without forcing the intended premise",AIR-EP-08,F09,AIR-FR-053,PRM-PRS-009,AIR-ST-10.01,"Land, reset, or stop without forcing the intended premise must preserve The McKee Inciting Incident Engine's core move while denying the shortcut to continue the prepared interview script despite live defense, overload, or a landed answer."
AIR-ST-09.03,"Land, reset, or stop without forcing the intended premise",AIR-EP-08,F09,AIR-FR-054,PRM-PRS-009,AIR-ST-10.01,"Land, reset, or stop without forcing the intended premise must preserve The McKee Inciting Incident Engine's core move while denying the shortcut to continue the prepared interview script despite live defense, overload, or a landed answer."
AIR-ST-10.01,Capture multimodal reaction evidence,AIR-EP-08,F10,AIR-FR-055,EXP-FBK-001,AIR-ST-10.02,"Capture multimodal reaction evidence must preserve RIM Feedback Discipline's core move while denying the shortcut to infer reaction from transcript wording while ignoring null, visual, sonic, and reaction-tail evidence."
AIR-ST-10.01,Capture multimodal reaction evidence,AIR-EP-08,F10,AIR-FR-056,EXP-FBK-001,AIR-ST-10.02,"Capture multimodal reaction evidence must preserve RIM Feedback Discipline's core move while denying the shortcut to infer reaction from transcript wording while ignoring null, visual, sonic, and reaction-tail evidence."
AIR-ST-10.02,"Classify reactions, non-reactions, and counteractivation",AIR-EP-08,F10,AIR-FR-057,PRM-PSY-001,AIR-ST-10.03,"Classify reactions, non-reactions, and counteractivation must preserve Matching Principle's core move while denying the shortcut to infer reaction from transcript wording while ignoring null, visual, sonic, and reaction-tail evidence."
AIR-ST-10.02,"Classify reactions, non-reactions, and counteractivation",AIR-EP-08,F10,AIR-FR-058,PRM-PSY-001,AIR-ST-10.03,"Classify reactions, non-reactions, and counteractivation must preserve Matching Principle's core move while denying the shortcut to infer reaction from transcript wording while ignoring null, visual, sonic, and reaction-tail evidence."
AIR-ST-10.03,Issue Reaction Receipts and planned–observed deltas,AIR-EP-08,F10,AIR-FR-059,PRM-VSG-021,AIR-ST-11.01,"Issue Reaction Receipts and planned–observed deltas must preserve Punctum, Air, and Felt Truth's core move while denying the shortcut to infer reaction from transcript wording while ignoring null, visual, sonic, and reaction-tail evidence."
AIR-ST-10.03,Issue Reaction Receipts and planned–observed deltas,AIR-EP-08,F10,AIR-FR-060,PRM-VSG-021,AIR-ST-11.01,"Issue Reaction Receipts and planned–observed deltas must preserve Punctum, Air, and Felt Truth's core move while denying the shortcut to infer reaction from transcript wording while ignoring null, visual, sonic, and reaction-tail evidence."
AIR-ST-11.01,Discover and bound complete Expression Moments,AIR-EP-09,F11,AIR-FR-061,PRM-VOC-009,AIR-ST-11.02,Discover and bound complete Expression Moments must preserve Sensory Scene Anchoring's core move while denying the shortcut to extract the shortest quotable phrase and omit the premise or reaction tail.
AIR-ST-11.01,Discover and bound complete Expression Moments,AIR-EP-09,F11,AIR-FR-062,PRM-VOC-009,AIR-ST-11.02,Discover and bound complete Expression Moments must preserve Sensory Scene Anchoring's core move while denying the shortcut to extract the shortest quotable phrase and omit the premise or reaction tail.
AIR-ST-11.02,Resolve moment lifecycle and routeability,AIR-EP-09,F11,AIR-FR-063,PRM-VSG-021,AIR-ST-11.03,"Resolve moment lifecycle and routeability must preserve Punctum, Air, and Felt Truth's core move while denying the shortcut to extract the shortest quotable phrase and omit the premise or reaction tail."
AIR-ST-11.02,Resolve moment lifecycle and routeability,AIR-EP-09,F11,AIR-FR-064,PRM-VSG-021,AIR-ST-11.03,"Resolve moment lifecycle and routeability must preserve Punctum, Air, and Felt Truth's core move while denying the shortcut to extract the shortest quotable phrase and omit the premise or reaction tail."
AIR-ST-11.03,Compile the Observed Activative Intelligence Pack,AIR-EP-09,F11,AIR-FR-065,PRM-PRS-002,AIR-ST-12.01,Compile the Observed Activative Intelligence Pack must preserve Tension-and-Release Narrative Engine's core move while denying the shortcut to extract the shortest quotable phrase and omit the premise or reaction tail.
AIR-ST-11.03,Compile the Observed Activative Intelligence Pack,AIR-EP-09,F11,AIR-FR-066,PRM-PRS-002,AIR-ST-12.01,Compile the Observed Activative Intelligence Pack must preserve Tension-and-Release Narrative Engine's core move while denying the shortcut to extract the shortest quotable phrase and omit the premise or reaction tail.
AIR-ST-12.01,Admit Brief-led and imported interview sources,AIR-EP-09,F12,AIR-FR-067,PRM-VOC-009,AIR-ST-12.02,Admit Brief-led and imported interview sources must preserve Sensory Scene Anchoring's core move while denying the shortcut to fabricate missing Brief-led history for an imported interview so both admission paths look identical.
AIR-ST-12.01,Admit Brief-led and imported interview sources,AIR-EP-09,F12,AIR-FR-068,PRM-VOC-009,AIR-ST-12.02,Admit Brief-led and imported interview sources must preserve Sensory Scene Anchoring's core move while denying the shortcut to fabricate missing Brief-led history for an imported interview so both admission paths look identical.
AIR-ST-12.02,"Assemble the exact media, transcript, tag, reaction, and keyframe spine",AIR-EP-09,F12,AIR-FR-069,PRM-VSG-003,AIR-ST-12.03,"Assemble the exact media, transcript, tag, reaction, and keyframe spine must preserve Intent Governs Style's core move while denying the shortcut to fabricate missing Brief-led history for an imported interview so both admission paths look identical."
AIR-ST-12.02,"Assemble the exact media, transcript, tag, reaction, and keyframe spine",AIR-EP-09,F12,AIR-FR-070,PRM-VSG-003,AIR-ST-12.03,"Assemble the exact media, transcript, tag, reaction, and keyframe spine must preserve Intent Governs Style's core move while denying the shortcut to fabricate missing Brief-led history for an imported interview so both admission paths look identical."
AIR-ST-12.03,Version and publish the canonical source package under operator authority,AIR-EP-09,F12,AIR-FR-071,EXP-FBK-001,AIR-ST-13.01,Version and publish the canonical source package under operator authority must preserve RIM Feedback Discipline's core move while denying the shortcut to fabricate missing Brief-led history for an imported interview so both admission paths look identical.
AIR-ST-12.03,Version and publish the canonical source package under operator authority,AIR-EP-09,F12,AIR-FR-072,EXP-FBK-001,AIR-ST-13.01,Version and publish the canonical source package under operator authority must preserve RIM Feedback Discipline's core move while denying the shortcut to fabricate missing Brief-led history for an imported interview so both admission paths look identical.
AIR-ST-13.01,Compile a coordinated Campaign Activation Program,AIR-EP-10,F13,AIR-FR-073,PRM-PRS-002,AIR-ST-13.02,Compile a coordinated Campaign Activation Program must preserve Tension-and-Release Narrative Engine's core move while denying the shortcut to rank every asset locally and publish repeated high-scoring formulas without campaign freshness controls.
AIR-ST-13.01,Compile a coordinated Campaign Activation Program,AIR-EP-10,F13,AIR-FR-074,PRM-PRS-002,AIR-ST-13.02,Compile a coordinated Campaign Activation Program must preserve Tension-and-Release Narrative Engine's core move while denying the shortcut to rank every asset locally and publish repeated high-scoring formulas without campaign freshness controls.
AIR-ST-13.02,"Protect role, direction, archetype, and structure freshness",AIR-EP-10,F13,AIR-FR-075,PRM-HUM-021,AIR-ST-13.03,"Protect role, direction, archetype, and structure freshness must preserve Irony Inversion's core move while denying the shortcut to rank every asset locally and publish repeated high-scoring formulas without campaign freshness controls."
AIR-ST-13.02,"Protect role, direction, archetype, and structure freshness",AIR-EP-10,F13,AIR-FR-076,PRM-HUM-021,AIR-ST-13.03,"Protect role, direction, archetype, and structure freshness must preserve Irony Inversion's core move while denying the shortcut to rank every asset locally and publish repeated high-scoring formulas without campaign freshness controls."
AIR-ST-13.03,Capture audience response and revise the campaign additively,AIR-EP-10,F13,AIR-FR-077,EXP-TRS-003,AIR-ST-14.01,Capture audience response and revise the campaign additively must preserve Reflective Social Proof (The Status Share)'s core move while denying the shortcut to rank every asset locally and publish repeated high-scoring formulas without campaign freshness controls.
AIR-ST-13.03,Capture audience response and revise the campaign additively,AIR-EP-10,F13,AIR-FR-078,EXP-TRS-003,AIR-ST-14.01,Capture audience response and revise the campaign additively must preserve Reflective Social Proof (The Status Share)'s core move while denying the shortcut to rank every asset locally and publish repeated high-scoring formulas without campaign freshness controls.
AIR-ST-14.01,Represent the current relationship state and hypotheses,AIR-EP-11,F14,AIR-FR-079,PRM-BUS-007,AIR-ST-14.02,Represent the current relationship state and hypotheses must preserve Social Media as Relationship's core move while denying the shortcut to treat a relationship move as a generic conversion funnel and ignore the current relationship stage.
AIR-ST-14.01,Represent the current relationship state and hypotheses,AIR-EP-11,F14,AIR-FR-080,PRM-BUS-007,AIR-ST-14.02,Represent the current relationship state and hypotheses must preserve Social Media as Relationship's core move while denying the shortcut to treat a relationship move as a generic conversion funnel and ignore the current relationship stage.
AIR-ST-14.02,Select the smallest useful commitment,AIR-EP-11,F14,AIR-FR-081,EXP-PER-003,AIR-ST-14.03,Select the smallest useful commitment must preserve Cumulative Investment's core move while denying the shortcut to treat a relationship move as a generic conversion funnel and ignore the current relationship stage.
AIR-ST-14.02,Select the smallest useful commitment,AIR-EP-11,F14,AIR-FR-082,EXP-PER-003,AIR-ST-14.03,Select the smallest useful commitment must preserve Cumulative Investment's core move while denying the shortcut to treat a relationship move as a generic conversion funnel and ignore the current relationship stage.
AIR-ST-14.03,Progress through ReelCast and asset delivery with scoped learning,AIR-EP-11,F14,AIR-FR-083,EXP-PRG-002,AIR-ST-15.01,Progress through ReelCast and asset delivery with scoped learning must preserve Discover -> On-board -> Immerse -> Master -> Replay's core move while denying the shortcut to treat a relationship move as a generic conversion funnel and ignore the current relationship stage.
AIR-ST-14.03,Progress through ReelCast and asset delivery with scoped learning,AIR-EP-11,F14,AIR-FR-084,EXP-PRG-002,AIR-ST-15.01,Progress through ReelCast and asset delivery with scoped learning must preserve Discover -> On-board -> Immerse -> Master -> Replay's core move while denying the shortcut to treat a relationship move as a generic conversion funnel and ignore the current relationship stage.
AIR-ST-15.01,Compile a category-specific Derivative Activation Program,AIR-EP-12,F15,AIR-FR-085,PRM-VOC-009,AIR-ST-15.02,Compile a category-specific Derivative Activation Program must preserve Sensory Scene Anchoring's core move while denying the shortcut to begin composition from raw quotes or generic copy before archetype-coalition Final Script approval.
AIR-ST-15.01,Compile a category-specific Derivative Activation Program,AIR-EP-12,F15,AIR-FR-086,PRM-VOC-009,AIR-ST-15.02,Compile a category-specific Derivative Activation Program must preserve Sensory Scene Anchoring's core move while denying the shortcut to begin composition from raw quotes or generic copy before archetype-coalition Final Script approval.
AIR-ST-15.02,Write and approve the archetype-coalition Final Script,AIR-EP-12,F15,AIR-FR-087,PRM-VSG-003,AIR-ST-15.03,Write and approve the archetype-coalition Final Script must preserve Intent Governs Style's core move while denying the shortcut to begin composition from raw quotes or generic copy before archetype-coalition Final Script approval.
AIR-ST-15.02,Write and approve the archetype-coalition Final Script,AIR-EP-12,F15,AIR-FR-088,PRM-VSG-003,AIR-ST-15.03,Write and approve the archetype-coalition Final Script must preserve Intent Governs Style's core move while denying the shortcut to begin composition from raw quotes or generic copy before archetype-coalition Final Script approval.
AIR-ST-15.03,Compose mandatory reusable 2D animation scene packages and hand off production,AIR-EP-12,F15,AIR-FR-089,PRM-PRS-015,AIR-ST-16.01,Compose mandatory reusable 2D animation scene packages and hand off production must preserve The What Is / What Could Be Contrast Engine's core move while denying the shortcut to begin composition from raw quotes or generic copy before archetype-coalition Final Script approval.
AIR-ST-15.03,Compose mandatory reusable 2D animation scene packages and hand off production,AIR-EP-12,F15,AIR-FR-090,PRM-PRS-015,AIR-ST-16.01,Compose mandatory reusable 2D animation scene packages and hand off production must preserve The What Is / What Could Be Contrast Engine's core move while denying the shortcut to begin composition from raw quotes or generic copy before archetype-coalition Final Script approval.
AIR-ST-16.01,Identify the original source charge and must-survive properties,AIR-EP-13,F16,AIR-FR-091,PRM-PSY-001,AIR-ST-16.02,"Identify the original source charge and must-survive properties must preserve Matching Principle's core move while denying the shortcut to preserve literal wording while losing the psychological role, tension, Primitive coalition, or Edge Product."
AIR-ST-16.01,Identify the original source charge and must-survive properties,AIR-EP-13,F16,AIR-FR-092,PRM-PSY-001,AIR-ST-16.02,"Identify the original source charge and must-survive properties must preserve Matching Principle's core move while denying the shortcut to preserve literal wording while losing the psychological role, tension, Primitive coalition, or Edge Product."
AIR-ST-16.02,Declare permitted transformations and exact lineage,AIR-EP-13,F16,AIR-FR-093,PRM-VSG-003,AIR-ST-16.03,"Declare permitted transformations and exact lineage must preserve Intent Governs Style's core move while denying the shortcut to preserve literal wording while losing the psychological role, tension, Primitive coalition, or Edge Product."
AIR-ST-16.02,Declare permitted transformations and exact lineage,AIR-EP-13,F16,AIR-FR-094,PRM-VSG-003,AIR-ST-16.03,"Declare permitted transformations and exact lineage must preserve Intent Governs Style's core move while denying the shortcut to preserve literal wording while losing the psychological role, tension, Primitive coalition, or Edge Product."
