requirement_id,relationship,title,contract_clauses,surfaces,acceptance_tests,source
"NFR-SEC-003","SUPPORTING","Authority enforcement","UXC-007;UXC-301;UXC-302;UXC-303","all-command-surfaces","AT-UX-011;AT-UX-018;AT-UX-019","prd/06-cross-cutting-nfrs.md"
"NFR-TRACE-001","SUPPORTING","End-to-end provenance","UXC-003;UXC-010;UXC-107;UXC-112","all-detail-surfaces","AT-UX-001;AT-UX-013;AT-UX-026","prd/06-cross-cutting-nfrs.md"
"NFR-TRACE-003","SUPPORTING","Evaluated artifact identity","UXC-106;UXC-108;UXC-113","skills-and-capsules;evaluation;authorization","AT-UX-012;AT-UX-014","prd/06-cross-cutting-nfrs.md"
"NFR-TRACE-004","SUPPORTING","Knowledge-status integrity","UXC-003;UXC-004;UXC-104","evidence-workspace;decisions","AT-UX-002;AT-UX-006;AT-UX-009","prd/06-cross-cutting-nfrs.md"
"NFR-WORKFLOW-010","SUPPORTING","Workflow observability","UXC-110;UXC-111;UXC-112;UXC-504","workflow;incidents;events","AT-UX-017;AT-UX-027","prd/06-cross-cutting-nfrs.md"
"FR-201","SUPPORTING","Place human gates according to authority and operational risk","UXC-007;UXC-110;UXC-301;UXC-303","workflow;all-command-surfaces","AT-UX-011;AT-UX-018;AT-UX-019","prd/05-features/F18-builder-workflow-runtime.md"
"FR-202","SUPPORTING","Expose workflow queues and status transitions","UXC-003;UXC-004;UXC-110","workflow;run-overview","AT-UX-027","prd/05-features/F18-builder-workflow-runtime.md"
"FR-203","SUPPORTING","Emit node-level workflow telemetry","UXC-110;UXC-111;UXC-112;UXC-504","workflow;events","AT-UX-017;AT-UX-027","prd/05-features/F18-builder-workflow-runtime.md"
"FR-208","SUPPORTING","Provide specialized incident and hotfix workflows","UXC-110;UXC-303;UXC-408","incident-queue;incident-detail","AT-UX-019;AT-UX-027","prd/05-features/F18-builder-workflow-runtime.md"
"FR-209","SUPPORTING","Measure workflow cost latency quality and intervention","UXC-111;UXC-501;UXC-504","workflow;run-overview;evaluation","AT-UX-017;AT-UX-025","prd/05-features/F18-builder-workflow-runtime.md"
