fr_id,source_product,feature_id,title,primary_owner,primary_story_id,primary_story_title,canonical_spec_id,authority_source_id,ownership_authority_id,gate,claim_ceiling,original_spec_id,ownership_reconciled,requirement,required_evidence,source_refs
FR-011,AHP,F02,Fail on unresolved ownership,Atomic Harness Pipeline,ST-03.01,Ingest and bind an Atomic Harness,TS-AHP-002,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-002,false,"A required capability without an explicit eligible implementation, human gate or external-product route shall block execution before any side effect.","schema/hash validation, graph reconciliation, binding manifest, compatibility tests, supersession and replay, linked to an immutable requirement receipt.",SRC-CUR-004;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001
FR-012,AHP,F02,Support supersession and invalidation,Atomic Harness Pipeline,ST-03.01,Ingest and bind an Atomic Harness,TS-AHP-002,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-002,false,"Bindings and imported Harnesses shall support immutable supersession, revocation, migration impact and historical replay.","schema/hash validation, graph reconciliation, binding manifest, compatibility tests, supersession and replay, linked to an immutable requirement receipt.",SRC-CUR-004;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001
FR-013,AHP,F03,Compile phases into Workflow Nodes,Atomic Harness Pipeline,ST-03.04,Execute explicit nodes and bounded production roles,TS-AHP-004,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-004,false,Each phase shall contain explicit Workflow Nodes that reference the capabilities they realize and the typed handoffs between them.,"graph validation, scheduling tests, handoff conformance, actor/role matrices, and node receipts, linked to an immutable requirement receipt.",SRC-CUR-007;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001;SRC-LEG-002;SRC-LEG-003
FR-014,AHP,F03,Declare four independent classifications,Atomic Harness Pipeline,ST-03.04,Execute explicit nodes and bounded production roles,TS-AHP-004,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-004,false,"Every Workflow Node shall declare execution actor, Capability Ownership class, workflow role and product boundary.","graph validation, scheduling tests, handoff conformance, actor/role matrices, and node receipts, linked to an immutable requirement receipt.",SRC-CUR-007;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001;SRC-LEG-002;SRC-LEG-003
FR-015,AHP,F03,Schedule dependencies deterministically,Atomic Harness Pipeline,ST-03.04,Execute explicit nodes and bounded production roles,TS-AHP-004,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-004,false,"The scheduler shall enforce acyclic dependencies, gate conditions, eligible parallelism and deterministic ready-order behavior.","graph validation, scheduling tests, handoff conformance, actor/role matrices, and node receipts, linked to an immutable requirement receipt.",SRC-CUR-007;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001;SRC-LEG-002;SRC-LEG-003
FR-016,AHP,F03,Validate every handoff,Atomic Harness Pipeline,ST-03.04,Execute explicit nodes and bounded production roles,TS-AHP-004,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-004,false,A downstream node may start only from a producer output that passed its declared contract and handoff validation.,"graph validation, scheduling tests, handoff conformance, actor/role matrices, and node receipts, linked to an immutable requirement receipt.",SRC-CUR-007;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001;SRC-LEG-002;SRC-LEG-003
FR-017,AHP,F03,Represent humans and products explicitly,Atomic Harness Pipeline,ST-03.04,Execute explicit nodes and bounded production roles,TS-AHP-004,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-004,false,Human authority and independent product calls shall be visible Workflow Nodes rather than hidden tool calls.,"graph validation, scheduling tests, handoff conformance, actor/role matrices, and node receipts, linked to an immutable requirement receipt.",SRC-CUR-007;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001;SRC-LEG-002;SRC-LEG-003
FR-018,AHP,F03,Emit immutable node receipts,Atomic Harness Pipeline,ST-03.04,Execute explicit nodes and bounded production roles,TS-AHP-004,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-004,false,"Every node attempt shall record inputs, JIT Capsule, implementation, actions, output, validation, status, timing, cost and lineage.","graph validation, scheduling tests, handoff conformance, actor/role matrices, and node receipts, linked to an immutable requirement receipt.",SRC-CUR-007;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001;SRC-LEG-002;SRC-LEG-003
FR-019,AHP,F04,Declare node context requirements,Atomic Harness Pipeline,ST-07.01,Compile authority-first hybrid retrieval and JIT context,TS-RET-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-RET-001,false,"Workflow Nodes shall declare typed context slots, authority, freshness, contradiction and budget requirements.","retrieval benchmark, hard-negative tests, context-size reduction, downstream decision lift, and receipts, linked to an immutable requirement receipt.",SRC-CUR-009;SRC-CUR-020;SRC-EXT-005
FR-020,AHP,F04,Compute eligibility before ranking,Atomic Harness Pipeline,ST-07.01,Compile authority-first hybrid retrieval and JIT context,TS-RET-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-RET-001,false,"The retrieval service shall exclude ineligible authority, lifecycle, Category, profile, identity, embodiment and evidence states before semantic ranking.","retrieval benchmark, hard-negative tests, context-size reduction, downstream decision lift, and receipts, linked to an immutable requirement receipt.",SRC-CUR-009;SRC-CUR-020;SRC-EXT-005
FR-021,AHP,F04,Use task-specific hybrid retrieval,Atomic Harness Pipeline,ST-07.01,Compile authority-first hybrid retrieval and JIT context,TS-RET-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-RET-001,false,"Eligible candidates shall be discovered through exact, lexical, dense, graph, visual, syntax and evidence signals appropriate to the task.","retrieval benchmark, hard-negative tests, context-size reduction, downstream decision lift, and receipts, linked to an immutable requirement receipt.",SRC-CUR-009;SRC-CUR-020;SRC-EXT-005
FR-022,AHP,F04,Preserve contradictions and succession,Atomic Harness Pipeline,ST-07.01,Compile authority-first hybrid retrieval and JIT context,TS-RET-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-RET-001,false,"Retrieval shall include required contradictory, failed and superseding evidence when the node contract requires it.","retrieval benchmark, hard-negative tests, context-size reduction, downstream decision lift, and receipts, linked to an immutable requirement receipt.",SRC-CUR-009;SRC-CUR-020;SRC-EXT-005
FR-023,AHP,F04,Compile the existing JIT Execution Capsule,Atomic Harness Pipeline,ST-07.01,Compile authority-first hybrid retrieval and JIT context,TS-RET-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-RET-001,false,"The Minimum Complete Context compiler shall populate the current JIT Capsule taxonomy with exact source identities, inclusion reasons and context budget.","retrieval benchmark, hard-negative tests, context-size reduction, downstream decision lift, and receipts, linked to an immutable requirement receipt.",SRC-CUR-009;SRC-CUR-020;SRC-EXT-005
FR-024,AHP,F04,Record retrieval and context outcomes,Atomic Harness Pipeline,ST-07.01,Compile authority-first hybrid retrieval and JIT context,TS-RET-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-RET-001,false,"Every compilation shall emit a receipt that records filters, candidates, exclusions, ranking, compression, unavailable context and downstream outcome.","retrieval benchmark, hard-negative tests, context-size reduction, downstream decision lift, and receipts, linked to an immutable requirement receipt.",SRC-CUR-009;SRC-CUR-020;SRC-EXT-005
FR-025,AHP,F05,Persist immutable execution events,Atomic Harness Pipeline,ST-06.01,"Persist durable state, checkpoints, replay, and cancellation",TS-AHP-006,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-006,false,"The Pipeline shall persist run, node, handoff, command, receipt and incident events in durable storage.","transaction tests, duplicate/retry races, cancellation, replay, backup/restore, and migration evidence, linked to an immutable requirement receipt.",SRC-CUR-010;SRC-CUR-017;SRC-LEG-002;SRC-LEG-003
FR-026,AHP,F05,Commit state and receipt atomically,Atomic Harness Pipeline,ST-06.01,"Persist durable state, checkpoints, replay, and cancellation",TS-AHP-006,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-006,false,A lifecycle transition and its receipt-bearing command record shall commit as one atomic operation.,"transaction tests, duplicate/retry races, cancellation, replay, backup/restore, and migration evidence, linked to an immutable requirement receipt.",SRC-CUR-010;SRC-CUR-017;SRC-LEG-002;SRC-LEG-003
FR-027,AHP,F05,Create accepted checkpoints only after validation,Atomic Harness Pipeline,ST-06.01,"Persist durable state, checkpoints, replay, and cancellation",TS-AHP-006,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-006,false,"A node checkpoint becomes reusable only after output validation, evidence emission and downstream eligibility pass.","transaction tests, duplicate/retry races, cancellation, replay, backup/restore, and migration evidence, linked to an immutable requirement receipt.",SRC-CUR-010;SRC-CUR-017;SRC-LEG-002;SRC-LEG-003
FR-028,AHP,F05,Separate resume from replay,Atomic Harness Pipeline,ST-06.01,"Persist durable state, checkpoints, replay, and cancellation",TS-AHP-006,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-006,false,Resume continues from the last accepted checkpoint; replay reconstructs exact historical execution from immutable identities.,"transaction tests, duplicate/retry races, cancellation, replay, backup/restore, and migration evidence, linked to an immutable requirement receipt.",SRC-CUR-010;SRC-CUR-017;SRC-LEG-002;SRC-LEG-003
FR-029,AHP,F05,Govern cancellation and race resolution,Atomic Harness Pipeline,ST-06.01,"Persist durable state, checkpoints, replay, and cancellation",TS-AHP-006,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-006,false,"Cancellation shall prevent new work, propagate to active products/runtimes and disposition late results without losing history.","transaction tests, duplicate/retry races, cancellation, replay, backup/restore, and migration evidence, linked to an immutable requirement receipt.",SRC-CUR-010;SRC-CUR-017;SRC-LEG-002;SRC-LEG-003
FR-030,AHP,F05,"Provide migration, backup and restore",Atomic Harness Pipeline,ST-06.01,"Persist durable state, checkpoints, replay, and cancellation",TS-AHP-006,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-006,false,"State schemas shall support controlled migration, unsupported-version containment, backup, restore and disaster-recovery tests.","transaction tests, duplicate/retry races, cancellation, replay, backup/restore, and migration evidence, linked to an immutable requirement receipt.",SRC-CUR-010;SRC-CUR-017;SRC-LEG-002;SRC-LEG-003
FR-031,AHP,F06,Bind Canonical Skills explicitly,Atomic Harness Pipeline,ST-07.02,"Bind Skills, compositions, Steering Recipes, and Transformation Contracts",TS-SKL-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SKL-001,false,A learned or agentic Workflow Node shall reference the exact Canonical Skill governing its stable procedure.,"skill/recipe binding tests, eligibility/exclusion, recipe lifecycle, transformation validation, and retrieval receipts, linked to an immutable requirement receipt.",SRC-CUR-009;SRC-CUR-020
FR-032,AHP,F06,Support Harness-local Skill Adaptation,Atomic Harness Pipeline,ST-07.02,"Bind Skills, compositions, Steering Recipes, and Transformation Contracts",TS-SKL-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SKL-001,false,A Harness may reference a governed local adaptation without mutating the Canonical Skill.,"skill/recipe binding tests, eligibility/exclusion, recipe lifecycle, transformation validation, and retrieval receipts, linked to an immutable requirement receipt.",SRC-CUR-009;SRC-CUR-020
FR-033,AHP,F06,Bind Skill Composition Recipes,Atomic Harness Pipeline,ST-07.02,"Bind Skills, compositions, Steering Recipes, and Transformation Contracts",TS-SKL-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SKL-001,false,"A phase or path may use a durable Skill Composition Recipe that assembles Skills, modules, references and runtime bindings.","skill/recipe binding tests, eligibility/exclusion, recipe lifecycle, transformation validation, and retrieval receipts, linked to an immutable requirement receipt.",SRC-CUR-009;SRC-CUR-020
FR-034,AHP,F06,Retrieve eligible Steering Recipes,Atomic Harness Pipeline,ST-07.02,"Bind Skills, compositions, Steering Recipes, and Transformation Contracts",TS-SKL-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SKL-001,false,"Taste-bearing nodes shall receive only lifecycle-eligible, evidence-backed Steering Recipes matching the current state and embodiment.","skill/recipe binding tests, eligibility/exclusion, recipe lifecycle, transformation validation, and retrieval receipts, linked to an immutable requirement receipt.",SRC-CUR-009;SRC-CUR-020
FR-035,AHP,F06,Compile a Transformation Contract,Atomic Harness Pipeline,ST-07.02,"Bind Skills, compositions, Steering Recipes, and Transformation Contracts",TS-SKL-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SKL-001,false,"Every editing or composition operation shall declare must-remain-true conditions, required changes, permitted creative degrees of freedom and wrong-reading locks.","skill/recipe binding tests, eligibility/exclusion, recipe lifecycle, transformation validation, and retrieval receipts, linked to an immutable requirement receipt.",SRC-CUR-009;SRC-CUR-020
FR-036,AHP,F06,Apply canonical terminology,Atomic Harness Pipeline,ST-07.02,"Bind Skills, compositions, Steering Recipes, and Transformation Contracts",TS-SKL-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SKL-001,false,New implementation and documentation shall use Transformation Contract vocabulary and remove the banned defensive property terminology.,"skill/recipe binding tests, eligibility/exclusion, recipe lifecycle, transformation validation, and retrieval receipts, linked to an immutable requirement receipt.",SRC-CUR-009;SRC-CUR-020
FR-037,AHP,F07,Register Programmed Model artifacts,Atomic Harness Pipeline,ST-07.03,Register and route Programmed Model claims,TS-PM-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-PM-001,false,"Every artifact shall pin base model, tokenizer, checkpoint/adapter, runtime, training lineage and exact hashes.","artifact hashes, data lineage, held-out benchmarks, shadow runs, fallback tests, and promotion receipts, linked to an immutable requirement receipt.",SRC-CUR-008;SRC-CUR-015;SRC-EXT-001;SRC-EXT-002;SRC-EXT-003;SRC-EXT-004;SRC-EXT-006
FR-038,AHP,F07,Declare evidence-defined capability claims,Atomic Harness Pipeline,ST-07.03,Register and route Programmed Model claims,TS-PM-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-PM-001,false,Each learned claim shall reference a canonical Capability and an explicit Category/profile/style/provider/complexity applicability envelope.,"artifact hashes, data lineage, held-out benchmarks, shadow runs, fallback tests, and promotion receipts, linked to an immutable requirement receipt.",SRC-CUR-008;SRC-CUR-015;SRC-EXT-001;SRC-EXT-002;SRC-EXT-003;SRC-EXT-004;SRC-EXT-006
FR-039,AHP,F07,Deploy through Model Programs,Atomic Harness Pipeline,ST-07.03,Register and route Programmed Model claims,TS-PM-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-PM-001,false,"A Model Program shall bind the Programmed Model to the Workflow Node, JIT Capsule, tools, validators, evaluator, budget, fallback and receipts.","artifact hashes, data lineage, held-out benchmarks, shadow runs, fallback tests, and promotion receipts, linked to an immutable requirement receipt.",SRC-CUR-008;SRC-CUR-015;SRC-EXT-001;SRC-EXT-002;SRC-EXT-003;SRC-EXT-004;SRC-EXT-006
