fr_id,source_product,feature_id,title,primary_owner,primary_story_id,primary_story_title,canonical_spec_id,authority_source_id,ownership_authority_id,gate,claim_ceiling,original_spec_id,ownership_reconciled
FR-011,AHP,F02,Fail on unresolved ownership,Atomic Harness Pipeline,ST-03.01,Ingest and bind an Atomic Harness,TS-AHP-002,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-002,false
FR-012,AHP,F02,Support supersession and invalidation,Atomic Harness Pipeline,ST-03.01,Ingest and bind an Atomic Harness,TS-AHP-002,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-002,false
FR-013,AHP,F03,Compile phases into Workflow Nodes,Atomic Harness Pipeline,ST-03.04,Execute explicit nodes and bounded production roles,TS-AHP-004,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-004,false
FR-014,AHP,F03,Declare four independent classifications,Atomic Harness Pipeline,ST-03.04,Execute explicit nodes and bounded production roles,TS-AHP-004,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-004,false
FR-015,AHP,F03,Schedule dependencies deterministically,Atomic Harness Pipeline,ST-03.04,Execute explicit nodes and bounded production roles,TS-AHP-004,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-004,false
FR-016,AHP,F03,Validate every handoff,Atomic Harness Pipeline,ST-03.04,Execute explicit nodes and bounded production roles,TS-AHP-004,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-004,false
FR-017,AHP,F03,Represent humans and products explicitly,Atomic Harness Pipeline,ST-03.04,Execute explicit nodes and bounded production roles,TS-AHP-004,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-004,false
FR-018,AHP,F03,Emit immutable node receipts,Atomic Harness Pipeline,ST-03.04,Execute explicit nodes and bounded production roles,TS-AHP-004,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-004,false
FR-019,AHP,F04,Declare node context requirements,Atomic Harness Pipeline,ST-07.01,Compile authority-first hybrid retrieval and JIT context,TS-RET-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-RET-001,false
FR-020,AHP,F04,Compute eligibility before ranking,Atomic Harness Pipeline,ST-07.01,Compile authority-first hybrid retrieval and JIT context,TS-RET-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-RET-001,false
FR-021,AHP,F04,Use task-specific hybrid retrieval,Atomic Harness Pipeline,ST-07.01,Compile authority-first hybrid retrieval and JIT context,TS-RET-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-RET-001,false
FR-022,AHP,F04,Preserve contradictions and succession,Atomic Harness Pipeline,ST-07.01,Compile authority-first hybrid retrieval and JIT context,TS-RET-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-RET-001,false
FR-023,AHP,F04,Compile the existing JIT Execution Capsule,Atomic Harness Pipeline,ST-07.01,Compile authority-first hybrid retrieval and JIT context,TS-RET-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-RET-001,false
FR-024,AHP,F04,Record retrieval and context outcomes,Atomic Harness Pipeline,ST-07.01,Compile authority-first hybrid retrieval and JIT context,TS-RET-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-RET-001,false
FR-025,AHP,F05,Persist immutable execution events,Atomic Harness Pipeline,ST-06.01,"Persist durable state, checkpoints, replay, and cancellation",TS-AHP-006,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-006,false
FR-026,AHP,F05,Commit state and receipt atomically,Atomic Harness Pipeline,ST-06.01,"Persist durable state, checkpoints, replay, and cancellation",TS-AHP-006,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-006,false
FR-027,AHP,F05,Create accepted checkpoints only after validation,Atomic Harness Pipeline,ST-06.01,"Persist durable state, checkpoints, replay, and cancellation",TS-AHP-006,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-006,false
FR-028,AHP,F05,Separate resume from replay,Atomic Harness Pipeline,ST-06.01,"Persist durable state, checkpoints, replay, and cancellation",TS-AHP-006,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-006,false
FR-029,AHP,F05,Govern cancellation and race resolution,Atomic Harness Pipeline,ST-06.01,"Persist durable state, checkpoints, replay, and cancellation",TS-AHP-006,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-006,false
FR-030,AHP,F05,"Provide migration, backup and restore",Atomic Harness Pipeline,ST-06.01,"Persist durable state, checkpoints, replay, and cancellation",TS-AHP-006,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-006,false
FR-031,AHP,F06,Bind Canonical Skills explicitly,Atomic Harness Pipeline,ST-07.02,"Bind Skills, compositions, Steering Recipes, and Transformation Contracts",TS-SKL-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SKL-001,false
FR-032,AHP,F06,Support Harness-local Skill Adaptation,Atomic Harness Pipeline,ST-07.02,"Bind Skills, compositions, Steering Recipes, and Transformation Contracts",TS-SKL-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SKL-001,false
FR-033,AHP,F06,Bind Skill Composition Recipes,Atomic Harness Pipeline,ST-07.02,"Bind Skills, compositions, Steering Recipes, and Transformation Contracts",TS-SKL-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SKL-001,false
FR-034,AHP,F06,Retrieve eligible Steering Recipes,Atomic Harness Pipeline,ST-07.02,"Bind Skills, compositions, Steering Recipes, and Transformation Contracts",TS-SKL-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SKL-001,false
FR-035,AHP,F06,Compile a Transformation Contract,Atomic Harness Pipeline,ST-07.02,"Bind Skills, compositions, Steering Recipes, and Transformation Contracts",TS-SKL-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SKL-001,false
FR-036,AHP,F06,Apply canonical terminology,Atomic Harness Pipeline,ST-07.02,"Bind Skills, compositions, Steering Recipes, and Transformation Contracts",TS-SKL-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SKL-001,false
FR-037,AHP,F07,Register Programmed Model artifacts,Atomic Harness Pipeline,ST-07.03,Register and route Programmed Model claims,TS-PM-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-PM-001,false
FR-038,AHP,F07,Declare evidence-defined capability claims,Atomic Harness Pipeline,ST-07.03,Register and route Programmed Model claims,TS-PM-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-PM-001,false
FR-039,AHP,F07,Deploy through Model Programs,Atomic Harness Pipeline,ST-07.03,Register and route Programmed Model claims,TS-PM-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-PM-001,false
FR-040,AHP,F07,Maintain claim-specific lifecycle,Atomic Harness Pipeline,ST-07.03,Register and route Programmed Model claims,TS-PM-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-PM-001,false
FR-041,AHP,F07,Prove an advantage profile,Atomic Harness Pipeline,ST-07.03,Register and route Programmed Model claims,TS-PM-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-PM-001,false
FR-042,AHP,F07,Route only within evidence,Atomic Harness Pipeline,ST-07.03,Register and route Programmed Model claims,TS-PM-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-PM-001,false
FR-043,AHP,F08,Declare candidate-search policy per claim,Atomic Harness Pipeline,ST-07.04,Search and compare candidates purposefully,TS-AHP-008,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-008,false
FR-044,AHP,F08,Require meaningful diversity,Atomic Harness Pipeline,ST-07.04,Search and compare candidates purposefully,TS-AHP-008,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-008,false
FR-045,AHP,F08,Filter candidates mechanically first,Atomic Harness Pipeline,ST-07.04,Search and compare candidates purposefully,TS-AHP-008,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-008,false
FR-046,AHP,F08,Use independent comparative evaluation,Atomic Harness Pipeline,ST-07.04,Search and compare candidates purposefully,TS-AHP-008,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-008,false
FR-047,AHP,F08,Apply budget and stopping laws,Atomic Harness Pipeline,ST-07.04,Search and compare candidates purposefully,TS-AHP-008,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-008,false
FR-048,AHP,F08,Learn from candidate portfolios,Atomic Harness Pipeline,ST-07.04,Search and compare candidates purposefully,TS-AHP-008,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-008,false
FR-049,AHP,F09,Define renderer-neutral Composition IR,Atomic Harness Pipeline,ST-05.01,Render deterministic source-grounded static compositions,TS-STA-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-STA-001,false
FR-050,AHP,F09,Carry BBOX plus function,Atomic Harness Pipeline,ST-05.01,Render deterministic source-grounded static compositions,TS-STA-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-STA-001,false
FR-051,AHP,F09,Activate PRETEXT measurement,Atomic Harness Pipeline,ST-05.01,Render deterministic source-grounded static compositions,TS-STA-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-STA-001,false
FR-052,AHP,F09,Run deterministic layout solving,Atomic Harness Pipeline,ST-05.01,Render deterministic source-grounded static compositions,TS-STA-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-STA-001,false
FR-053,AHP,F09,Compile typed Rough Annotation Cues,Atomic Harness Pipeline,ST-05.01,Render deterministic source-grounded static compositions,TS-STA-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-STA-001,false
FR-054,AHP,F09,Render actual Skia artifacts,Atomic Harness Pipeline,ST-05.01,Render deterministic source-grounded static compositions,TS-STA-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-STA-001,false
FR-055,AHP,F10,Enforce Carousel Category identity,Atomic Harness Pipeline,ST-05.02,Produce a source-grounded Carousel,TS-CAR-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-CAR-001,false
FR-056,AHP,F10,Compile slide-role plans,Atomic Harness Pipeline,ST-05.02,Produce a source-grounded Carousel,TS-CAR-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-CAR-001,false
FR-057,AHP,F10,Compile swipe-order plans,Atomic Harness Pipeline,ST-05.02,Produce a source-grounded Carousel,TS-CAR-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-CAR-001,false
FR-058,AHP,F10,Validate cross-slide continuity,Atomic Harness Pipeline,ST-05.02,Produce a source-grounded Carousel,TS-CAR-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-CAR-001,false
FR-059,AHP,F10,Ratify profiles before production,Atomic Harness Pipeline,ST-05.02,Produce a source-grounded Carousel,TS-CAR-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-CAR-001,false
FR-060,AHP,F10,Export platform packages,Atomic Harness Pipeline,ST-05.02,Produce a source-grounded Carousel,TS-CAR-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-CAR-001,false
FR-061,AHP,F11,Enforce SuperVisual Category identity,Atomic Harness Pipeline,ST-05.03,Produce a source-grounded SuperVisual,TS-SPV-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SPV-001,false
FR-062,AHP,F11,Compile single-frame hierarchy,Atomic Harness Pipeline,ST-05.03,Produce a source-grounded SuperVisual,TS-SPV-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SPV-001,false
FR-063,AHP,F11,Validate feed-size legibility,Atomic Harness Pipeline,ST-05.03,Produce a source-grounded SuperVisual,TS-SPV-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SPV-001,false
FR-064,AHP,F11,Compile static reading order,Atomic Harness Pipeline,ST-05.03,Produce a source-grounded SuperVisual,TS-SPV-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SPV-001,false
FR-065,AHP,F11,Ratify profiles before production,Atomic Harness Pipeline,ST-05.03,Produce a source-grounded SuperVisual,TS-SPV-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SPV-001,false
FR-066,AHP,F11,Export high-resolution artifacts,Atomic Harness Pipeline,ST-05.03,Produce a source-grounded SuperVisual,TS-SPV-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_B,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-SPV-001,false
