source_id,kind,exact_path,observed_sha_or_blob_sha,authority,disposition,proposed_target,role
SRC-CUR-014,vae_prd,02_VISUAL_ASSET_EDITOR/prd/05-features/F05-composition-intent-image-conditioned-geometry.md,a9a1ecb8bd0bc8d842d713ac31048624409a6915,vae_prd,REFERENCE,,"Composition intent, feasibility, geometry and composition-context evaluation."
SRC-CUR-015,vae_prd,02_VISUAL_ASSET_EDITOR/prd/05-features/F08-visual-capability-registry.md,c5005237ee345b224f66b13c03550d88e0639170,vae_prd,REFERENCE,,"Versioned models, LoRAs, controls, workflows and runtime capability registry."
SRC-CUR-016,vae_prd,02_VISUAL_ASSET_EDITOR/prd/05-features/F09-visual-production-plan-ir.md,f0c14615a2c99c578f57e28174319c0b9c73eb49,vae_prd,REFERENCE,,Visual Production Plan IR and provider-specific compilation.
SRC-CUR-017,vae_prd,02_VISUAL_ASSET_EDITOR/prd/05-features/F10-event-sourced-production-runtime.md,7edfd0c7c3930813d8e1f56b68b1571257929b8d,vae_prd,REFERENCE,,Event-sourced VAE production runtime.
SRC-CUR-018,vae_prd,02_VISUAL_ASSET_EDITOR/prd/05-features/F14-visual-evaluation-profiles.md,4bd76e12578b92a75ba6ea9eb7b2248ffe5927be,vae_prd,REFERENCE,,Independent visual evaluation profiles.
SRC-CUR-019,vae_prd,02_VISUAL_ASSET_EDITOR/prd/05-features/F15-repair-invalidation-reruns.md,211963e70ec45cdb0d55bff90a1a3def430a1bac,vae_prd,REFERENCE,,Typed visual repair and bounded reruns.
SRC-CUR-020,vae_prd,02_VISUAL_ASSET_EDITOR/prd/05-features/F17-steering-intelligence-cmf-okf-retrieval.md,877747ca8fed27cd3a37423fef321dabb4334f78,vae_prd,REFERENCE,,"CMF-OKF, Steering Recipes, hybrid retrieval and Minimum Complete Context."
SRC-CUR-021,vae_status,02_VISUAL_ASSET_EDITOR/CURRENT_PROJECT_STATUS.md,820f79d0f98cfecf4d7fb356d8d1a23a2a94703d,vae_status,REFERENCE,,Public VAE implementation/evidence status and Stage 5 gate.
SRC-CUR-022,delegation,03_DELEGATION_PROTOCOL/README.md,70c01d85094fb75116e528fdc6dac324b82f8913,delegation_prd,REFERENCE,,Harness↔VAE product boundary and contract package.
SRC-LEG-001,legacy_archive,src/ccp_studio/contracts/studio_pipeline_recipe_harness.py,fd9a613463c71c9e0f1a0ce3b4ba0cd479b7553ead53a50d6d678d72386e81b8,migration_evidence_only,ADAPT,src/cmf_pipeline/adapters/legacy_cmf/recipe_contract_adapter.py,Old recipe/step contracts become a compatibility input to Workflow IR; they cannot define current meaning.
SRC-LEG-002,legacy_archive,src/ccp_studio/services/pipeline_run_service.py,cede54a5f4bf09f047ffdbacc8f3427cfa197306aebc84c0c1950ff87a185021,migration_evidence_only,ADAPT,src/cmf_pipeline/adapters/legacy_cmf/run_state_adapter.py,Reuse run-state behavior after durable-state and receipt reconciliation.
SRC-LEG-003,legacy_archive,src/ccp_studio/services/pipeline_step_run_service.py,90c568b255b0d27fe3430f8b4edd7da01cce202cd46f9ec36a916dae2ed362db,migration_evidence_only,ADAPT,src/cmf_pipeline/adapters/legacy_cmf/step_state_adapter.py,Map legacy steps to current Workflow Nodes.
SRC-LEG-004,legacy_archive,src/ccp_studio/contracts/composition_runtime.py,b0416bbf0b708467c01d8d80aa17c6137ea1b2865cb8b0b9aae039dcfa53fbe3,migration_evidence_only,FORK,packages/cmf_composition_runtime/src/cmf_composition_runtime/contracts.py,"Reuse Composition IR primitives, BBOX, layers and scene relationships under current taxonomy."
SRC-LEG-005,legacy_archive,src/ccp_studio/services/composition_runtime_service.py,83e3f84032bc4538262b03da223739886e575b4d3245fabea184d6cd9d3fc9d1,migration_evidence_only,FORK_ADAPT,packages/cmf_composition_runtime/src/cmf_composition_runtime/service.py,Retain deterministic geometry; replace placeholder visual providers and old authority assumptions.
SRC-LEG-006,legacy_archive,src/ccp_studio/contracts/video_editing_engine.py,38edbceab7152ae1d09d131936bc1625ced13d384932f333acca4425954d4bd7,migration_evidence_only,FORK,packages/cmf_video_editing_runtime/src/cmf_video_editing_runtime/contracts.py,"Reuse timeline, tracks, captions, transitions, audio and export contracts."
SRC-LEG-007,legacy_archive,src/ccp_studio/services/video_editing_engine_service.py,3d13c36601d1719b5b6c826ae43e9e24a71a77e61f92137396cad60649472e05,migration_evidence_only,FORK_ADAPT,packages/cmf_video_editing_runtime/src/cmf_video_editing_runtime/service.py,Bind to current Timeline IR and format-native runtime plans.
SRC-LEG-008,legacy_archive,src/ccp_studio/services/video_timeline_service.py,ad3350e56122474d063f6e5bbebee44a57d298ca14f615ba7b9c3d031637a012,migration_evidence_only,FORK,packages/cmf_video_editing_runtime/src/cmf_video_editing_runtime/timeline.py,Deterministic timeline construction.
SRC-LEG-009,legacy_archive,src/ccp_studio/services/video_audio_service.py,27b20631cfdc261dd99d748a172ddf44ce638fa30af816d12ed123b09602faa6,migration_evidence_only,FORK,packages/cmf_video_editing_runtime/src/cmf_video_editing_runtime/audio.py,Audio plan and mix metadata.
SRC-LEG-010,legacy_archive,src/ccp_studio/services/video_caption_service.py,894a20db54aedc80a5cf691f4edff6560a2148a0206095c37364e04a4801094a,migration_evidence_only,FORK,packages/cmf_video_editing_runtime/src/cmf_video_editing_runtime/captions.py,Caption planning contract; renderer-specific realization stays in adapters.
SRC-LEG-011,legacy_archive,src/ccp_studio/services/video_media_probe_service.py,10ef27499d7bc52995de2670d7c63e8d563efe37bf402d8b29a1f4b89357c1cc,migration_evidence_only,FORK,packages/cmf_ffmpeg_adapter/src/cmf_ffmpeg_adapter/probe.py,Media inspection via ffprobe.
SRC-LEG-012,legacy_archive,src/ccp_studio/services/video_source_asset_service.py,40ef7cdde27586686901c08e2e917c7284d211b936959c73c57125e08455857c,migration_evidence_only,FORK_ADAPT,packages/cmf_video_editing_runtime/src/cmf_video_editing_runtime/source_assets.py,Source media registry and lineage.
SRC-LEG-013,legacy_archive,src/ccp_studio/contracts/deterministic_rendering.py,5276c9d137f6cdc3484fcf3d4296ac885f628776291f28d38975961816645829,migration_evidence_only,FORK,packages/cmf_render_contracts/src/cmf_render_contracts/contracts.py,Renderer-neutral render requests/results.
SRC-LEG-014,legacy_archive,src/ccp_studio/services/deterministic_rendering_service.py,3ddd14e32e785e2879f037330691cb84979bb5df2e072a792446a3bcbfeff054,migration_evidence_only,FORK_ADAPT,packages/cmf_render_contracts/src/cmf_render_contracts/service.py,Separate technical rendering from semantic acceptance.
SRC-LEG-015,legacy_archive,src/ccp_studio/contracts/remotion_ffmpeg_render_adapter.py,ae99f9540699f88e7d2487b1c2600c8d1cacfbb8d4f19ae7c55d2530c4e4b4ec,migration_evidence_only,FORK_SPLIT,packages/cmf_remotion_adapter/ and packages/cmf_ffmpeg_adapter/,Split combined adapter into independent runtime packages.
SRC-LEG-016,legacy_archive,src/ccp_studio/services/remotion_render_adapter_service.py,0048273bf8f2710063ce13754de4e4b5cfff0ffdd8b895a6dc965a12928fc50a,migration_evidence_only,FORK_ADAPT,packages/cmf_remotion_adapter/src/cmf_remotion_adapter/service.py,Activate against a verified Remotion composer project.
SRC-LEG-017,legacy_archive,src/ccp_studio/services/ffmpeg_finish_adapter_service.py,ddc53803021e3c0cde5c3b171787bb2c74c09cb52019be3350d956bf384202e3,migration_evidence_only,FORK_ACTIVATE,packages/cmf_ffmpeg_adapter/src/cmf_ffmpeg_adapter/finish.py,First-class media editing and post-production.
SRC-LEG-018,legacy_archive,src/ccp_studio/services/remotion_ffmpeg_render_orchestrator_service.py,0bdd81376e167f92e1d842b80761e57b44981d8a0ca7d63744b764f30df1ccd9,migration_evidence_only,REPLACE_WITH_PIPELINE_BINDING,src/cmf_pipeline/adapters/runtimes/runtime_router.py,"The Pipeline binding, not legacy orchestration, chooses an authorized runtime."
SRC-LEG-019,legacy_archive,src/ccp_studio/contracts/render_qa.py,b3e4aa987d23113438ac1ee023c0f447738dbc4909bd37416834c9485d8380f0,migration_evidence_only,FORK,packages/cmf_render_qa/src/cmf_render_qa/contracts.py,Technical QA contracts and receipts.
SRC-LEG-020,legacy_archive,src/ccp_studio/services/render_qa_service.py,01ec1c91c05672610794efb97d188dbcef5cf6ef5e5f22c1565f36f19e390dd8,migration_evidence_only,FORK_ADAPT,packages/cmf_render_qa/src/cmf_render_qa/service.py,Add Visual Syntax reparse and separate technical vs creative evaluation.
SRC-LEG-021,legacy_archive,src/ccp_studio/services/ffprobe_validation_service.py,9e345420ef3b55e0676b10e1cf994a7dc8602cc6cac6d8f6f0fd2cdadeaf3f61,migration_evidence_only,FORK_ACTIVATE,packages/cmf_render_qa/src/cmf_render_qa/ffprobe.py,Technical media validation.
SRC-LEG-022,legacy_archive,src/ccp_studio/services/frame_sampling_service.py,41b55520aa1bb1e6cea76002fa7e6acb73047ce239f682108f7fa69b1e4ef98c,migration_evidence_only,FORK_ACTIVATE,packages/cmf_render_qa/src/cmf_render_qa/frame_sampling.py,Deterministic frame sampling for review/evaluation.
SRC-LEG-023,legacy_archive,src/ccp_studio/services/audio_level_analysis_service.py,e39a1a88d9c631714c6dedcdfd47abda1db98e2e55f20de6dd5876f2d20484c4,migration_evidence_only,FORK_ACTIVATE,packages/cmf_render_qa/src/cmf_render_qa/audio_levels.py,Audio-level evidence.
SRC-LEG-024,legacy_archive,src/ccp_studio/services/carousel_engine_service.py,3b9e6042ae490ccc221a923da4d96ccacabb19ace0c908fbbf9b528fe6d8315a,migration_evidence_only,FORK_ADAPT,packages/cmf_static_skia_runtime/src/cmf_static_skia_runtime/carousel.py,Map to current Carousel category laws and future ratified format profiles.
SRC-LEG-025,legacy_archive,src/ccp_studio/services/carousel_render_service.py,2e0477aecc0f12fcd4b5848f4169ee97a9a2804f593c37eb3c31692233173fd1,migration_evidence_only,REPLACE_ACTIVATE,packages/cmf_static_skia_runtime/src/cmf_static_skia_runtime/render.py,Replace synthetic references with actual Skia artifacts.
SRC-LEG-026,legacy_archive,src/ccp_studio/services/supervisual_runtime_service.py,8174d3e0513412f2c8cf7e00d67ff5207d3eccf9c84775162ea228bec88e6aa9,migration_evidence_only,FORK_ADAPT,packages/cmf_static_skia_runtime/src/cmf_static_skia_runtime/supervisual.py,Map to current SuperVisual category laws and ratified profiles.
SRC-LEG-027,legacy_archive,src/ccp_studio/services/supervisual_project_service.py,ad98845fac487a89f978b3036e02eac58347fcd7b33b9b7d7ad75df514fdda97,migration_evidence_only,FORK_ADAPT,packages/cmf_static_skia_runtime/src/cmf_static_skia_runtime/projects.py,Project/version lifecycle for static compositions.
SRC-LEG-028,legacy_archive,src/ccp_studio/contracts/asset_program_compilers.py,b8f018ae42956618e2466465faeb33912824e005c5c7878fb266d7c985638ca3,migration_evidence_only,FORK_ADAPT,packages/cmf_composition_runtime/src/cmf_composition_runtime/asset_programs.py,Retain typed PRETEXT/SAM3/Rough/Skia bindings; replace placeholders.
SRC-LEG-029,legacy_archive,src/ccp_studio/services/asset_program_compiler_service.py,b4726def1d6917ab2dfc399972d89418e9ae2bcfc4f72bfe5d7612dd312f48fc,migration_evidence_only,FORK_ADAPT,packages/cmf_composition_runtime/src/cmf_composition_runtime/asset_program_compiler.py,Compile current transformation contracts into runtime-neutral plans.
SRC-LEG-030,legacy_archive,src/ccp_studio/providers/generative.py,d0183a068f2d8e79b8cb549d682cdb35e5645b3211f7cfe8abda8e363b5b9ea8,migration_evidence_only,REWRITE_PROVIDER_BOUNDARY,02_VISUAL_ASSET_EDITOR/src/cmf_vae/adapters/,Replace placeholder provider responses with governed VAE adapters.
SRC-LEG-031,legacy_archive,src/ccp_studio/providers/segment_anything_adapter.py,4d085144912e2fbb0536490a1093857cf4afd51e306970313dbd6a003b34b1cd,migration_evidence_only,REPLACE_WITH_REAL_ADAPTER,02_VISUAL_ASSET_EDITOR/src/cmf_vae/adapters/sam3/,Implement actual SAM3 image/video masks and tracking.
SRC-LEG-032,legacy_archive,src/ccp_studio/services/format02_golden_path_orchestrator_service.py,d10bf54a667cf389d08c289b3bdebf651e2743287becb8b7716720c14102de2d,migration_evidence_only,ADAPT_REFERENCE_SLICE,src/cmf_pipeline/reference_slices/format02/,Use as compatibility evidence; remove fake render/approval implications.
SRC-LEG-033,legacy_archive,docs/audits/CMF_VISUAL_GEOMETRICS_SKIA_SAM3_PRETEXT_AUDIT_2026-06-24.md,402b57e027aecd3daba2dced3add91bcc1d2b107c5dc2166adec8ea3678740af,migration_evidence_only,RETAIN_EVIDENCE,stage1/legacy-evidence/,Existing execution-spine audit.
SRC-LEG-034,legacy_archive,docs/prd/modules/PRD_CMF_07_Editing_Composition_Rendering.md,d8a65762d077ac553fe8d2ccf0e149fb79cc61d116628397f0d2453369667dba,migration_evidence_only,RETAIN_EVIDENCE,stage1/legacy-evidence/,Legacy editing/composition/rendering intent.
SRC-LEG-035,legacy_archive,docs/prd/modules/PRD_CMF_13_OpenMontage_Inspired_Production_Orchestration_Adapters.md,047af694a83e97d7d3c47790a821d0ae564170f1a4a0459a2e9c6ee87fd7def3,migration_evidence_only,RETAIN_EVIDENCE,stage1/legacy-evidence/,Legacy OpenMontage-class production automation requirements.
SRC-LEG-036,legacy_archive,docs/tech-specs/TS-CMF-095-geometrics-still-visual-composition-runtime-skia-sam3-pretext.md,b2b313874608c07707b7e4e8c51a3900754960d535265409c3b70e144d2195e5,migration_evidence_only,RETAIN_AND_ADAPT,packages/cmf_static_skia_runtime/docs/,Static visual runtime specification.
SRC-LEG-037,legacy_archive,docs/tech-specs/TS-CMF-096-carousel-slide-composition-library-and-sequence-builder.md,d583495e7e76eeb6a6602c2a264f159826b590103dbdf843ee69777871b71287,migration_evidence_only,RETAIN_AND_ADAPT,packages/cmf_static_skia_runtime/docs/,Carousel sequence specification.
SRC-LEG-038,legacy_archive,docs/tech-specs/TS-CMF-097-carousel-builder-engine-compiler-workflow-and-skia-export-runtime.md,f0656d0b829ef17506adf9d62cff8562d59f24cace817ea0d5d6526045fc1287,migration_evidence_only,RETAIN_AND_ADAPT,packages/cmf_static_skia_runtime/docs/,Carousel compiler and Skia export specification.
SRC-LEG-039,legacy_archive,docs/tech-specs/TS-CMF-098-carousel-composition-atlas-registry-and-router-integration.md,2cec079f126a53e76ed5677c55963994b92b7f8781cd45d0258ca08ead04a2f7,migration_evidence_only,RETAIN_AS_CANDIDATE_EVIDENCE,stage1/format-evidence/carousels/,Candidate profile and training/benchmark evidence only.
SRC-LEG-040,legacy_archive,docs/tech-specs/TS-CMF-099-single-image-post-engine-supervisual-router-and-skia-runtime.md,3dcc1b5fd504a00d08ee98c7f086448a364b23f354306fa934e2d9f8aeadee00,migration_evidence_only,RETAIN_AND_ADAPT,packages/cmf_static_skia_runtime/docs/,SuperVisual runtime specification.
SRC-LEG-041,legacy_archive,docs/tech-specs/TS-CMF-102-supervisual-composition-families-and-primitive-triad-contracts.md,78c0c6cecb885afa262b6dbf690e496a1ecb05a4fe59ffe913afa3838dadd5ec,migration_evidence_only,RETAIN_AS_CANDIDATE_EVIDENCE,stage1/format-evidence/supervisuals/,Candidate composition-family evidence.
SRC-LEG-042,legacy_archive,registries/canonical/format_intelligence/formats.v1.json,7c06d0ee2884ae142426c576ed47159541a57790f7b2d7fdd2a6c0a8e3f480c1,migration_evidence_only,MIGRATION_EVIDENCE_ONLY,stage1/legacy-evidence/formats/,Legacy IDs cannot override current Builder registry.
SRC-LEG-043,legacy_archive,registries/canonical/format_intelligence/sub_formats.v1.json,c2b36cfc4ee8263ec60585a6a33d5e580a4869b807ad49f5b581c0368624f1ff,migration_evidence_only,MIGRATION_EVIDENCE_ONLY,stage1/legacy-evidence/formats/,Legacy subformat candidates require current ratification.
SRC-LEG-044,legacy_archive,registries/canonical/format_intelligence/carousel_format_profiles.v1.json,f081ccaf6c564f2535abe1792281aaff20b2d973c751bb722a87477e89bb46f5,migration_evidence_only,MIGRATION_EVIDENCE_ONLY,stage1/format-evidence/carousels/,Candidate profiles only.
SRC-LEG-045,legacy_archive,registries/canonical/format_intelligence/supervisual_format_profiles.v1.json,e2b30932f4062410ad8b396e2ec9058b97afca3108d698fcd74ea217c9358bb7,migration_evidence_only,MIGRATION_EVIDENCE_ONLY,stage1/format-evidence/supervisuals/,Candidate profiles only.
SRC-EXT-001,external_primary_or_user_supplied,file:///mnt/data/Agentic Prompt Enhancer for Image Generation and.pdf,,reference_only,REFERENCE,,Trainable small prompt enhancers; router–rewriter–composer and downstream-output reward.
SRC-EXT-002,external_primary_or_user_supplied,https://huggingface.co/openbmb/MiniCPM5-1B,,reference_only,REFERENCE,,1.08B candidate for compact structured Programmed Models; benchmark before adoption.
SRC-EXT-003,external_primary_or_user_supplied,https://huggingface.co/Qwen/Qwen3.5-4B,,reference_only,REFERENCE,,4B multimodal candidate for visual planning and diagnosis.
SRC-EXT-004,external_primary_or_user_supplied,https://huggingface.co/Qwen/Qwen3.6-27B,,reference_only,REFERENCE,,27B multimodal teacher and difficult-case reference.
SRC-EXT-005,external_primary_or_user_supplied,https://huggingface.co/nvidia/Nemotron-3-Embed-1B-BF16,,reference_only,REFERENCE,,Text/code dense retrieval candidate after deterministic eligibility filtering.
SRC-EXT-006,external_primary_or_user_supplied,https://github.com/cactus-compute/needle,,reference_only,REFERENCE,,Late compression candidate for stable atomic operation routing.
SRC-EXT-007,external_primary_or_user_supplied,https://github.com/calesthio/OpenMontage,,reference_only,REFERENCE,,Agentic production/editing reference; AGPL review required before code reuse.
SRC-EXT-008,external_primary_or_user_supplied,https://github.com/chenglou/pretext,,reference_only,REFERENCE,,Deterministic multiline text measurement and layout.
SRC-EXT-009,external_primary_or_user_supplied,https://roughnotation.com/,,reference_only,REFERENCE,,Typed hand-drawn annotation cue implementation reference.
SRC-EXT-010,external_primary_or_user_supplied,https://github.com/facebookresearch/sam3,,reference_only,REFERENCE,,Promptable image/video segmentation and tracking provider candidate.
SRC-EXT-011,external_primary_or_user_supplied,https://github.com/egeorcun/lucida,,reference_only,REFERENCE,,Alpha matting/background-removal candidate; benchmark and license review required.
SRC-EXT-012,external_primary_or_user_supplied,https://www.remotion.dev/,,reference_only,REFERENCE,,React-based programmatic temporal composition reference.
SRC-EXT-013,external_primary_or_user_supplied,https://hyperframes.video/docs,,reference_only,REFERENCE,,HTML/CSS/GSAP deterministic temporal composition reference.
SRC-EXT-014,external_primary_or_user_supplied,https://www.ffmpeg.org/documentation.html,,reference_only,REFERENCE,,"Media processing, editing, finishing and technical inspection."
SRC-EXT-015,external_primary_or_user_supplied,https://api.skia.org/,,reference_only,REFERENCE,,2D static graphics reference embodiment.
