spec_id,title,product_owner,gate,target_path,primary_fr_ids,primary_story_ids,source_refs,status
TS-AHP-006,"Durable Events, Checkpoints, Replay, Cancellation, Migration, and Recovery",Atomic Harness Pipeline,GATE_A,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-AHP-006.md,FR-025;FR-026;FR-027;FR-028;FR-029;FR-030,ST-06.01,SRC-CUR-010;SRC-CUR-017;SRC-LEG-002;SRC-LEG-003,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-AHP-007,"Execution Fingerprints, Sandbox, Continuous Assurance, and Incident Containment",Atomic Harness Pipeline,GATE_A,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-AHP-007.md,FR-103;FR-104;FR-105;FR-106;FR-107;FR-108,ST-06.02;ST-06.03,SRC-CUR-010;SRC-EXT-001,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-RET-001,Authority-First Hybrid Retrieval and JIT Execution Capsule Compiler,Atomic Harness Pipeline,GATE_A,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-RET-001.md,FR-019;FR-020;FR-021;FR-022;FR-023;FR-024,ST-07.01,SRC-CUR-009;SRC-CUR-020;SRC-EXT-005,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-SKL-001,"Canonical Skills, Skill Composition Recipes, Steering Recipes, and Transformation Contracts",Atomic Harness Pipeline,GATE_A,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-SKL-001.md,FR-031;FR-032;FR-033;FR-034;FR-035;FR-036,ST-07.02,SRC-CUR-009;SRC-CUR-020,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-PM-001,"Programmed Model Artifact, Claim, Model Program, Lifecycle, and Resolver",Atomic Harness Pipeline,GATE_B,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-PM-001.md,FR-037;FR-038;FR-039;FR-040;FR-041;FR-042,ST-07.03,SRC-CUR-008;SRC-CUR-015;SRC-EXT-001;SRC-EXT-002;SRC-EXT-003;SRC-EXT-004;SRC-EXT-006,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-AHP-008,"Adaptive Candidate Search, Comparison, Budget, and Stopping",Atomic Harness Pipeline,GATE_B,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-AHP-008.md,FR-043;FR-044;FR-045;FR-046;FR-047;FR-048,ST-07.04,SRC-CUR-018;SRC-EXT-001,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-VID-001,Existing VideoEditProgram Adoption and Canonical Source Media Intake,Atomic Harness Pipeline,GATE_A,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-VID-001.md,FR-067;FR-068,ST-04.01,SRC-CUR-007;SRC-LEG-006;SRC-LEG-007;SRC-LEG-008;SRC-LEG-009;SRC-LEG-010;SRC-LEG-011;SRC-LEG-012;SRC-AM-001;SRC-EXT-017;SRC-EXT-018;SRC-EXT-019;SRC-INT-001;SRC-INT-002;SRC-INT-003;SRC-AM-002;SRC-EXT-020;SRC-EXT-023,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-VID-002,"Talking-Head A-Roll Selection, Word-Boundary EDL, and Output-Time Mapping",Atomic Harness Pipeline,GATE_B,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-VID-002.md,FR-069;FR-139;FR-140;FR-141,ST-04.02,SRC-AM-002;SRC-EXT-017;SRC-EXT-020;SRC-EXT-023;SRC-EXT-024;SRC-LEG-006;SRC-LEG-007;SRC-EXT-018;SRC-EXT-019;SRC-INT-001,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-VID-003,"Captions, Audio, Evidence, B-Roll, Reframing, and Motion-Slot Planning",Atomic Harness Pipeline,GATE_B,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-VID-003.md,FR-070;FR-142,ST-04.03,SRC-EXT-017;SRC-EXT-018;SRC-EXT-019;SRC-EXT-021;SRC-EXT-022;SRC-LEG-008;SRC-LEG-009;SRC-LEG-010;SRC-CUR-014,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-VID-004,Temporal Embodiment Binding and FFmpeg Production-Correctness,Atomic Harness Pipeline,GATE_B,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-VID-004.md,FR-071;FR-072,ST-04.04,SRC-EXT-018;SRC-EXT-019;SRC-EXT-025;SRC-LEG-013;SRC-LEG-014;SRC-LEG-015;SRC-EXT-017;SRC-LEG-011;SRC-LEG-012,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-VID-005,"Remotion, HyperFrames, FFmpeg Render, QA, and Export Adapters",Atomic Harness Pipeline,GATE_B,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-VID-005.md,FR-073;FR-074;FR-075;FR-076;FR-077;FR-078,ST-04.05,SRC-LEG-013;SRC-LEG-014;SRC-LEG-015;SRC-LEG-016;SRC-LEG-017;SRC-LEG-018;SRC-EXT-007;SRC-EXT-012;SRC-EXT-013;SRC-EXT-014,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-VID-006,Rendered Cut-Boundary Evaluation and Bounded Temporal Repair,Atomic Harness Pipeline,GATE_B,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-VID-006.md,FR-143;FR-144,ST-04.06,SRC-EXT-017;SRC-CUR-018;SRC-AM-001;SRC-CUR-019,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-STA-001,"Composition IR, PRETEXT, Geometry, Annotation, and Skia Runtime",Atomic Harness Pipeline,GATE_B,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-STA-001.md,FR-049;FR-050;FR-051;FR-052;FR-053;FR-054,ST-05.01,SRC-CUR-014;SRC-LEG-004;SRC-LEG-005;SRC-LEG-028;SRC-LEG-029;SRC-LEG-033;SRC-LEG-036;SRC-EXT-008;SRC-EXT-009;SRC-EXT-015,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-CAR-001,Source-Grounded Carousel Runtime and Export Package,Atomic Harness Pipeline,GATE_B,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-CAR-001.md,FR-055;FR-056;FR-057;FR-058;FR-059;FR-060;FR-145,ST-05.02,SRC-CUR-007;SRC-LEG-024;SRC-LEG-025;SRC-LEG-037;SRC-LEG-038;SRC-LEG-039;SRC-INT-001,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-SPV-001,Source-Grounded SuperVisual Runtime and Export Package,Atomic Harness Pipeline,GATE_B,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-SPV-001.md,FR-061;FR-062;FR-063;FR-064;FR-065;FR-066;FR-146,ST-05.03,SRC-CUR-007;SRC-LEG-026;SRC-LEG-027;SRC-LEG-040;SRC-LEG-041;SRC-INT-001,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-ANI-001,Source-Grounded Non-Format-02 2D Animation Derivative Runtime,Atomic Harness Pipeline,GATE_B,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-ANI-001.md,FR-147;FR-148,ST-05.04,SRC-EXT-019;SRC-EXT-025;SRC-AM-001;SRC-INT-001,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-BATCH-001,"Cross-Derivative Continuity, Lineage, Usage, and Audit Export",Atomic Harness Pipeline,GATE_B,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-BATCH-001.md,FR-149;FR-150,ST-05.05,SRC-CUR-020;SRC-INT-001;SRC-CUR-022;SRC-AM-001,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-DEL-001,"Source-Grounded Visual Asset Demand, Asset Result, Geometry, and Usage Acknowledgement",Delegation + Pipeline + VAE,GATE_B,03_DELEGATION_PROTOCOL/docs/architecture/TS-DEL-001.md,FR-085;FR-086;FR-090,ST-08.01,SRC-CUR-014;SRC-CUR-016;SRC-CUR-022;SRC-AM-002;SRC-INT-001;SRC-CUR-018;SRC-CUR-019,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-VAE-BOUND-001,"VAE Provider Ownership for SAM3, Lucida, Layered Generation, ComfyUI, and Google GNM",Visual Asset Editor,GATE_B,02_VISUAL_ASSET_EDITOR/docs/architecture/TS-VAE-BOUND-001.md,FR-087;FR-088;FR-089,ST-08.02,SRC-CUR-013;SRC-CUR-015;SRC-CUR-016;SRC-MIG-001;SRC-EXT-026;SRC-AM-002,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-EVAL-001,Deterministic and Independent Evaluation Profiles,Atomic Harness Pipeline + Evaluation Authority,GATE_B,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-EVAL-001.md,FR-091;FR-092,ST-09.01,SRC-CUR-018;SRC-CUR-019;SRC-LEG-019;SRC-LEG-020;SRC-LEG-021;SRC-LEG-022;SRC-LEG-023,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-EVAL-002,Rendered Visual Syntax Reparse and Responsible-Layer Diagnosis,Atomic Harness Pipeline + Evaluation Authority,GATE_B,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-EVAL-002.md,FR-093;FR-094,ST-09.02,SRC-CUR-018;SRC-CUR-019;SRC-LEG-019;SRC-LEG-020;SRC-LEG-021;SRC-LEG-022;SRC-LEG-023,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-EVAL-003,"Selective Repair, Invalidation, Repair Limits, and Human Escalation",Atomic Harness Pipeline,GATE_B,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-EVAL-003.md,FR-095;FR-096,ST-09.03,SRC-CUR-018;SRC-CUR-019;SRC-LEG-019;SRC-LEG-020;SRC-LEG-021;SRC-LEG-022;SRC-LEG-023,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-LEARN-001,"Production Episode, Human Resolution, and Responsible-Layer Attribution",Atomic Harness Pipeline + Studio,GATE_B,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-LEARN-001.md,FR-097;FR-098,ST-10.01,SRC-CUR-020;SRC-AM-001;SRC-AM-002;SRC-EXT-001;SRC-EXT-005,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-LEARN-002,"Source authority-Aware Corpora, Preference Evidence, Steering Recipe Promotion, and No-Live-Mutation",Knowledge + Programmed Model Studio,GATE_B,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-LEARN-002.md,FR-099;FR-100;FR-101;FR-102,ST-10.02,SRC-CUR-020;SRC-AM-001;SRC-AM-002,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-CAS-001,Natural-Language Revision Compiler and ChangeRequestProgram,Conscious Activations Studio + Pipeline,GATE_B,CONSCIOUS_ACTIVATIONS_STUDIO/docs/architecture/TS-CAS-001.md,FR-151;FR-153,ST-10.03,SRC-AM-001;SRC-AM-002;SRC-CUR-010,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-CAS-002,Direct Manipulation Command Adapter and Selective Rerun,Conscious Activations Studio + Pipeline,GATE_B,CONSCIOUS_ACTIVATIONS_STUDIO/docs/architecture/TS-CAS-002.md,FR-152;FR-154,ST-10.04,SRC-AM-001;SRC-EXT-021;SRC-EXT-022;SRC-CUR-019;SRC-EXT-017,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-CAS-003,"HumanResolutionEpisode Ledger, Retrieval Indexing, and Programming-Material Disposition",Conscious Activations Studio + Knowledge/Model,GATE_B,CONSCIOUS_ACTIVATIONS_STUDIO/docs/architecture/TS-CAS-003.md,FR-155;FR-156,ST-10.05,SRC-AM-001;SRC-CUR-020,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-CAS-004,"Source-to-Batch Control Tower, Category Workbenches, Evidence, Health, and Audit Export",Conscious Activations Studio,GATE_B,CONSCIOUS_ACTIVATIONS_STUDIO/docs/architecture/TS-CAS-004.md,FR-109;FR-110;FR-112;FR-113;FR-114,ST-10.06,SRC-AM-001;SRC-AM-002;SRC-INT-001;SRC-MIG-001;SRC-EXT-021;SRC-EXT-022;SRC-CUR-020;SRC-EXT-027;SRC-EXT-028;SRC-EXT-018;SRC-EXT-019;SRC-EXT-026,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-CAS-005,"Campaign Order, Shared Shell, Autonomy Modes, and Exception Review",Conscious Activations Studio + Pipeline,GATE_B,CONSCIOUS_ACTIVATIONS_STUDIO/docs/architecture/TS-CAS-005.md,FR-111;FR-157;FR-158;FR-159;FR-160,ST-10.07,SRC-AM-001;SRC-AM-002;SRC-INT-001;SRC-MIG-001,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-CAS-006,Ship/Publish Authority and Harness-to-Studio Surface Routing,Conscious Activations Studio,GATE_B,CONSCIOUS_ACTIVATIONS_STUDIO/docs/architecture/TS-CAS-006.md,FR-161;FR-162,ST-10.08,SRC-AM-001;SRC-AM-002;SRC-CUR-004;SRC-CUR-010,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-REL-001,"Format 02 Deferral, Historical Evidence Isolation, and Future Activation Gate",Program Control,GATE_A,CMF_PROGRAM_CONTROL/docs/architecture/TS-REL-001.md,FR-079;FR-080;FR-081;FR-082;FR-083;FR-084,ST-11.01,SRC-AM-001;SRC-CUR-006;SRC-CUR-021;SRC-MIG-001;SRC-EXT-018;SRC-EXT-019;SRC-EXT-025,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-REL-002,"Source-First Release Evidence, Expansion Claims, and Implementation Handoff",Program Control + Pipeline,GATE_A,CMF_PROGRAM_CONTROL/docs/architecture/TS-REL-002.md,FR-115;FR-116;FR-118;FR-119;FR-120,ST-11.02;ST-11.03;ST-11.04,SRC-INT-001;SRC-AM-001;SRC-AM-002;SRC-EXT-017;SRC-MIG-001;SRC-CUR-018;SRC-CUR-019;SRC-CUR-003;SRC-CUR-021;SRC-MIG-002;SRC-TREE-001;SRC-SPEC-001,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-ARC-001,"Psychological Role, Matrix of Edging, Archetype Coalition, Guest Voice DNA, and Final Script Compiler",Atomic Harness Pipeline + Interview Expression,GATE_A,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-ARC-001.md,FR-163;FR-164;FR-165;FR-166;FR-167;FR-168,ST-12.01;ST-12.02;ST-12.03;ST-12.04,SRC-DOCT-001;SRC-DOCT-002;SRC-DOCT-003;SRC-DOCT-005;SRC-DOCT-006;SRC-INT-001;SRC-INT-002;SRC-INT-003,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-PRIM-001,"Primitive Family Query, Binding, Coalition Contract, Steering Recipe Crosswalk, and Primitive Evaluation",Atomic Harness Pipeline,GATE_A,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-PRIM-001.md,FR-169;FR-170;FR-171;FR-172;FR-173;FR-174,ST-12.05;ST-12.06;ST-12.07;ST-12.08,SRC-DOCT-001;SRC-DOCT-005;SRC-DOCT-007;SRC-DOCT-008;SRC-DOCT-009;SRC-CUR-020,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-BRAND-001,"Brand Context Version, Voice DNA, Visual DNA, RSCS, CCV, SDA/SFL, Negative Space, and Anti-Centroid Integrity",Atomic Harness Pipeline + Studio,GATE_A,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-BRAND-001.md,FR-175;FR-176;FR-177;FR-178;FR-179;FR-180,ST-13.01;ST-13.02;ST-13.03;ST-13.04,SRC-DOCT-001;SRC-DOCT-003;SRC-DOCT-004;SRC-DOCT-005;SRC-DOCT-006;SRC-DOCT-007;SRC-DOCT-008,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
