story_id,epic_id,story_title,primary_fr_ids,candidate_tech_specs,source_refs
ST-10.01,E10,Persist complete production episodes and causal attribution,FR-097;FR-098,TS-LEARN-001,SRC-CUR-020;SRC-AM-001;SRC-AM-002;SRC-EXT-001;SRC-EXT-005
ST-10.02,E10,Build operator-authorized datasets and promote recipes safely,FR-099;FR-100;FR-101;FR-102,TS-LEARN-002,SRC-CUR-020;SRC-AM-001;SRC-AM-002
ST-10.03,E10,Compile natural-language revision requests,FR-151;FR-153,TS-CAS-001,SRC-AM-001;SRC-AM-002;SRC-CUR-010
ST-10.04,E10,Commit direct manipulation through selective rerun,FR-152;FR-154,TS-CAS-002,SRC-AM-001;SRC-EXT-021;SRC-EXT-022;SRC-CUR-019;SRC-EXT-017
ST-10.05,E10,Capture HumanResolutionEpisodes and use them as scoped programming material,FR-155;FR-156,TS-CAS-003,SRC-AM-001;SRC-CUR-020
ST-10.06,E10,Operate the source-to-batch Control Tower,FR-109;FR-110;FR-112;FR-113;FR-114,TS-CAS-004,SRC-AM-001;SRC-AM-002;SRC-INT-001;SRC-MIG-001;SRC-EXT-021;SRC-EXT-022;SRC-CUR-020;SRC-EXT-027;SRC-EXT-028;SRC-EXT-018;SRC-EXT-019;SRC-EXT-026
ST-10.07,E10,Launch campaigns and govern autonomy and exceptions,FR-111;FR-157;FR-158;FR-159;FR-160,TS-CAS-005,SRC-AM-001;SRC-AM-002;SRC-INT-001;SRC-MIG-001
ST-10.08,E10,Ship through bound Studio surfaces and publication authority,FR-161;FR-162,TS-CAS-006,SRC-AM-001;SRC-AM-002;SRC-CUR-004;SRC-CUR-010
ST-11.01,E11,Enforce Format 02 deferral and preserve historical evidence,FR-079;FR-080;FR-081;FR-082;FR-083;FR-084,TS-REL-001,SRC-AM-001;SRC-CUR-006;SRC-CUR-021;SRC-MIG-001;SRC-EXT-018;SRC-EXT-019;SRC-EXT-025
ST-11.02,E11,Prove the real source-first Release 1 slice,FR-115;FR-116,TS-REL-002,SRC-INT-001;SRC-AM-001;SRC-AM-002;SRC-EXT-017;SRC-MIG-001;SRC-CUR-018;SRC-CUR-019
ST-11.03,E11,Expand boundaries and maintain truthful claim states,FR-118;FR-119,TS-REL-002,SRC-CUR-003;SRC-AM-001;SRC-AM-002;SRC-CUR-021;SRC-MIG-001
ST-11.04,E11,Generate the canonical implementation handoff,FR-120,TS-REL-002,SRC-MIG-001;SRC-MIG-002;SRC-TREE-001;SRC-SPEC-001
ST-12.01,E12,Declare role-in-tension and compile Matrix of Edging,FR-163;FR-164,TS-ARC-001,SRC-DOCT-001;SRC-INT-002;SRC-INT-003
ST-12.02,E12,Compile the archetype coalition,FR-165,TS-ARC-001,SRC-DOCT-002;SRC-DOCT-005
ST-12.03,E12,Write and approve the Guest Voice DNA Final Script,FR-166;FR-167,TS-ARC-001,SRC-DOCT-002;SRC-DOCT-003;SRC-DOCT-006
ST-12.04,E12,Preserve doctrine lineage across embodiments,FR-168,TS-ARC-001,SRC-DOCT-001;SRC-DOCT-002;SRC-DOCT-009
ST-12.05,E12,Query Primitive Families and bind candidates,FR-169;FR-170,TS-PRIM-001,SRC-DOCT-007;SRC-DOCT-008;SRC-DOCT-009
ST-12.06,E12,Compile coalition signature and Edge Product,FR-171;FR-172,TS-PRIM-001,SRC-DOCT-001;SRC-DOCT-005;SRC-DOCT-009
ST-12.07,E12,Retrieve Steering Recipes from the coalition,FR-173,TS-PRIM-001,SRC-CUR-020;SRC-DOCT-009;SRC-EXT-027
ST-12.08,E12,"Evaluate primitive coverage, misuse, and fatality",FR-174,TS-PRIM-001,SRC-DOCT-007;SRC-DOCT-008;SRC-DOCT-009
ST-13.01,E13,"Bind Brand Context, Voice DNA, and Visual DNA",FR-175;FR-176,TS-BRAND-001,SRC-DOCT-002;SRC-DOCT-003;SRC-DOCT-004
ST-13.02,E13,Run RSCS Distillation Layers,FR-177,TS-BRAND-001,SRC-DOCT-006;SRC-DOCT-001
ST-13.03,E13,Generate controlled variation through CCV and SDA/SFL,FR-178;FR-179,TS-BRAND-001,SRC-DOCT-005;SRC-DOCT-006;SRC-DOCT-007;SRC-DOCT-008
ST-13.04,E13,"Prove Source Fidelity, Negative Space, and Edge Integrity",FR-180,TS-BRAND-001,SRC-DOCT-001;SRC-DOCT-003;SRC-DOCT-004;SRC-DOCT-006
