fr_id,feature_id,title,lifecycle,normative_requirement,trigger_preconditions,required_output_state,authority_invariants,positive_acceptance,adversarial_denial,required_evidence,decisions,sources,primary_story,candidate_tech_spec
FR-011,F02,Fail on unresolved ownership,PRESERVED_AND_DEEPENED,"A required capability without an explicit eligible implementation, human gate or external-product route shall block execution before any side effect.","When a validated run, planning action, or operator request requires `Fail on unresolved ownership` within feature F02.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Builder remains canonical. | Bindings select implementations but do not mutate Harness semantics. | Unresolved capability ownership blocks side effects.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then a required capability without an explicit eligible implementation, human gate or external-product route shall block execution before any side effect and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","schema/hash validation, graph reconciliation, binding manifest, compatibility tests, supersession and replay, linked to an immutable requirement receipt.",D006;D007;D008;D032;D033,SRC-CUR-004;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001,ST-03.01,TS-AHP-002
FR-012,F02,Support supersession and invalidation,PRESERVED_AND_DEEPENED,"Bindings and imported Harnesses shall support immutable supersession, revocation, migration impact and historical replay.","When a validated run, planning action, or operator request requires `Support supersession and invalidation` within feature F02.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Builder remains canonical. | Bindings select implementations but do not mutate Harness semantics. | Unresolved capability ownership blocks side effects.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then bindings and imported Harnesses shall support immutable supersession, revocation, migration impact and historical replay and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","schema/hash validation, graph reconciliation, binding manifest, compatibility tests, supersession and replay, linked to an immutable requirement receipt.",D006;D007;D008;D032;D033,SRC-CUR-004;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001,ST-03.01,TS-AHP-002
FR-013,F03,Compile phases into Workflow Nodes,PRESERVED_AND_DEEPENED,Each phase shall contain explicit Workflow Nodes that reference the capabilities they realize and the typed handoffs between them.,"When a validated run, planning action, or operator request requires `Compile phases into Workflow Nodes` within feature F03.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Every node has one declared actor and owner. | Handoffs are typed and validated. | Roles never imply authority beyond their assigned node.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then each phase shall contain explicit Workflow Nodes that reference the capabilities they realize and the typed handoffs between them and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","graph validation, scheduling tests, handoff conformance, actor/role matrices, and node receipts, linked to an immutable requirement receipt.",D009;D010;D011;D020;D037,SRC-CUR-007;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001;SRC-LEG-002;SRC-LEG-003,ST-03.04,TS-AHP-004
FR-014,F03,Declare four independent classifications,PRESERVED_AND_DEEPENED,"Every Workflow Node shall declare execution actor, Capability Ownership class, workflow role and product boundary.","When a validated run, planning action, or operator request requires `Declare four independent classifications` within feature F03.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Every node has one declared actor and owner. | Handoffs are typed and validated. | Roles never imply authority beyond their assigned node.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then every Workflow Node shall declare execution actor, Capability Ownership class, workflow role and product boundary and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","graph validation, scheduling tests, handoff conformance, actor/role matrices, and node receipts, linked to an immutable requirement receipt.",D009;D010;D011;D020;D037,SRC-CUR-007;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001;SRC-LEG-002;SRC-LEG-003,ST-03.04,TS-AHP-004
FR-015,F03,Schedule dependencies deterministically,PRESERVED_AND_DEEPENED,"The scheduler shall enforce acyclic dependencies, gate conditions, eligible parallelism and deterministic ready-order behavior.","When a validated run, planning action, or operator request requires `Schedule dependencies deterministically` within feature F03.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Every node has one declared actor and owner. | Handoffs are typed and validated. | Roles never imply authority beyond their assigned node.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then the scheduler shall enforce acyclic dependencies, gate conditions, eligible parallelism and deterministic ready-order behavior and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","graph validation, scheduling tests, handoff conformance, actor/role matrices, and node receipts, linked to an immutable requirement receipt.",D009;D010;D011;D020;D037,SRC-CUR-007;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001;SRC-LEG-002;SRC-LEG-003,ST-03.04,TS-AHP-004
FR-016,F03,Validate every handoff,PRESERVED_AND_DEEPENED,A downstream node may start only from a producer output that passed its declared contract and handoff validation.,"When a validated run, planning action, or operator request requires `Validate every handoff` within feature F03.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Every node has one declared actor and owner. | Handoffs are typed and validated. | Roles never imply authority beyond their assigned node.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then a downstream node may start only from a producer output that passed its declared contract and handoff validation and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","graph validation, scheduling tests, handoff conformance, actor/role matrices, and node receipts, linked to an immutable requirement receipt.",D009;D010;D011;D020;D037,SRC-CUR-007;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001;SRC-LEG-002;SRC-LEG-003,ST-03.04,TS-AHP-004
FR-017,F03,Represent humans and products explicitly,PRESERVED_AND_DEEPENED,Human authority and independent product calls shall be visible Workflow Nodes rather than hidden tool calls.,"When a validated run, planning action, or operator request requires `Represent humans and products explicitly` within feature F03.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Every node has one declared actor and owner. | Handoffs are typed and validated. | Roles never imply authority beyond their assigned node.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then human authority and independent product calls shall be visible Workflow Nodes rather than hidden tool calls and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","graph validation, scheduling tests, handoff conformance, actor/role matrices, and node receipts, linked to an immutable requirement receipt.",D009;D010;D011;D020;D037,SRC-CUR-007;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001;SRC-LEG-002;SRC-LEG-003,ST-03.04,TS-AHP-004
FR-018,F03,Emit immutable node receipts,PRESERVED_AND_DEEPENED,"Every node attempt shall record inputs, JIT Capsule, implementation, actions, output, validation, status, timing, cost and lineage.","When a validated run, planning action, or operator request requires `Emit immutable node receipts` within feature F03.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Every node has one declared actor and owner. | Handoffs are typed and validated. | Roles never imply authority beyond their assigned node.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then every node attempt shall record inputs, JIT Capsule, implementation, actions, output, validation, status, timing, cost and lineage and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","graph validation, scheduling tests, handoff conformance, actor/role matrices, and node receipts, linked to an immutable requirement receipt.",D009;D010;D011;D020;D037,SRC-CUR-007;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001;SRC-LEG-002;SRC-LEG-003,ST-03.04,TS-AHP-004
FR-019,F04,Declare node context requirements,PRESERVED_AND_DEEPENED,"Workflow Nodes shall declare typed context slots, authority, freshness, contradiction and budget requirements.","When a validated run, planning action, or operator request requires `Declare node context requirements` within feature F04.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.","Eligibility precedes ranking. | Similarity never determines authority. | Required contradictions, exclusions, and unavailable context remain visible.","Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then workflow Nodes shall declare typed context slots, authority, freshness, contradiction and budget requirements and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","retrieval benchmark, hard-negative tests, context-size reduction, downstream decision lift, and receipts, linked to an immutable requirement receipt.",D013;D014;D015;D016;D017;D034,SRC-CUR-009;SRC-CUR-020;SRC-EXT-005,ST-07.01,TS-RET-001
FR-020,F04,Compute eligibility before ranking,PRESERVED_AND_DEEPENED,"The retrieval service shall exclude ineligible authority, lifecycle, Category, profile, identity, embodiment and evidence states before semantic ranking.","When a validated run, planning action, or operator request requires `Compute eligibility before ranking` within feature F04.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.","Eligibility precedes ranking. | Similarity never determines authority. | Required contradictions, exclusions, and unavailable context remain visible.","Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then the retrieval service shall exclude ineligible authority, lifecycle, Category, profile, identity, embodiment and evidence states before semantic ranking and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","retrieval benchmark, hard-negative tests, context-size reduction, downstream decision lift, and receipts, linked to an immutable requirement receipt.",D013;D014;D015;D016;D017;D034,SRC-CUR-009;SRC-CUR-020;SRC-EXT-005,ST-07.01,TS-RET-001
FR-021,F04,Use task-specific hybrid retrieval,PRESERVED_AND_DEEPENED,"Eligible candidates shall be discovered through exact, lexical, dense, graph, visual, syntax and evidence signals appropriate to the task.","When a validated run, planning action, or operator request requires `Use task-specific hybrid retrieval` within feature F04.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.","Eligibility precedes ranking. | Similarity never determines authority. | Required contradictions, exclusions, and unavailable context remain visible.","Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then eligible candidates shall be discovered through exact, lexical, dense, graph, visual, syntax and evidence signals appropriate to the task and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","retrieval benchmark, hard-negative tests, context-size reduction, downstream decision lift, and receipts, linked to an immutable requirement receipt.",D013;D014;D015;D016;D017;D034,SRC-CUR-009;SRC-CUR-020;SRC-EXT-005,ST-07.01,TS-RET-001
FR-022,F04,Preserve contradictions and succession,PRESERVED_AND_DEEPENED,"Retrieval shall include required contradictory, failed and superseding evidence when the node contract requires it.","When a validated run, planning action, or operator request requires `Preserve contradictions and succession` within feature F04.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.","Eligibility precedes ranking. | Similarity never determines authority. | Required contradictions, exclusions, and unavailable context remain visible.","Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then retrieval shall include required contradictory, failed and superseding evidence when the node contract requires it and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","retrieval benchmark, hard-negative tests, context-size reduction, downstream decision lift, and receipts, linked to an immutable requirement receipt.",D013;D014;D015;D016;D017;D034,SRC-CUR-009;SRC-CUR-020;SRC-EXT-005,ST-07.01,TS-RET-001
FR-023,F04,Compile the existing JIT Execution Capsule,PRESERVED_AND_DEEPENED,"The Minimum Complete Context compiler shall populate the current JIT Capsule taxonomy with exact source identities, inclusion reasons and context budget.","When a validated run, planning action, or operator request requires `Compile the existing JIT Execution Capsule` within feature F04.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.","Eligibility precedes ranking. | Similarity never determines authority. | Required contradictions, exclusions, and unavailable context remain visible.","Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then the Minimum Complete Context compiler shall populate the current JIT Capsule taxonomy with exact source identities, inclusion reasons and context budget and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","retrieval benchmark, hard-negative tests, context-size reduction, downstream decision lift, and receipts, linked to an immutable requirement receipt.",D013;D014;D015;D016;D017;D034,SRC-CUR-009;SRC-CUR-020;SRC-EXT-005,ST-07.01,TS-RET-001
FR-024,F04,Record retrieval and context outcomes,PRESERVED_AND_DEEPENED,"Every compilation shall emit a receipt that records filters, candidates, exclusions, ranking, compression, unavailable context and downstream outcome.","When a validated run, planning action, or operator request requires `Record retrieval and context outcomes` within feature F04.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.","Eligibility precedes ranking. | Similarity never determines authority. | Required contradictions, exclusions, and unavailable context remain visible.","Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then every compilation shall emit a receipt that records filters, candidates, exclusions, ranking, compression, unavailable context and downstream outcome and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","retrieval benchmark, hard-negative tests, context-size reduction, downstream decision lift, and receipts, linked to an immutable requirement receipt.",D013;D014;D015;D016;D017;D034,SRC-CUR-009;SRC-CUR-020;SRC-EXT-005,ST-07.01,TS-RET-001
FR-025,F05,Persist immutable execution events,PRESERVED_AND_DEEPENED,"The Pipeline shall persist run, node, handoff, command, receipt and incident events in durable storage.","When a validated run, planning action, or operator request requires `Persist immutable execution events` within feature F05.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",State and receipt commit atomically. | Accepted checkpoints require validation. | Late results and migrations preserve history.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then the Pipeline shall persist run, node, handoff, command, receipt and incident events in durable storage and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","transaction tests, duplicate/retry races, cancellation, replay, backup/restore, and migration evidence, linked to an immutable requirement receipt.",D011;D032;D037;D038,SRC-CUR-010;SRC-CUR-017;SRC-LEG-002;SRC-LEG-003,ST-06.01,TS-AHP-006
FR-026,F05,Commit state and receipt atomically,PRESERVED_AND_DEEPENED,A lifecycle transition and its receipt-bearing command record shall commit as one atomic operation.,"When a validated run, planning action, or operator request requires `Commit state and receipt atomically` within feature F05.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",State and receipt commit atomically. | Accepted checkpoints require validation. | Late results and migrations preserve history.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then a lifecycle transition and its receipt-bearing command record shall commit as one atomic operation and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","transaction tests, duplicate/retry races, cancellation, replay, backup/restore, and migration evidence, linked to an immutable requirement receipt.",D011;D032;D037;D038,SRC-CUR-010;SRC-CUR-017;SRC-LEG-002;SRC-LEG-003,ST-06.01,TS-AHP-006
FR-027,F05,Create accepted checkpoints only after validation,PRESERVED_AND_DEEPENED,"A node checkpoint becomes reusable only after output validation, evidence emission and downstream eligibility pass.","When a validated run, planning action, or operator request requires `Create accepted checkpoints only after validation` within feature F05.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",State and receipt commit atomically. | Accepted checkpoints require validation. | Late results and migrations preserve history.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then a node checkpoint becomes reusable only after output validation, evidence emission and downstream eligibility pass and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","transaction tests, duplicate/retry races, cancellation, replay, backup/restore, and migration evidence, linked to an immutable requirement receipt.",D011;D032;D037;D038,SRC-CUR-010;SRC-CUR-017;SRC-LEG-002;SRC-LEG-003,ST-06.01,TS-AHP-006
