source_id,kind,exact_path,observed_sha_or_blob_sha,authority,disposition,role
SRC-EXT-024,external_reference,github://GVCLab/CutClaw,624a504ba79b9d118b444506d2af278f6f1dc30a,research_evidence_only,REFERENCE,"Long-footage deconstruction, shot_plan/shot_point, parallel selection, and music-sync branch."
SRC-EXT-025,external_reference,github://MangoLion/stretchystudio,ef656d8f51c349f909ad25891dcfde30929b1c54,research_evidence_only,REFERENCE,"Layered PSD rigging, mesh deformation, keyframe timeline, shape keys, and 2D animation embodiment."
SRC-EXT-026,external_reference,github://google/GNM,af3c7b65a67565e157d7b0827e800b51293f810d,research_evidence_only,REFERENCE,"Apache-2.0 parametric 3D head geometry with identity, expression, pose, gaze, and internal anatomy controls; VAE-only bounded route."
SRC-EXT-027,external_reference,github://GoogleCloudPlatform/knowledge-catalog/okf,55d0a46cc988e99aa35cd027964d6278a4f93f35,research_evidence_only,REFERENCE,Portable Markdown/YAML knowledge representation with progressive disclosure and links; base for CMF-OKF profile.
SRC-EXT-028,external_reference,hf://nvidia/Nemotron-3-Embed,,research_evidence_only,REFERENCE_BENCHMARK,Candidate text/code embedding ranker after deterministic eligibility; not visual or authority layer.
SRC-DOCT-001,doctrine_source,THE_CMF_STUDIO(2).zip::Matrix of Edging.md,7ba1858cd9238a63f32d28e9cc8e7bbe306ba82ac5fa5af4a0346128aa3b6ebb,migration_evidence_to_reconcile,ADAPT,"Matrix of Edging, coalition signatures, edge products, and Anti-Centroid laws."
SRC-DOCT-002,archetype_source,THE_CMF_STUDIO(2).zip::CCP Archetype System Migration Proposition.docx.md,2d7aa11b72c83a95d9240784978e3b9af4944a3e037f18746f8b204bc3287188,migration_evidence_to_reconcile,ADAPT,"Archetype, asset derivative, render-route, and Voice DNA constraints."
SRC-DOCT-003,brand_source,THE_CMF_STUDIO(2).zip::CCP_CMF_Brand_Genesis_and_Micro_Semiotic_Pipeline_V3.md,61710fe56484b569ce28ddefadbb4c8047e9ae48cadf25291423cf4f200e3dcb,migration_evidence_to_reconcile,ADAPT,"Brand Genesis Session, Brand Context Version, Voice DNA, Visual DNA, Negative Space, and micro-semiotic context."
SRC-DOCT-004,creative_architecture_source,THE_CMF_STUDIO(2).zip::CCP_Creative_Pipeline_Architecture_V2.md,8b9175d8631eff50b7f6c959ad245b87f9b307577b51e6dd4d2f622fd44175e8,migration_evidence_to_reconcile,ADAPT,"Composition-before-editing, visual negative space, source fidelity, and category production grammar."
SRC-DOCT-005,methodology_source,THE_CMF_STUDIO(2).zip::docs/methodology/CCV_Combinatorial_Controlled_Variation.md,0869ff50e4bdaba3dc1854183100826d0de9568b9ed5558bf68b4590834a62c4,migration_evidence_to_reconcile,ADAPT,"CCV axis-labeled variation, coalition composition, and controlled emergence."
SRC-DOCT-006,methodology_source,THE_CMF_STUDIO(2).zip::docs/methodology/RSCS_Recursive_Signal_Compression_Systems.md,bb8ebfcd5c519649b4363731cf11434ce600c71fb5e1d020abb59cbb51b8a330,migration_evidence_to_reconcile,ADAPT,"RSCS saturation, collision, compression, evaluation, recursion, and signal-distillation laws."
SRC-DOCT-007,primitive_registry_source,THE_CMF_STUDIO(2).zip::docs/registry-specs/Meaning_Primitive_Registry_Spec.md,1851f4e8e07beb6e1886e91f45d8bb12cf38d6fc8af8f20e314788d6d47d7e5f,migration_evidence_to_reconcile,ADAPT,"Meaning Primitive Families, activation, misuse, synergy, conflict, and output control."
SRC-DOCT-008,primitive_registry_source,THE_CMF_STUDIO(2).zip::docs/registry-specs/Experience_Primitive_Registry_Spec.md,5cb5f1b568c84e41bbbf2ccbb18b938ccee5de1c6cab5cbee96343d88adaee72,migration_evidence_to_reconcile,ADAPT,Experience Primitive Families and delivery/user-state effects.
SRC-DOCT-009,primitive_contract_source,THE_CMF_STUDIO(2).zip::src/ccp_studio/contracts/primitive_coalition.py,990735d588e03004cbee780cea7e3623361a7fa70991e898ff13f173618cbf08,brownfield_contract_evidence,ADAPT,"Primitive Binding, Coalition Contract, coalition signature, misuse risk, and Primitive Evaluation Receipt."
